name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Acanthiza pusilla archibaldi,King Island Brown Thornbill,Acanthiza pusilla archibaldi,Endangered,added,,,
Androcalva perkinsiana,,Androcalva perkinsiana,Critically Endangered,added,,,
Anilios insperatus,Fassifern Blind Snake,Anilios insperatus,Critically Endangered,added,,,
Aphelocephala leucopsis,Western Whiteface,Aphelocephala leucopsis,Vulnerable,added,,,
Asplenium wildii,,Asplenium wildii,Vulnerable,added,,,
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Asterolasia asteriscophora subsp. albiflora,Critically Endangered,added,,,
Bertya mollissima,,Bertya mollissima,Endangered,added,,,
Bertya sp. Clouds Creek (M. Fatemi 4),,Bertya sp. Clouds Creek (M.Fatemi 4),Endangered,added,,,
Budawangia gnidioides,Budawangs Cliff-heath,Epacris gnidioides,Vulnerable,added,,,
Calamanthus cautus halmaturinus,Shy Heathwren (kangaroo Island),Hylacola cauta halmaturinus,Vulnerable,added,,,
Calamanthus pyrrhopygius parkeri,Chestnut-rumped Heathwren (mount Lofty Ranges),Hylacola pyrrhopygia parkeri,Endangered,added,,,
Callitris oblonga subsp. corangensis,,Callitris oblonga subsp. corangensis,Critically Endangered,added,,,
Calochilus pulchellus,Pretty Beard Orchid,Calochilus pulchellus,Endangered,added,,,
Calyptorhynchus baudinii,Baudin's Black-cockatoo,Zanda baudinii,Endangered,added,,,
Calyptorhynchus latirostris,Carnaby's Cockatoo,Calyptorhynchus latirostris,Endangered,added,,,
Chiloglottis anaticeps,Bird Orchid,Chiloglottis anaticeps,Endangered,added,,,
Climacteris picumnus victoriae,Brown Treecreeper (eastern Subspecies),Climacteris (Climacteris) picumnus victoriae,Vulnerable,added,,,
Ctenotus serotinus,Gravel-downs Ctenotus,Ctenotus serotinus,Critically Endangered,added,,,
Denhamia megacarpa,Large-fruited Denhamia,Denhamia megacarpa,Endangered,added,,,
Erythroxylum sp. Cholmondely Creek (J.R.Clarkson 9367) (Northern Territory Population),,Erythroxylum sp. Cholmondely Creek (J.R.Clarkson 9367),Vulnerable,added,,,
Eucalyptus broviniensis,,Eucalyptus broviniensis,Endangered,added,,,
Eucalyptus forresterae,Brumby Sallee,Eucalyptus forresterae,Endangered,added,,,
Galaxias aequipinnis,East Gippsland Galaxias,Galaxias aequipinnis,Critically Endangered,added,,,
Galaxias brevissimus,Short-tail Galaxias,Galaxias brevissimus,Critically Endangered,added,,,
Galaxias gunaikurnai,Shaw Galaxias,Galaxias gunaikurnai,Critically Endangered,added,,,
Galaxias lanceolatus,Tapered Galaxias,Galaxias lanceolatus,Critically Endangered,added,,,
Galaxias longifundus,Galaxias,Galaxias longifundus,Critically Endangered,added,,,
Galaxias mcdowalli,Mcdowall's Galaxias,Galaxias mcdowalli,Critically Endangered,added,,,
Galaxias mungadhan,Dargo Galaxias,Galaxias mungadhan,Critically Endangered,added,,,
Galaxias sp. nov. 'Yalmy',,,Critically Endangered,added,,,
Galaxias supremus,Kosciuszko Galaxias,Galaxias supremus,Critically Endangered,added,,,
Galaxias terenasus,Galaxias,Galaxias terenasus,Endangered,added,,,
Geocrinia alba,White-bellied Frog,Geocrinia alba,Critically Endangered,added,,,
Geocrinia vitellina,Yellow-bellied Frog,Geocrinia vitellina,Vulnerable,added,,,
