name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Hemiaspis damelii,Grey Snake,Hemiaspis damelii,Endangered,added,,,
Petauroides volans,Greater Glider,Petauroides volans,Endangered,added,,,
Tympanocryptis lineata,Grassland Earless Dragon,Tympanocryptis lineata,Critically Endangered,added,,,
Homoranthus floydii,,Homoranthus floydii,Vulnerable,added,,,
Persoonia oxycoccoides,,Persoonia oxycoccoides,Endangered,added,,,
Amytornis striatus striatus,Striated Grasswren (sandplain),Amytornis (Magnamytis) striatus striatus,Critically Endangered,added,,,
Antrophyum austroqueenslandicum,Border Ranges Lined Fern,Antrophyum austroqueenslandicum,Critically Endangered,added,,,
Amytornis striatus howei,Striated Grasswren,Amytornis striatus howei,Endangered,added,,,
Cormodes darwini,,Cormodes darwini,Critically Endangered,added,,,
Promethis sterrha,,Promethis sterrha,Critically Endangered,added,,,
Litoria watsoni,Watson's Tree Frog,Litoria watsoni,Endangered,added,,,
Perameles fasciata,Liverpool Plains Striped Bandicoot,Perameles fasciata,Extinct,added,,,
Leucochrysum albicans subsp. tricolor,White Sunray,Leucochrysum albicans subsp. tricolor,Endangered,added,,,
Amytornis striatus,,,,removed,Striated Grasswren,Amytornis (Magnamytis) striatus,Vulnerable
Megaptera novaeangliae,,,,removed,Humpback Whale,Megaptera novaeangliae,Vulnerable
Boronia hapalophylla,,,,removed,Shannon Creek Boronia,Boronia hapalophylla,Endangered
Tympanocryptis pinguicolla,,,,removed,Grassland Earless Dragon,Tympanocryptis pinguicolla,Endangered
Perameles bougainville fasciata,,,,removed,Western Barred Bandicoot (mainland),Perameles bougainville fasciata,Extinct
