name,scientificName_old,scientificName_new,commonName_old,commonName_new,status_old,status_new,listUpdate
Acanthophsis hawkei,,,,,,Vulnerable,added
Acanthophsis hawkei,,,,,Vulnerable,,removed
Acacia equisetifolia,,Acacia equisetifolia,,A Shrub,Critically endangered,Critically Endangered,status change
Atalaya brevialata,,Atalaya brevialata,,,Critically endangered,Critically Endangered,status change
Clausena excavata,,Clausena excavata,,,Critically endangered,Critically Endangered,status change
Elaeocarpus miegei,,Elaeocarpus miegei,,,Critically endangered,Critically Endangered,status change
Intsia bijuga,,Intsia bijuga,,Scrub Mahogany,Critically endangered,Critically Endangered,status change
Limosa lapponica menzbieri,,Limosa lapponica menzbieri,,Bar-tailed Godwit (northern Siberian),Critically endangered,Critically Endangered,status change
Zyzomys pedunculatus,,Zyzomys pedunculatus,,Central Rock-rat,Critically endangered,Critically Endangered,status change
Calidris ferruginea,,Calidris (Erolia) ferruginea,,Curlew Sandpiper,Critically endangered,Critically Endangered,status change
Numenius madagascariensis,,Numenius (Numenius) madagascariensis,,Far Eastern Curlew,Critically endangered,Critically Endangered,status change
Mesodontrachia fitzroyana,,Mesodontrachia fitzroyana,,Fitzroy Land Snail,Critically endangered,Critically Endangered,status change
Mesembriomys macrurus,,Mesembriomys macrurus,,Golden-backed Tree-rat,Critically endangered,Critically Endangered,status change
Calidris tenuirostris,,Calidris (Calidris) tenuirostris,,Great Knot,Critically endangered,Critically Endangered,status change
Melanodryas cucullata melvillensis,,Melanodryas (Melanodryas) cucullata melvillensis,,Hooded Robin (tiwi),Critically endangered,Critically Endangered,status change
Dermochelys coriacea,,Dermochelys coriacea,,Leatherback Turtle,Critically endangered,Critically Endangered,status change
Leipoa ocellata,,Leipoa ocellata,,Malleefowl,Critically endangered,Critically Endangered,status change
Petrogale concinna concinna,,Petrogale concinna concinna,,Nabarlek (victoria River District),Critically endangered,Critically Endangered,status change
Dasyurus hallucatus,,Dasyurus hallucatus,,Northern Quoll,Critically endangered,Critically Endangered,status change
Pedionomus torquatus,,Pedionomus torquatus,,Plains-wanderer,Critically endangered,Critically Endangered,status change
Vincentrachia desmonda,,Vincentrachia desmonda,,Saddle Creek Rocksnail,Critically endangered,Critically Endangered,status change
Amytornis modestus indulkanna,,Amytornis (Amytornis) modestus indulkanna,,Thick-billed Grasswren (western),Critically endangered,Critically Endangered,status change
