name,scientificName_old,scientificName_new,commonName_old,commonName_new,status_old,status_new,listUpdate
Calyptorhynchus lathami,,Calyptorhynchus (Calyptorhynchus) lathami,,Glossy Black-cockatoo,,Vulnerable,added
Climacteris picumnus,,Climacteris (Climacteris) picumnus,,Brown Treecreeper,,Vulnerable,added
Dasyurus maculatus,,Dasyurus maculatus,,Spotted-tailed Quoll,,Vulnerable,added
Isoodon obesulus,,Isoodon obesulus,,Southern Brown Bandicoot,,Endangered,added
Mastacomys fuscus,,Mastacomys fuscus,,Broad-toothed Rat,,Vulnerable,added
Melanodryas cucullate,,Melanodryas,,,,Endangered,added
Calyptorhynchus lathami,,Calyptorhynchus (Calyptorhynchus) lathami,,Glossy Black-cockatoo,,Vulnerable,status change
Climacteris picumnus,,Climacteris (Climacteris) picumnus,,Brown Treecreeper,,Vulnerable,status change
Dasyurus maculatus,,Dasyurus maculatus,,Spotted-tailed Quoll,,Vulnerable,status change
Isoodon obesulus,,Isoodon obesulus,,Southern Brown Bandicoot,,Endangered,status change
Mastacomys fuscus,,Mastacomys fuscus,,Broad-toothed Rat,,Vulnerable,status change
Melanodryas cucullate,,Melanodryas,,,,Endangered,status change
