name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Lysiandra calycina,,Phyllanthus subg. Lysiandra,Rare,added,,,
Maccullochella macquariensis,,,,removed,Trout Cod,Maccullochella macquariensis,Endangered
Macquaria australasica,,,,removed,Macca,Macquaria australasica,Endangered
Salvelinus fontinalis,,,,removed,Brook Trout,Salvelinus fontinalis,Endangered
Asplenium bulbiferum ssp. gracillimum,,,,removed,Mother Spleenwort,Asplenium bulbiferum ssp. gracillimum,Endangered
Grevillea angustiloba ssp.,,,,removed,,Grevillea angustiloba ssp.,Endangered
Grevillea angustiloba ssp. angustiloba,,,,removed,Narrow-lobe Grevillea,Grevillea angustiloba subsp. angustiloba,Endangered
Ptilotus semilanatus,,,,removed,,Ptilotus nobilis subsp. semilanatus,Endangered
Lepidium monoplocoides,,,,removed,Winged Peppercress,Lepidium monoplocoides,Endangered
Daviesia devito,,,,removed,Mallee Bitter-pea,Daviesia devito,Rare
Daviesia schwarzenegger,,,,removed,Mallee Bitter-pea,Daviesia schwarzenegger,Rare
Swainsona sericea,,,,removed,Silky Swainson-pea,Swainsona sericea,Endangered
Phyllanthus calycinus,,,,removed,False Boronia,Phyllanthus calycinus,Rare
Phebalium calcicola,,,,removed,Limestone Phebalium,Phebalium calcicola,Endangered
Phebalium glandulosum ssp. macrocalyx,,,,removed,Glandular Phebalium,Phebalium glandulosum ssp. macrocalyx,Endangered
Spyridium eriocephalum var. glabrisepalum,,,,removed,Macgillivray Spyridium,Spyridium eriocephalum var. glabrisepalum,Endangered
Abutilon oxycarpum ssp. Prostrate (A.A.Mitchell PRP 1266),,,,removed,,Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266),Rare
Eucalyptus conglobata ssp. conglobata,,,,removed,Cong Mallee,Eucalyptus conglobata subsp. conglobata,Rare
Meionectes brownii,,,,removed,Swamp Raspwort,Meionectes brownii,Rare
Neosciadium glochidiatum,,,,removed,,Neosciadium glochidiatum,Rare
Trachymene thysanocarpa,,,,removed,Mallee Trachymene,Trachymene thysanocarpa,Rare
Gentianella clelandii,,,,removed,,Gentianella clelandii,Endangered
Asperula sp. A (A.B.Cashmore September 1933),,,,removed,Alpine Woodruff,"Asperula sp. A (A.B.Cashmore, September 1933)",Endangered
Galium propinquum,,,,removed,Māwe,Galium propinquum,Endangered
Mentha atrolilacina,,,,removed,Slender Mint,Mentha atrolilacina,Rare
Euphrasia scabra,,,,removed,Yellow Eyebright,Euphrasia scabra,Endangered
Goodenia valdentata,,,,removed,Davenport Range Goodenia,Goodenia valdentata,Rare
Brachyscome paludicola,,,,removed,Swamp Daisy,Brachyscome paludicola,Rare
Lagenophora sublyrata,,,,removed,Slender Bottle-daisy,Lagenophora sublyrata,Vulnerable
Podolepis decipiens,,,,removed,,Podolepis decipiens,Rare
Podolepis linearifolia,,,,removed,Basalt Podolepis,Podolepis linearifolia,Rare
Senecio helichrysoides,,,,removed,Woolly Fireweed,Senecio helichrysoides,Endangered
Thysanotus tuberosus ssp. parviflorus,,,,removed,Tuber Fringe-lily,Thysanotus tuberosus ssp. parviflorus,Vulnerable
Austrostipa nullanulla,,,,removed,Club Spear-grass,Austrostipa nullanulla,Vulnerable
Austrostipa vickeryana,,,,removed,Vickery's Spear-grass,Austrostipa vickeryana,Rare
Lachnagrostis semibarbata var. filifolia,,,,removed,Narrow-leaf Blown-grass,Lachnagrostis semibarbata var. filifolia,Rare
Lachnagrostis semibarbata var. semibarbata,,,,removed,Purple Blown-grass,Lachnagrostis semibarbata var. semibarbata,Rare
Gahnia halmaturina,,,,removed,,Gahnia halmaturina,Rare
Machaerina gunnii,,,,removed,Slender Twig-rush,Baumea gunnii,Rare
Caladenia cruciformis,,,,removed,Bordertown Spider-orchid,Caladenia cruciformis,Endangered
Caladenia moschata,,,,removed,Musky Caladenia,Caladenia moschata,Endangered
Caladenia sp. Finniss (R.Bates 308),,,,removed,Finniss Spider-orchid,Caladenia sp. Finniss (R.Bates 308),Endangered
Caladenia versicolor,,,,removed,Grampians Spider-orchid,Caladenia versicolor,Endangered
Diuris punctata var. punctata,,,,removed,Purple Donkey Orchid,Diuris punctata var. punctata,Endangered
Prasophyllum litorale,,,,removed,Coastal Leek Orchid,Prasophyllum litorale,Endangered
Prasophyllum rotundiflorum,,,,removed,,Prasophyllum rotundiflorum,Endangered
Prasophyllum tortilis,,,,removed,Goldsack's Leek-orchid,Prasophyllum tortilis,Endangered
Pterostylis ferruginea,,,,removed,Bangham Rustyhood,Pterostylis ferruginea,Endangered
Pterostylis lepida,,,,removed,Halbury Greenhood,Pterostylis lepida,Endangered
Pterostylis maxima,,,,removed,Large Rustyhood,Pterostylis maxima,Endangered
Pterostylis mirabilis,,,,removed,Mount Olinthus Greenhood,Pterostylis mirabilis,Vulnerable
Pterostylis sp. Hale (R.Bates 21725),,,,removed,Hale Greenhood,Pterostylis sp. Hale (R.Bates 21725),Vulnerable
Thelymitra aristata,,,,removed,Scented Sun Orchid,Thelymitra aristata,Endangered
Thelymitra ixioides,,,,removed,Dotted Sun Orchid,Thelymitra ixioides,Endangered
