name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Abildgaardia pachyptera,,Abildgaardia pachyptera,added,,
Acacia ancistrophylla var. lissophylla,Dwarf Myall,Acacia ancistrophylla var. lissophylla,added,,
Acacia corusca,Shimmer Wattle,Acacia corusca,added,,
Acacia karinae,,,added,,
Acacia lachnocarpa,Woolly-fruited Wattle,Acacia lachnocarpa,added,,
Acacia sp. Binningup (G. Cockerton et al. WB 37784),,Acacia sp. Binningup (G.Cockerton et al. WB 37784),added,,
Acacia sp. Forrestania (D. Angus DA 3001),,Acacia sp. Forrestania (D.Angus DA 3001),added,,
Acacia sp. Marshall Pool (G. Cockerton 3024),,Acacia sp. Marshall Pool (G. Cockerton 3024),added,,
Acacia sp. New Norcia (E.A. Griffin 5917),,Acacia sp. New Norcia (E.A.Griffin 5917),added,,
Acacia sp. Southern Cross (G. Cockerton et al. WB 38518),,Acacia sp. Southern Cross (G.Cockerton et al. WB 38518),added,,
Acacia sp. Yinnetharra (L. Sweedman 8229),,Acacia sp. Yinnetharra (L.Sweedman 8229),added,,
Acacia yorkrakinensis subsp. yorkrakinensis,,Acacia yorkrakinensis subsp. yorkrakinensis,added,,
Adenanthos acanthophyllus,,Adenanthos acanthophyllus,added,,
Aenictophyton anomalum,,Aenictophyton anomalum,added,,
Afrohybanthus bennettiae,,Afrohybanthus bennettiae,added,,
Aglaia brownii,,Aglaia brownii,added,,
Alyogyne sp. Great Victoria Desert (D.J. Edinger 6212),,Alyogyne sp. Great Victoria Desert (D.J.Edinger 6212),added,,
Alyogyne sp. Hyden (G.S. Durell GD 127) PN,,Alyogyne sp. Hyden (G.S.Durell GD127),added,,
Alyogyne sp. Rockingham (G.J. Keighery 14463),,Alyogyne sp. Rockingham (G.J.Keighery 14463),added,,
Amanita preissii,,Amanita preissii,added,,
Andersonia sp. Mysosma (E.A. Griffin 2213) PN,,Andersonia sp. Mysosma (E.A.Griffin 2213),added,,
Androcalva sp. York (C.F. Wilkins & A. Sole CW 2527),,Androcalva sp. York (C.F.Wilkins & A.Sole CW 2527),added,,
Angianthus sp. Salmon Gums (G.F. Craig 3074),,Angianthus sp. Salmon Gums (G.F.Craig 3074),added,,
Anticoryne melanosperma,,Anticoryne melanosperma,added,,
Apatelantha chrysotricha,,,added,,
Apatelantha insignis,,,added,,
Apium prostratum subsp. phillipii,,Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),added,,
Arivela kenneallyi,,Arivela kenneallyi,added,,
Arthropodium vanleeuwenii,Leeuwen's Lily,Arthropodium vanleeuwenii,added,,
Arthrostylis sp. Kalumburu (K.L. Wilson 10101) PN,,,added,,
Asplenium decurrens,Shore Spleenwort,Asplenium obtusatum subsp. northlandicum,added,,
Asteridea croniniana,,Asteridea croniniana,added,,
Asteridea morawana,,Asteridea morawana,added,,
Asterolasia hyalina,,Asterolasia hyalina,added,,
Austrobaeckea columnaris,,,added,,
Austrobaeckea narembeen,,,added,,
Austrobaeckea uncinella,,,added,,
Austrostipa bronweniae,,Austrostipa bronweniae,added,,
Austrostipa burgesiana,,,added,,
Austrostipa echinata,Spiny Spear-grass,Austrostipa echinata,added,,
Austrostipa everettiana,,,added,,
Austrostipa frankliniae,,,added,,
Austrostipa heteranthera,,,added,,
Austrostipa koordana,,,added,,
Austrostipa lanata,,Austrostipa lanata,added,,
Austrostipa nunaginensis,,,added,,
Austrostipa turbinata,,,added,,
Austrostipa vickeryana,Vickery's Spear-grass,Austrostipa vickeryana,added,,
Babingtonia peteriana,Ornate Babingtonia,Babingtonia peteriana,added,,
Balaustion baiocalyx,,,added,,
Balaustion bimucronatum,,,added,,
Balaustion exsertum,,,added,,
Balaustion filifolium,,,added,,
Balaustion grande,,,added,,
Balaustion grandibracteatum subsp. grandibracteatum,,,added,,
Balaustion grandibracteatum subsp. juncturum,,,added,,
Balaustion grandibracteatum subsp. meridionale,,,added,,
Balaustion hemisphaericum,,,added,,
Balaustion karroun,,,added,,
Balaustion mukinbudin,,,added,,
Balaustion multicaule,,,added,,
Balaustion polyandrum,,,added,,
Balaustion sp. Billyacatting Hill (A.S. George 14349) PN,,,added,,
Balaustion sp. North Ironcap (R.J. Cranfield 10580) PN,,,added,,
Balaustion sp. Yorkrakine (C.A. Gardner s.n. 09/1933) PN,,,added,,
Balaustion spenceri,,,added,,
Balaustion tangerinum,,,added,,
Balaustion thamnoides,,,added,,
Balaustion unguiculatum,,,added,,
Banksia densa,,Banksia densa,added,,
Banksia nana,,Banksia nana,added,,
Banksia parva,,Banksia parva,added,,
Bergia occultipetala,,Bergia occultipetala,added,,
Beyeria lateralis,Jefferies' Beyeria,Beyeria lateralis,added,,
Beyeria opaca,Dark Turpentine-bush,Beyeria opaca,added,,
Bolboschoenus fluviatilis,Marsh Club-rush,Bolboschoenus fluviatilis,added,,
Boronia clavata subsp. clavata,,Boronia clavata subsp. clavata,added,,
Boronia clavata subsp. grandis,,Boronia clavata subsp. grandis,added,,
Boronia crenulata subsp. crenulata var. angustifolia,,Boronia crenulata var. angustifolia,added,,
Boronia denticulata subsp. whoogarupensis,,Boronia denticulata subsp. whoogarupensis,added,,
Boronia sp. Leeuwin (J. Scott 235),,Boronia sp. Leeuwin (J.Scott 235),added,,
Boronia ternata var. promiscua,,Boronia ternata var. promiscua,added,,
Borya stenophylla,Synnot Range Borya,Borya stenophylla,added,,
Bossiaea lalagoides,Broad-leaved Brown Pea,Bossiaea ornata,added,,
Bossiaea moylei,,Bossiaea moylei,added,,
Bossiaea reptans,Creeping Brown Pea,Bossiaea reptans,added,,
Bossiaea sp. Mt Frankland (L. Graham 2174) PN,,Bossiaea sp. Mt Frankland (L.Graham 2174),added,,
Brachyloma djerral,,Brachyloma djerral MS,added,,
Brachyloma elusum,,Brachyloma elusum,added,,
Brachyloma pirara,,Brachyloma pirara MS,added,,
Buellia durackensis,,Buellia durackensis,added,,
Caesia arcuata,Curved Grass Lily,Caesia arcuata,added,,
Caesia chlorantha,,Caesia chlorantha,added,,
Caesia sp. Great Victoria Desert (C. Tauss 2835),,Caesia sp. Great Victoria Desert (C.Tauss 2835),added,,
Caladenia applanata subsp. erubescens,Rose Spider Orchid,Caladenia applanata subsp. erubescens,added,,
Caladenia multiplex,Bulbarnet Spider Orchid,Caladenia multiplex,added,,
Caladenia nivalis,Exotic Spider Orchid,Caladenia nivalis,added,,
Calandrinia lefroyensis,,Calandrinia lefroyensis,added,,
Calandrinia quartzitica,,Calandrinia quartzitica,added,,
Calandrinia sp. Bayswater (C. Andrews s.n. 11/1902) PN,,,added,,
Calandrinia sp. Berry Springs (M.O. Parker 855) PN,,Calandrinia sp. Berry Springs (M.O.Parker 855),added,,
Calandrinia sp. Boolardy Station (P. Jayasekara 719-JHR-01),,Calandrinia sp. Boolardy Station (P.Jayasekara 719-JHR-01),added,,
Calandrinia sp. Cape Range (F. Obbens FO 10/18),,Calandrinia sp. Cape Range (F.Obbens FO 10/18),added,,
Calandrinia sp. Edel Land (F. Obbens FO 01/17),,Calandrinia sp. Edel Land (F.Obbens FO 01/17),added,,
Calandrinia sp. Hamelin Station (F. Obbens FO 02/20) PN,,,added,,
Calandrinia sp. Lennard River (W.V. Fitzgerald 739) PN,,,added,,
Calandrinia sp. Menzies (F. Hort et al. FH 4100),,Calandrinia sp. Menzies (F.Hort et al. FH 4100),added,,
Calandrinia sp. Mt Vernon Station (T.L. Setter 427) PN,,,added,,
Calandrinia sp. Nanutarra (F. Obbens FO 08/18),,Calandrinia sp. Nanutarra (F.Obbens FO 08/18),added,,
Calandrinia sp. Torndirrup (S.D. Hopper et al. SDH 8712) PN,,Calandrinia sp. Torndirrup (S.D.Hopper et al. SDH 8712),added,,
Calandrinia uncinella,,Calandrinia uncinella,added,,
Calandrinia wilsonii,,Calandrinia wilsonii,added,,
Calectasia grandiflora,Blue Tinsel Lily,Calectasia grandiflora,added,,
Calytrix calingiri,,,added,,
Calytrix djinda,,,added,,
Calytrix gypsophila,,Calytrix gypsophila,added,,
Calytrix insperata,Mundatharrda Calytrix,Calytrix insperata,added,,
Calytrix platycheiridion,,,added,,
Calytrix retrorsifolia,,Calytrix retrorsifolia,added,,
Calytrix sp. Learmonth (S. Fox EMopp 1),,,added,,
Calytrix sp. Wandana (G. Byrne 1750) PN,,,added,,
Camonea pilosa,,Camonea pilosa,added,,
Carpobrotus sp. Lateral Flowers (N. Gibson & M. Lyons 973) PN,,Carpobrotus sp. Lateral Flowers (N.Gibson & M.Lyons 973),added,,
Chamaescilla maculata,Red-spotted Squill,Chamaescilla maculata,added,,
Chamelaucium erythrochlorum,,Chamelaucium sp. Yoongarillup (G.J.Keighery 3635),added,,
Chamelaucium floriferum subsp. diffusum,,Chamelaucium sp. Nornalup (N.G.Marchant 76/125),added,,
Chamelaucium floriferum subsp. floriferum,,Chamelaucium floriferum subsp. floriferum,added,,
Chamelaucium forrestii,,Chamelaucium sp. Mt Frankland (A.S.George 11117),added,,
Chamelaucium lullfitzii,Gingin Wax,Chamelaucium sp. Gingin (N.G.Marchant 6),added,,
Chamelaucium orarium,,Chamelaucium orarium,added,,
Chamelaucium repens,,Chamelaucium sp. Canna (G.J.Keighery s.n. PERTH 02236435),added,,
Chamelaucium roycei,Royce's Waxflower,Chamelaucium sp. S coastal plain (R.D.Royce 4872),added,,
Chamelaucium xanthocladum,,Chamelaucium xanthocladum,added,,
Chrysocephalum apiculatum subsp. racemosum,,Chrysocephalum apiculatum subsp. racemosum,added,,
Comesperma minutum,,Comesperma minutum,added,,
Comesperma sabulosum,,Comesperma sabulosum,added,,
Conostephium wonganense,,,added,,
Conostylis sp. Watheroo (S.D. Hopper 7668) PN,,,added,,
Convolvulus pyrophilus,,,added,,
Corchorus fitzroyensis,Fitzroy River Corchorus,Corchorus fitzroyensis,added,,
Corybas autumnalis,,Corybas autumnalis,added,,
Corymbia chlorolampra,Mountain Marri,Corymbia haematoxylon,added,,
Corynotheca acanthoclada,Spiny Zigzag Lily,Corynotheca acanthoclada,added,,
Corynotheca flexuosissima,Compact Zigzag Lily,Corynotheca flexuosissima,added,,
Crassula colorata var. miriamae,,Crassula colorata var. miriamae,added,,
Cryptandra subtilis,No Petals Cryptandra,Cryptandra subtilis,added,,
Cucumis sp. Bastion Range (A.A. Mitchell et al. AAM 10710),,Cucumis sp. Bastion Range (A.A.Mitchell et al. AAM 10710),added,,
Cyanicula sp. Esperance (G. Brockman 735),,Cyanicula sp. Esperance (G.Brockman 735) WA Herbarium,added,,
Cyanothamnus acanthocladus,,Cyanothamnus acanthocladus,added,,
Cyanothamnus baeckeaceus subsp. patulus,,Cyanothamnus baeckeaceus subsp. patulus,added,,
Cyanothamnus ramosus subsp. lesueuranus,,Cyanothamnus ramosus subsp. lesueuranus,added,,
Cyanothamnus tenuis,Blue Boronia,Boronia tenuis,added,,
Cyanothamnus westringioides,,Cyanothamnus westringioides,added,,
Cyanthillium gracile,,Cyanthillium gracile,added,,
Cyathostemon sp. Red Roo Rock (G.F. Craig 6896),,Cyathostemon sp. Red Roo Rock (G.F.Craig 6896),added,,
Cyperus albescens,,Cyperus albescens,added,,
Dampiera prasiolitica,Coolgardie Dampiera,Dampiera prasiolitica,added,,
Darwinia sp. Bindoon (S. Patrick 281) PN,,Darwinia sp. Bindoon (S.Patrick 281),added,,
Darwinia sp. Corrigin (T. Erickson TEE 308) PN,,Darwinia sp. Corrigin (T.Erickson TEE 308),added,,
Darwinia sp. Mt Ridley (W.R. Archer 510914),,Darwinia sp. Mt Ridley (W.R.Archer 510914),added,,
Darwinia sp. Strawberry (M.G. Corrick 8279),,Darwinia sp. Strawberry (M.G.Corrick 8279),added,,
Darwinia sphaerica,Canna Darwinia,Darwinia sphaerica,added,,
Daviesia elongata,,Daviesia elongata,added,,
Daviesia implexa,,Daviesia implexa,added,,
Daviesia nudiflora subsp. amplectens,,Daviesia nudiflora subsp. amplectens,added,,
Daviesia nudiflora subsp. drummondii,,Daviesia nudiflora subsp. drummondii,added,,
Deyeuxia abscondita,Preston Bentgrass,Deyeuxia abscondita,added,,
Dielsiodoxa altimontana,,,added,,
Dillwynia sp. Coujinup Hill (M.A. Burgman 1560),,Dillwynia sp. Coujinup Hill (M.A.Burgman 1560),added,,
Dipodium basalticum,,Dipodium sp. Basalt Woodland (M.D.Barrett 198),added,,
Diuris brevis,,Diuris brevis,added,,
Dolichocarpa sp. Hamersley Station (A.A. Mitchell PRP 1479) PN,,,added,,
Dopatrium junceum,,Dopatrium junceum,added,,
Drosera albonotata,,Drosera albonotata,added,,
Drosera bicolor,,Drosera bicolor,added,,
Drosera eremaea,,Drosera macrantha subsp. eremaea,added,,
Drosera huegelii var. phillmanniana,,Drosera huegelii var. phillmanniana,added,,
Drosera lasiantha,,Drosera lasiantha,added,,
Drosera leioblastus,,Drosera leioblastus,added,,
Drosera leucostigma,,Drosera leucostigma,added,,
Drosera nivea,,Drosera nivea,added,,
Drosera occidentalis,Minute Pygmy Sundew,Drosera occidentalis,added,,
Drosera orbiculata,,Drosera orbiculata,added,,
Drosera oreopodion,,Drosera oreopodion,added,,
Drosera paleacea,Dwarf Sundew,Drosera paleacea,added,,
Drosera patens,,Drosera patens,added,,
Drosera prophylla,,Drosera prophylla,added,,
Drosera radicans,,Drosera radicans,added,,
Drosera rechingeri,,Drosera rechingeri,added,,
Drosera sp. Kentdale (G.J. Bourke 458) PN,,,added,,
Drosera sp. Lesueur National Park (C.A. Gardner 9350) PN,,,added,,
Drosera sp. Yampi Peninsula (A.J.M. Hopkins BA 0248) PN,,,added,,
Drummondita billyacatting,,,added,,
Drummondita rubriviridis,,,added,,
Einadia nutans subsp. nutans,Nodding Saltbush,Einadia nutans subsp. nutans,added,,
Elacholoma sp. Showy flowers (C.P. Campbell 1762),,Elacholoma sp. Showy flowers (C.P. Campbell 1762),added,,
Elionurus tylophorus,Toothed Wire Grass,Elionurus tylophorus,added,,
Empusa habenarina,Common Sphinx Orchid,Liparis habenarina,added,,
Eragrostis lasioclada,,Ectrosia lasioclada,added,,
Eragrostis lilliputiana,,Eragrostis lilliputiana,added,,
Eragrostis sp. Erect spikelets (P.K. Latz 2122),,Eragrostis sp. Erect spikelets (P.K. Latz 2122),added,,
Eragrostis sp. Lake Carey (J. Paterson & J. Warden WB 40825) PN,,,added,,
Eragrostis sp. Limestone (P.K. Latz 5921),,Eragrostis sp. Limestone (P.K.Latz 5921),added,,
Eremophila acutifolia,,Eremophila acutifolia,added,,
Eremophila annosicaulis,,,added,,
Eremophila compacta subsp. Kennedy Range (B. Buirchell BB 107)	,,Eremophila compacta subsp. Kennedy Range (B.Buirchell BB 107),added,,
Eremophila demissa,,Eremophila demissa,added,,
Eremophila glabra subsp. Lake Austin (P.J. Curry & P. Hennig 367),,Eremophila glabra subsp. Lake Austin (P.J.Curry & P.Hennig 367),added,,
Eremophila glabra subsp. Rason Lake (R.D. Royce 5582),,Eremophila glabra subsp. Rason Lake (R.D.Royce 5582),added,,
Eremophila inflata,,Calamphoreus inflatus,added,,
Eremophila microphylla,,Eremophila microphylla,added,,
Eremophila naaykensii,,,added,,
Eremophila oldfieldii subsp. papula,,Eremophila oldfieldii subsp. papula,added,,
Eremophila platycalyx subsp. Wongawol (N.H. Speck 1291),,Eremophila platycalyx subsp. Wongawol (N.H.Speck 1291),added,,
Eremophila rarissima,,Eremophila rarissima,added,,
Eremophila sericea,,Eremophila sericea,added,,
Eremophila sp. Coodardo Gap (B. Buirchell BB 330),,Eremophila sp. Coodardo Gap (B.Buirchell BB 330),added,,
Eremophila sp. Lake Carey (E. Mattiske LM 197) PN,,Eremophila sp. Lake Carey (E.Mattiske LM 197),added,,
Eremophila sp. Landor (J. Start D7 33) PN,,Eremophila sp. Landor (J.Start D7 33),added,,
Eremophila sp. Mt Channar Range (C. Keating & M.E. Trudgen CK 408),,Eremophila sp. Mt Channar Range (C.Keating & M.E.Trudgen CK 408),added,,
Eremophila sp. Murgoo (S.J.J. Davies s.n. 15/8/1960),,Eremophila sp. Murgoo (S.J.J.Davies s.n. 15/8/1960),added,,
Eremophila sp. Pingandy dentate (B. Buirchell BB 331),,Eremophila sp. Pingandy dentate (B.Buirchell BB 331),added,,
Eremophila sp. Thundelarra (B. Buirchell BB 324),,Eremophila sp. Thundelarra (B.Buirchell BB 324),added,,
Eremophila sp. Tropicana (B. Buirchell BB 323),,Eremophila sp. Tropicana (B.Buirchell BB 323),added,,
Eremophila sp. Wubin North (R. Wait 8305),,Eremophila sp. Wubin North (R.Wait 8305),added,,
Eremophila sp. long pedicels (G. Cockerton 1975),,Eremophila sp. long pedicels (G. Cockerton 1975),added,,
Eremophila subangustifolia,,Eremophila subangustifolia,added,,
Eremophila waitii,,Eremophila waitii,added,,
Eremophila xantholaemus,,,added,,
Eriochilus glareosus,,,added,,
Eucalyptus caesia subsp. caesia,Gungurru,Eucalyptus caesia,added,,
Eucalyptus caesia subsp. magna,Gungurru,Eucalyptus caesia,added,,
Eucalyptus calycogona subsp. miraculum,,Eucalyptus calycogona subsp. miraculum,added,,
Eucalyptus dissimulata subsp. dissimulata,,,added,,
Eucalyptus dissimulata subsp. plauta,,Eucalyptus sp. Truslove (M.I.H.Brooker 7499),added,,
Eucalyptus efflorescens,,,added,,
