name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Miniopterus orianae bassanii,Southern Bent-winged Bat,Miniopterus orianae bassanii,Critically Endangered,added,,,
Wundacaenis flabellum,,,,removed,Mayfly,Wundacaenis flabellum,Vulnerable
Westriplectes angelae,,,,removed,Caddisfly,Westriplectes angelae,Vulnerable
Oecetis quadrula,,,,removed,Caddisfly,Oecetis quadrula,Vulnerable
Pseudocloeon hypodelum,,,,removed,Mayfly,Pseudocloeon hypodelum,Vulnerable
Pterostylis tenuissima,,,,removed,Swamp Greenhood,Pterostylis tenuissima,Vulnerable
Caladenia tensa,,,,removed,Erect Greencomb Spider Orchid,Caladenia tensa,Vulnerable
Prasophyllum sp. aff. validum A,,,,removed,,Prasophyllum sp. Woodlands (D.L.Jones 17707),Endangered
Thaumatoperla robusta,,,,removed,Stonefly,Thaumatoperla robusta,Data Deficient
Thaumatoperla timmsi,,,,removed,Stonefly,Thaumatoperla timmsi,Data Deficient
Notopala sublineata,,,,removed,River Snail,Notopala sublineata,Critically Endangered
