name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Abildgaardia pachyptera,,Abildgaardia pachyptera,Priority 1: Poorly-known species,added,,,
Acacia ancistrophylla var. lissophylla,Dwarf Myall,Acacia ancistrophylla var. lissophylla,Priority 2: Poorly-known species,added,,,
Acacia corusca,Shimmer Wattle,Acacia corusca,Priority 1: Poorly-known species,added,,,
Acacia karinae,Mulga,Acacia,Priority 1: Poorly-known species,added,,,
Acacia lachnocarpa,Woolly-fruited Wattle,Acacia lachnocarpa,Priority 1: Poorly-known species,added,,,
Acacia sp. Binningup (G. Cockerton et al. WB 37784),,Acacia sp. Binningup (G.Cockerton et al. WB 37784),Priority 1: Poorly-known species,added,,,
Acacia sp. Forrestania (D. Angus DA 3001),,Acacia sp. Forrestania (D.Angus DA 3001),Priority 1: Poorly-known species,added,,,
Acacia sp. Marshall Pool (G. Cockerton 3024),,Acacia sp. Marshall Pool (G. Cockerton 3024),Priority 3: Poorly-known species,added,,,
Acacia sp. New Norcia (E.A. Griffin 5917),,Acacia sp. New Norcia (E.A.Griffin 5917),Priority 1: Poorly-known species,added,,,
Acacia sp. Southern Cross (G. Cockerton et al. WB 38518),,Acacia sp. Southern Cross (G.Cockerton et al. WB 38518),Priority 1: Poorly-known species,added,,,
Acacia sp. Yinnetharra (L. Sweedman 8229),,Acacia sp. Yinnetharra (L.Sweedman 8229),Priority 1: Poorly-known species,added,,,
Acacia yorkrakinensis subsp. yorkrakinensis,,Acacia yorkrakinensis subsp. yorkrakinensis,Priority 2: Poorly-known species,added,,,
Adenanthos acanthophyllus,,Adenanthos acanthophyllus,Priority 2: Poorly-known species,added,,,
Aenictophyton anomalum,,Aenictophyton anomalum,Priority 1: Poorly-known species,added,,,
Afrohybanthus bennettiae,,Afrohybanthus bennettiae,Priority 2: Poorly-known species,added,,,
Aglaia brownii,,Aglaia brownii,Priority 1: Poorly-known species,added,,,
Alyogyne sp. Great Victoria Desert (D.J. Edinger 6212),,Alyogyne sp. Great Victoria Desert (D.J.Edinger 6212),Priority 3: Poorly-known species,added,,,
Alyogyne sp. Hyden (G.S. Durell GD 127) PN,,Alyogyne sp. Hyden (G.S.Durell GD127),Priority 1: Poorly-known species,added,,,
Alyogyne sp. Rockingham (G.J. Keighery 14463),,Alyogyne sp. Rockingham (G.J.Keighery 14463),Priority 2: Poorly-known species,added,,,
Amanita preissii,,Amanita preissii,Priority 3: Poorly-known species,added,,,
Andersonia sp. Mysosma (E.A. Griffin 2213) PN,,Andersonia sp. Mysosma (E.A.Griffin 2213),Priority 2: Poorly-known species,added,,,
Androcalva sp. York (C.F. Wilkins & A. Sole CW 2527),,Androcalva sp. York (C.F.Wilkins & A.Sole CW 2527),Priority 1: Poorly-known species,added,,,
Angianthus sp. Salmon Gums (G.F. Craig 3074),,Angianthus sp. Salmon Gums (G.F.Craig 3074),Priority 1: Poorly-known species,added,,,
Anticoryne melanosperma,,Anticoryne melanosperma,Priority 3: Poorly-known species,added,,,
Apatelantha chrysotricha,,,Priority 2: Poorly-known species,added,,,
Apatelantha insignis,,,Priority 2: Poorly-known species,added,,,
Apium prostratum subsp. phillipii,,Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),Endangered,added,,,
Arivela kenneallyi,,Arivela kenneallyi,Priority 2: Poorly-known species,added,,,
Arthropodium vanleeuwenii,Leeuwen's Lily,Arthropodium vanleeuwenii,Priority 2: Poorly-known species,added,,,
Arthrostylis sp. Kalumburu (K.L. Wilson 10101) PN,,Arthrostylis,Priority 2: Poorly-known species,added,,,
Asplenium decurrens,Shore Spleenwort,Asplenium obtusatum subsp. northlandicum,"Priority 4: Rare, Near Threatened",added,,,
Asteridea croniniana,,Asteridea croniniana,Priority 1: Poorly-known species,added,,,
Asteridea morawana,,Asteridea morawana,Priority 1: Poorly-known species,added,,,
Asterolasia hyalina,,Asterolasia hyalina,Priority 2: Poorly-known species,added,,,
Austrobaeckea columnaris,,,Priority 2: Poorly-known species,added,,,
Austrobaeckea narembeen,,,Priority 2: Poorly-known species,added,,,
Austrobaeckea uncinella,,,Priority 3: Poorly-known species,added,,,
Austrostipa bronweniae,,Austrostipa bronweniae,Endangered,added,,,
Austrostipa burgesiana,Spear-grasses,Austrostipa,Priority 1: Poorly-known species,added,,,
Austrostipa echinata,Spiny Spear-grass,Austrostipa echinata,Priority 1: Poorly-known species,added,,,
Austrostipa everettiana,Spear-grasses,Austrostipa,Priority 1: Poorly-known species,added,,,
Austrostipa frankliniae,Spear-grasses,Austrostipa,Priority 2: Poorly-known species,added,,,
