name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Burmannia sp. Bathurst Island,,Burmannia sp. Bathurst Island,Endangered,added,,,
Erythroxylum sp. Cholmondely Creek,,Erythroxylum sp. Cholmondely Creek,Endangered,added,,,
Gleichenia sp. Victoria River,,Gleichenia sp. Victoria River,Vulnerable,added,,,
Hibbertia sp. South Magela,,Hibbertia sp. South Magela,Vulnerable,added,,,
Hoya australis subsp. oramicola,,Hoya australis subsp. oramicola,Vulnerable,added,,,
Livistona mariae subsp. MariaeRed cabbage palm,,,Endangered,added,,,
Triodia sp. Matt Wilson,,Triodia sp. Matt Wilson,Vulnerable,added,,,
Typhonium sp. Sandover,,Typhonium sp. Sandover,Vulnerable,added,,,
Mesembriomys gouldii gouldii,Djintamoonga,Mesembriomys gouldii gouldii,Endangered,added,,,
Lagorchestes hirsutus Central Australian subspecies,Mala,Lagorchestes hirsutus Central Australian subspecies,Endangered,added,,,
Petrogale concinna concinna,Nabarlek (victoria River District),Petrogale concinna concinna,Critically endangered,added,,,
Geophaps smithii smithii,Partridge Pidgeon (eastern),Geophaps (Geophaps) smithii smithii,Vulnerable,added,,,
Acanthophsis hawkei,,,Vulnerable,added,,,
Gleichenia sp. Victoria River,,,,removed,,Gleichenia sp. Victoria River,Vulnerable
Hibbertia sp. South Magela,,,,removed,,Hibbertia sp. South Magela,Vulnerable
Hoya australis subsp. oramicola,,,,removed,,Hoya australis subsp. oramicola,Vulnerable
Triodia sp. Matt Wilson,,,,removed,,Triodia sp. Matt Wilson,Vulnerable
Typhonium sp. Sandover,,,,removed,,Typhonium sp. Sandover,Vulnerable
Geophaps smithii smithii,,,,removed,Partridge Pidgeon (eastern),Geophaps (Geophaps) smithii smithii,Vulnerable
Acanthophis hawkei,,,,removed,Plains Death Adder,Acanthophis hawkei,Vulnerable
Lagorchestes hirsutus Central Australian subspecies,,,,removed,Mala,Lagorchestes hirsutus Central Australian subspecies,Endangered
Burmannia sp. Bathurst Island,,,,removed,,Burmannia sp. Bathurst Island,Endangered
Erythroxylum sp. Cholmondely Creek,,,,removed,,Erythroxylum sp. Cholmondely Creek,Endangered
Livistona mariae subsp. Mariae,,,,removed,,Livistona mariae subsp. mariae,Endangered
Mesembriomys gouldii gouldii,,,,removed,Djintamoonga,Mesembriomys gouldii gouldii,Endangered
Petrogale concinna concinna,,,,removed,Nabarlek (victoria River District),Petrogale concinna concinna,Critically Endangered
