verbatimScientificName,scientificName,rank,family,vernacularName,status,sourceStatus
Malurus (Malurus) coronatus,Malurus (Malurus) coronatus,species,,,,
Poephila (Poephila) cincta,Poephila (Poephila) cincta,species,,,,
Falcunculus frontatus,Falcunculus frontatus,species,,,,
Psophodes (Phodopses) nigrogularis,Psophodes (Phodopses) nigrogularis,species,,,,
Calamanthus campestris,Calamanthus campestris,species,,,,
Cyclopsitta diophthalma,Cyclopsitta diophthalma,species,,,,
Lichenostomus melanops,Lichenostomus melanops,species,,,,
Malurus (Musciparus) leucopterus,Malurus (Musciparus) leucopterus,species,,,,
Epthianura (Aurepthianura) crocea,Epthianura (Aurepthianura) crocea,species,,,,
Malurus (Leggeornis) lamberti,Malurus (Leggeornis) lamberti,species,,,,
Psophodes (Phodopses) leucogaster,Psophodes (Phodopses) leucogaster,species,,,,
Stipiturus malachurus,Stipiturus malachurus,species,,,,
Platycercus (Violania) icterotis,Platycercus (Violania) icterotis,species,,,,
Dasyornis (Maccoyornis) broadbenti,Dasyornis (Maccoyornis) broadbenti,species,,,,
Cacatua (Licmetis) pastinator,Cacatua (Licmetis) pastinator,species,,,,
