raw_scientificName,field,value,notes
Heliotropium discorde,scientificName,Heliotropium discors Craven,
Synostemon sp. mann river,scientificName,Sauropus sp. Mann River (I.D.Cowie 8724) NT Herbarium, 
Varanus indicus,scientificName,"Varanus chlorostigma (Gray, 1831)",
Cantharellus affin. lateritius,scientificName,Cantharellus Adans. ex Fr.,
Ogyris doddi,scientificName,Ogyris iphis doddi,
Oldenlandia sp. central ranges,scientificName,Oldenlandia sp. Central ranges (P.K.Latz 8076) NT Herbarium,
Corynotheca sp. ridged seeds,scientificName,Corynotheca micrantha var. divaricata R.J.F.Hend., 
Phyllanthus sp. broad smooth seeds,scientificName,Phyllanthus sp. Broad smooth seeds (M.D.Kimbel 52) Albr. & Cowie,
Haemodorum sp. red flowers,scientificName,Haemodorum sp. Red flowers (N.B.Byrnes 34) WA Herbarium,
Dasycercus hillieri,scientificName,"Dasycercus cristicauda (Krefft, 1867)",
Actinoschoenus sp. deaf adder gorge,scientificName,Fimbristylis sp. Deaf Adder Gorge (C.R.Dunlop 4403) NT Herbarium,
Phyllanthus sp. narrow tuberculate seeds,scientificName,Phyllanthus sp. Narrow tuberculate seeds (D.E.Albrecht 7456) Albr. & Cowie,
Galactia sp. short inflorescence,scientificName,Galactia sp. Short inflorescence (R.A.Kerrigan 595) NT Herbarium,
Cyperus sp. red base,scientificName,Cyperus sp. Red base (C.R.Michell 3073) NT Herbarium,
Antechinomys longicaudatus,scientificName,"Sminthopsis longicaudata Spencer, 1909",
Porzana tabuensis,scientificName,Zapornia tabuensis
Erythroxylum sp. cholmondely creek,scientificName,Erythroxylum sp. (Cholmondely Creek J.R.Clarkson 9367),
Northern Territory Conservation List,Triodia sp. matt wilson,scientificName,Triodia sp. Matt Wilson (I.D.Cowie 2446 & P.S.Brocklehurst) Cowie,
