raw_scientificName,field,value
Astelia australiana,status,Critically Endangered
Atrichopsis australis,scientificName,Notoligotrichum australe
Diuris punctata var. punctata,scientificName,Diuris punctata
Egretta garzetta,scientificName,Egretta garzetta nigripes
Egretta garzetta,taxonRank,subspecies
Eucalyptus perriniana subsp. familiaris,scientificName,Eucalyptus perriniana
Gelochelidon macrotarsa,scientificName,Gelochelidon nilotica macrotarsa
Gelochelidon macrotarsa,taxonRank,subspecies
Lespedeza juncea,scientificName,Lespedeza juncea subsp. sericea
Lespedeza juncea,taxonRank,subspecies
Rhynchoedura ormsbyi,scientificName, Rhynchoedura ornata
