raw_scientificName,field,value,notes
Thomasia purpurea x solanacea,scientificName,Thomasia purpurea (W.T.Aiton) J.Gay x Thomasia solanacea (Sims) J.Gay,
Eucalyptus absita x loxophleba,scientificName,Eucalyptus absita Grayling & Brooker x Eucalyptus loxophleba Benth.,
Jennata sp. southern (L.A.Orthia 39) WA Herbarium,scientificName,Pultenaea sp. southern (L.A.Orthia 39) WA Herbarium,Mar 2025 addition
Eucalyptus efflorescens,scientificName,Eucalyptus leptophylla,
Eucalyptus dielsii x platypus,scientificName,Eucalyptus dielsii C.A.Gardner x Eucalyptus platypus Hook.,
Eucalyptus buprestium x ligulata,scientificName,Eucalyptus buprestium x Eucalyptus ligulata,
Eucalyptus macrocarpa x pyriformis,scientificName,Eucalyptus macrocarpa x Eucalyptus pyriformis,
Acacia monticola x tumida var. kulparn,scientificName,Acacia monticola J.M.Black x Acacia tumida var. kulparn M.W.McDonald,
Eucalyptus marginata x megacarpa,scientificName,Eucalyptus marginata x Eucalyptus megacarpa,
Eucalyptus buprestium x staeri,scientificName,Eucalyptus buprestium x Eucalyptus staeri,
Eucalyptus buprestium x erectifolia,scientificName,Eucalyptus buprestium x Eucalyptus erectifolia,
Eucalyptus loxophleba x wandoo,scientificName,Eucalyptus loxophleba x Eucalyptus wandoo,
Eucalyptus buprestium x marginata,scientificName,Eucalyptus buprestium F.Muell. x Eucalyptus marginata Donn ex Sm.,
Eucalyptus preissiana x staeri,scientificName,Eucalyptus preissiana x Eucalyptus staeri,
Eucalyptus marginata x pachyloma,scientificName,Eucalyptus marginata x Eucalyptus pachyloma,
Euphrasia scabra,family,Scrophulariaceae,
Acacia yinnetharra,scientificName,Acacia sp. Yinnetharra (L.Sweedman 8229),
Lazarum sp. Middle Creek (M.D. Barrett MDB 3246),scientificName,Typhonium sp. Middle Creek (M.D.Barrett MDB 3246) WA Herbarium,
Lazarum sp. Morgan River (M.D. Barrett & R.L. Barrett MDB 2265),scientificName,Typhonium sp. Morgan River (M.D.Barrett & R.L.Barrett MDB 2265),
Lazarum sp. Prince Regent River (R.L. Barrett & M.D. Barrett RLB 1716),scientificName,Typhonium sp. Prince Regent River (R.L.Barrett & M.D.Barrett RLB 1716),
Lazarum sp. Theda (M.D. Barrett & R.L. Barrett MDB 1504),scientificName,Typhonium sp. Theda (M.D.Barrett & R.L.Barrett MDB 1504),
Sabdariffa kenneallyi,scientificName,Hibiscus kenneallyi,
Sabdariffa kirstyae,scientificName,Hibiscus kirstyae,
Sabdariffa marenitensis,scientificName,Hibiscus marenitensis,
Sabdariffa minutibracteola,scientificName,Hibiscus minutibracteolus,
Sabdariffa reflexa,scientificName,Hibiscus reflexus,
Sabdariffa squarrulosa,scientificName,Hibiscus squarrulosus,
Sabdariffa stewartii,scientificName,Hibiscus stewartii,
