taxonID,scientificName,vernacularName,Bonn,Listed_Name_Bonn,kingdom,phylum,class,order,family,genus,taxonRemarks,EPBC_Threat_Status,EPBC_Threatened_Species_Listed_Name,EPBC_Threatened_Species_Date_Effective,EPBC_Act_Migratory,CAMBA,Listed_Name_Camba,JAMBA,Listed_Name_Jamba,ROKAMBA,Listed_Name_Rokamba,Marine_Status,Listed_Name_Marine,Cetacean,Finalised_Priority_Assessment_List_FPAL_,Listed_Name_FPAL,Conservation_Advice,Recovery_Plan,Recovery_Plan_Decisions,status
59570,Acrocephalus orientalis,Oriental Reed-Warbler,B2C,Acrocephalus orientalis,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Acrocephalus,birds,,,,Listed,Listed,Acrocephalus orientalis,Listed,Acrocephalus orientalis,Listed,Acrocephalus orientalis,Listed - overfly marine area,Acrocephalus orientalis,,,,,,,Bonn Convention Listed
59309,Actitis hypoleucos,Common Sandpiper,B2C,Actitis hypoleucos,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,birds,,,,Listed,Listed,Actitis hypoleucos,Listed,Actitis hypoleucos,Listed,Actitis hypoleucos,Listed,Actitis hypoleucos,,,,,,,Bonn Convention Listed
68448,Anoxypristis cuspidata,"Narrow Sawfish, Knifetooth Sawfish","B1, B2",Anoxypristis cuspidata,Animalia,Chordata,Chondrichthyes,Rajiformes,Pristidae,Anoxypristis,sharks,,,,Listed,,,,,,,,,,30/10/2022,Anoxypristis cuspidata,,,,Bonn Convention Listed
872,Arenaria interpres,Ruddy Turnstone,B2C,Arenaria interpres,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,birds,,,,Listed,Listed,Arenaria interpres,Listed,Arenaria interpres,Listed,Arenaria interpres,Listed,Arenaria interpres,,30/10/2022,Arenaria interpres,,,,Bonn Convention Listed
67812,Balaenoptera bonaerensis,"Antarctic Minke Whale, Dark-shoulder Minke Whale",B2,Balaenoptera bonaerensis,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,mammals,,,,Listed,,,,,,,,,Cetacean,,,,,,Bonn Convention Listed
34,Balaenoptera borealis,Sei Whale,"B1, B2",Balaenoptera borealis,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,mammals,Vulnerable,Balaenoptera borealis,16-JUL-2000,Listed,,,,,,,,,Cetacean,,,01-Oct-15,,Recovery Plan not required,Bonn Convention Listed
35,Balaenoptera edeni,Bryde's Whale,B2,Balaenoptera edeni,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,mammals,,,,Listed,,,,,,,,,Cetacean,,,,,,Bonn Convention Listed
36,Balaenoptera musculus,Blue Whale,B1,Balaenoptera musculus,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,mammals,Endangered,Balaenoptera musculus,16-JUL-2000,Listed,,,,,,,,,Cetacean,,,,03-Oct-15,Recovery Plan required,Bonn Convention Listed
37,Balaenoptera physalus,Fin Whale,"B1, B2",Balaenoptera physalus,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,mammals,Vulnerable,Balaenoptera physalus,16-JUL-2000,Listed,,,,,,,,,Cetacean,,,01-Oct-15,,Recovery Plan not required,Bonn Convention Listed
874,Calidris acuminata,Sharp-tailed Sandpiper,B2C,Calidris acuminata,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,,,,Listed,Listed,Calidris acuminata,Listed,Calidris acuminata,Listed,Calidris acuminata,Listed,Calidris acuminata,,30/10/2022,Calidris acuminata,,,,Bonn Convention Listed
