taxonID,scientificName,vernacularName,status,Threatened Species Listed Name,Threatened Species Date Effective,Act Migratory,Bonn,Camba,Jamba,Rokamba,Marine Status,Listed Name Marine,Cetacean,Finalised Priority Assessment List,Listed Name,Conservation Advice,Recovery Plan,Recovery Plan Decisions,kingdom,phylum,class,order,family,genus,Taxon Group,iucn Red List,iucn Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos  Keeling  Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area,sourceStatus
59570,Acrocephalus orientalis,Oriental Reed-Warbler,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Acrocephalus orientalis,,,,,,,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Acrocephalus,birds,,,,,Present,,,,,Present,Present,,,,,,,,,Listed
59309,Actitis hypoleucos,Common Sandpiper,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed,Actitis hypoleucos,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,birds,Least Concern,Actitis hypoleucos,,,Present,Present,,,,Present,,,,,,,,,,Listed
825,Anous stolidus,Common Noddy,Listed,,,Listed,,Listed,Listed,,Listed,Anous stolidus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous,birds,Least Concern,Anous stolidus,,,Present,Present,,,,Present,Present,,,Present,,,,,Present,Listed
678,Apus pacificus,Fork-tailed Swift,Listed,,,Listed,,Listed,Listed,Listed,Listed - overfly marine area,Apus pacificus,,,,,,,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,birds,Least Concern,Apus pacificus,,,,,,,,,,,,,Present,,,,Present,Listed
82652,Ardenna tenuirostris,Short-tailed Shearwater,Listed,,,Listed,,Listed,Listed,Listed,Listed,Puffinus tenuirostris,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,birds,Least Concern,Ardenna tenuirostris,,Present,,,Present,Present,Present,Present,,,,,Present,,,,Present,Listed
872,Arenaria interpres,Ruddy Turnstone,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed,Arenaria interpres,,30/10/2022,Arenaria interpres,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,birds,Least Concern,Arenaria interpres,,Present,Present,Present,Present,Present,Present,Present,,,,Present,,,,,Present,Listed
874,Calidris acuminata,Sharp-tailed Sandpiper,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed,Calidris acuminata,,30/10/2022,Calidris acuminata,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,Least Concern,Calidris acuminata,,Present,,Present,Present,,Present,Present,,,,,,,,,,Listed
875,Calidris alba,Sanderling,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed,Calidris alba,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,Least Concern,Calidris alba,,Present,Present,Present,Present,Present,Present,Present,,,,,,,,,,Listed
855,Calidris canutus,"Red Knot, Knot",Listed,Calidris canutus,05-MAY-2016,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Calidris canutus,,"30/10/2022, Completed","Calidris canutus, Calidris canutus",05-May-16,,Recovery Plan not required,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,Near Threatened,Calidris canutus,,Present,Present,Present,Present,Present,Present,Present,,,,,,,,,Present,Listed
856,Calidris ferruginea,Curlew Sandpiper,Listed,Calidris ferruginea,26-MAY-2015,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Calidris ferruginea,,"30/10/2022, Completed","Calidris ferruginea, Calidris ferruginea",26-May-15,,Recovery Plan not required,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,Near Threatened,Calidris ferruginea,,Present,Present,Present,Present,Present,Present,Present,,,,,Present,,,,Present,Listed
860,Calidris ruficollis,Red-necked Stint,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Calidris ruficollis,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,Near Threatened,Calidris ruficollis,,,Present,Present,Present,Present,Present,Present,,,,,,,,,,Listed
861,Calidris subminuta,Long-toed Stint,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Calidris subminuta,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,Least Concern,Calidris subminuta,,,,,,,,,,,,,,,,,,Listed
