scientificName,vernacularName,family,genus,sourceStatus,status
Abutilon julianae,Norfolk Island Abutilon,Malvaceae,Abutilon,Critically Endangered,Critically Endangered
Acacia ammophila,-,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia aphylla,Leafless Rock Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia aprica,Blunt Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia aristulata,Watheroo Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia attenuata,-,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia auratiflora,Orange-flowered Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia awestoniana,Stirling Range Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia brachypoda,Western Wheatbelt Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia chapmanii subsp. australis,-,Fabaceae,Acacia,Endangered,Endangered
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Fabaceae,Acacia,Critically Endangered,Critically Endangered
Acacia constablei,Narrabarba Wattle,Fabaceae,Acacia,Critically Endangered,Critically Endangered
Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia cretacea,Chalky Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia crombiei,Pink Gidgee,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia curranii,Curly-bark Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia dangarensis,-,Fabaceae,Acacia,Critically Endangered,Critically Endangered
Acacia denticulosa,Sandpaper Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia depressa,Echidna Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia deuteroneura,-,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia enterocarpa,Jumping-jack Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia equisetifolia,a shrub,Fabaceae,Acacia,Critically Endangered,Critically Endangered
Acacia eremophiloides,-,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia flocktoniae,Flockton Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia forrestiana,Forest's Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia georgensis,Bega Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia glandulicarpa,Hairy-pod Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia gordonii,-,Fabaceae,Acacia,Endangered,Endangered
Acacia grandifolia,-,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia imitans,Gibson Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia insolita subsp. recurva,Yornaning Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia kingiana,-,Fabaceae,Acacia,Extinct,Extinct
Acacia lanuginophylla,Woolly Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia latzii,Latz's Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia lauta,Tara Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia leptalea,Chinocup Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia leptoneura,-,Fabaceae,Acacia,Critically Endangered,Critically Endangered
Acacia lobulata,Chiddarcooping Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia macnuttiana,McNutt's Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia meiantha,-,Fabaceae,Acacia,Endangered,Endangered
Acacia menzelii,Menzel's Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia pharangites,Wongan Gully Wattle,Fabaceae,Acacia,Endangered,Endangered
Acacia phasmoides,Phantom Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia pickardii,Birds Nest Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",Fabaceae,Acacia,Endangered,Endangered
Acacia porcata,-,Fabaceae,Acacia,Endangered,Endangered
Acacia praemorsa,Senna Wattle,Fabaceae,Acacia,Vulnerable,Vulnerable
Acacia praetermissa,a shrub,Fabaceae,Acacia,Vulnerable,Vulnerable
