taxonID,scientificName,vernacularName,status,EPBC_Threatened_Species_Listed_Name,EPBC_Threatened_Species_Date_Effective,EPBC_Act_Migratory,Bonn,Listed_Name_Bonn,CAMBA,Listed_Name_Camba,JAMBA,Listed_Name_Jamba,ROKAMBA,Listed_Name_Rokamba,Marine_Status,Listed_Name_Marine,Cetacean,Finalised_Priority_Assessment_List_FPAL_,Listed_Name_FPAL,Conservation_Advice,Recovery_Plan,Recovery_Plan_Decisions,kingdom,phylum,class,order,family,genus,taxonRemarks,ACT_NC_Act,ACT_NC_Act_Listed_Name,NSW_TSC_Act_and_FM_Act,NSW_TSC_Act_and_FM_Act_Listed_Name,NT_TPWC_Act,NT_TPWC_Act_Listed_Name,Qld_NC_Act,Qld_NC_Act_Listed_Name,SA_NPW_Act,SA_NPW_Act_Listed_Name,Tas_TSP_Act,Tas_TSP_Act_Listed_Name,Vic_FFG_Act_Advisory_Lists_,Vic_FFG_Act_Advisory_Lists_Listed_Name,WA_WC_Act,WA_WC_Act_Listed_Name,IUCN_Red_List,IUCN_Red_List_Listed_Names,Australian_Capital_Territory,New_South_Wales,Northern_Territory,Queensland,South_Australia,Tasmania,Victoria,Western_Australia,Ashmore_and_Cartier_Islands,Cocos_Keeling_Islands,Christmas_Island,Coral_Sea_Islands,Jervis_Bay_Territory,Norfolk_Island,Heard_and_McDonald_Islands,Australian_Antarctic_Territory,Commonwealth_Marine_Area
27797,Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,Abutilon julianae,25-NOV-2003,,,,,,,,,,,,,,,,28-Jul-10,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,dicots (two seed leaves),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endemic,,,
3763,Acacia ammophila, ,Vulnerable,Acacia ammophila,16-JUL-2000,,,,,,,,,,,,,,,01-Oct-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia ammophila,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
8153,Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,Acacia anomala,16-JUL-2000,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia anomala,,,,,,,,,,Endemic,,,,,,,,,
13553,Acacia aphylla,Leafless Rock Wattle,Vulnerable,Acacia aphylla,16-JUL-2000,,,,,,,,,,,,,,,03-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia aphylla,Vulnerable,Acacia aphylla,,,,,,,,Endemic,,,,,,,,,
64821,Acacia aprica,Blunt Wattle,Endangered,Acacia aprica,16-JUL-2000,,,,,,,,,,,,,,,15-Jul-16,18-Aug-04,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Critically Endangered,Acacia aprica,Endangered,Acacia aprica,,,,,,,,Endemic,,,,,,,,,
20767,Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,Acacia araneosa,16-JUL-2000,,,,,,,,,,,,,,,03-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Endangered,Acacia araneosa,,,,,,,,,,,,,Endemic,,,,,,,,,,,,
64822,Acacia aristulata,Watheroo Wattle,Endangered,Acacia aristulata,16-JUL-2000,,,,,,,,,,,,,,,03-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Endangered,Acacia aristulata,,,,,,,,,,Endemic,,,,,,,,,
64823,Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,Acacia ataxiphylla subsp. magna,16-JUL-2000,,,,,,,,,,,,,,,01-Oct-15,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Endangered,Acacia ataxiphylla subsp. magna,,,,,,,,,,Endemic,,,,,,,,,
10690,Acacia attenuata, ,Vulnerable,Acacia attenuata,16-JUL-2000,,,,,,,,,,,,,,,,08-Jan-08,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia attenuata,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
64824,Acacia auratiflora,Orange-flowered Wattle,Endangered,Acacia auratiflora,16-JUL-2000,,,,,,,,,,,,,,,,08-Jan-10,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia auratiflora,Vulnerable,Acacia auratiflora,,,,,,,,Endemic,,,,,,,,,
55562,Acacia awestoniana,Stirling Range Wattle,Vulnerable,Acacia awestoniana,16-JUL-2000,,,,,,,,,,,,,,,03-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Critically Endangered,Acacia awestoniana,Critically Endangered,Acacia awestoniana,,,,,,,,Endemic,,,,,,,,,
13563,Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,Acacia axillaris,16-JUL-2000,,,,,,,,,,,,,,,29-Apr-14,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,Vulnerable,Acacia axillaris,,,,,,,,,,,,Endemic,,,,,,,,,,,
55594,Acacia brachypoda,Western Wheatbelt Wattle,Endangered,Acacia brachypoda,16-JUL-2000,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia brachypoda,Endangered,Acacia brachypoda,,,,,,,,Endemic,,,,,,,,,
8575,Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,Acacia bynoeana,16-JUL-2000,,,,,,,,,,,,,,,17-Dec-13,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Endangered,Acacia bynoeana,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
21883,Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,Acacia caerulescens,16-JUL-2000,,,,,,,,,,,,,,,01-Apr-16,22-Dec-06,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,Endangered,Acacia caerulescens,,,,,,,,,,,Endemic,,,,,,,,,,
66685,Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,Acacia carneorum,16-JUL-2000,,,,,,,,,,,,,,,03-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Vulnerable,Acacia carneorum,,,,,Vulnerable,Acacia carneorum,,,,,,,,,,Present,,,Present,,,,,,,,,,,,
65249,Acacia chapmanii subsp. australis, ,Endangered,Acacia chapmanii subsp. australis,18-AUG-2006,,,,,,,,,,,,,,,03-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Endangered,Acacia chapmanii subsp. australis,,,,,,,,,,Endemic,,,,,,,,,
