scientificName,vernacularName,effectiveDate,status,sourceStatus
Rheobatrachus silus,Southern Gastric-brooding Frog,2000-07-16,Extinct,Extinct
Rheobatrachus vitellinus,"Northern Gastric-brooding Frog, Eungella Gastric-brooding Frog",2000-07-16,Extinct,Extinct
Taudactylus acutirostris,"Sharp-snouted Day Frog, Sharp-snouted Torrent Frog",2000-07-16,Extinct,Extinct
Taudactylus diurnus,"Southern Day Frog, Mt Glorious Torrent Frog",2000-07-16,Extinct,Extinct
Emoia nativitatis,"Christmas Island Forest Skink, Christmas Island Whiptail-skink",2021-03-03,Extinct,Extinct
Aplonis fusca,Tasman Starling,2000-07-16,Extinct,Extinct
Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",2000-07-16,Extinct,Extinct
Cyanoramphus novaezelandiae erythrotis,"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",2000-07-16,Extinct,Extinct
Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",2000-07-16,Extinct,Extinct
Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",2000-07-16,Extinct,Extinct
Dromaius ater,King Island Emu,2000-07-16,Extinct,Extinct
Dromaius baudinianus,Kangaroo Island Emu,2000-07-16,Extinct,Extinct
Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",2000-07-16,Extinct,Extinct
Gerygone insularis,"Lord Howe Gerygone, Lord Howe Warbler",2000-07-16,Extinct,Extinct
Hemiphaga novaeseelandiae spadicea,"New Zealand Pigeon (Norfolk Island race), Norfolk Island New Zealand Pigeon",2000-07-16,Extinct,Extinct
Hypotaenidia philippensis macquariensis,"Macquarie Island Buff-banded Rail, Buff-banded Rail (Macquarie Island)",2000-07-16,Extinct,Extinct
Lalage leucopyga leucopyga,Norfolk Island Long-tailed Triller,2000-07-16,Extinct,Extinct
Lewinia pectoralis clelandi,"Western Australian Lewin's Rail, Lewin's Rail (western)",2000-07-16,Extinct,Extinct
Nestor productus,Norfolk Island Kaka,2000-07-16,Extinct,Extinct
Ninox novaeseelandiae albaria,"Lord Howe Southern Boobook, Lord Howe Boobook Owl",2000-07-16,Extinct,Extinct
Porphyrio albus,White Gallinule,2000-07-16,Extinct,Extinct
Psephotus pulcherrimus,Paradise Parrot,2000-07-16,Extinct,Extinct
Rhipidura fuliginosa cervina,"Lord Howe Grey Fantail, Grey Fantail (Lord Howe Island)",2000-07-16,Extinct,Extinct
Turdus poliocephalus poliocephalus,"Grey-headed Blackbird, Norfolk Island Thrush",2000-07-16,Extinct,Extinct
Turdus poliocephalus vinitinctus,"Lord Howe Thrush, Vinous-tinted Thrush",2000-07-16,Extinct,Extinct
Zosterops albogularis,"White-chested White-eye, Norfolk Island Silvereye",2000-07-16,Extinct,Extinct
Zosterops strenuus,Robust White-eye,2000-07-16,Extinct,Extinct
Bettongia anhydra,Desert Bettong,2021-03-03,Extinct,Extinct
Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",2000-07-16,Extinct,Extinct
Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",2000-07-16,Extinct,Extinct
Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",2000-07-16,Extinct,Extinct
Bettongia pusilla,Nullarbor Dwarf Bettong,2021-03-03,Extinct,Extinct
Caloprymnus campestris,Desert Rat-kangaroo,2000-07-16,Extinct,Extinct
Chaeropus ecaudatus,"Pig-footed Bandicoot, Kanjilpa, Wilalya",2000-07-16,Extinct,Extinct
Chaeropus yirratji,"Yirratji, Northern Pig-footed Bandicoot",2000-07-16,Extinct,Extinct
Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",2000-07-16,Extinct,Extinct
Conilurus capricornensis,Capricorn Rabbit-rat,2021-03-03,Extinct,Extinct
Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",2000-07-16,Extinct,Extinct
Lagorchestes hirsutus hirsutus,"Rufous Hare-wallaby (south-western), Woorap",2000-07-16,Extinct,Extinct
Lagorchestes leporides,Eastern Hare-wallaby,2000-07-16,Extinct,Extinct
Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),2000-07-16,Extinct,Extinct
Leporillus apicalis,"Lesser Stick-nest Rat,Tjooyalpi, White-tailed Stick-nest Rat",2000-07-16,Extinct,Extinct
Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",2000-07-16,Extinct,Extinct
Melomys rubicola,Bramble Cay Melomys,2019-02-22,Extinct,Extinct
Notamacropus greyi,Toolache Wallaby,2000-07-16,Extinct,Extinct
Notomys amplus,"Short-tailed Hopping-mouse, Yoontoo",2000-07-16,Extinct,Extinct
Notomys longicaudatus,"Long-tailed Hopping-mouse, Koolawa, Talamba",2000-07-16,Extinct,Extinct
Notomys macrotis,"Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse",2000-07-16,Extinct,Extinct
Notomys mordax,"Darling Downs Hopping-mouse, Payi",2000-07-16,Extinct,Extinct
Notomys robustus,"Broad-cheeked Hopping-mouse, Great Hopping-mouse",2021-03-03,Extinct,Extinct
Nyctophilus howensis,"Lord Howe Long-eared Bat, Lord Howe Island Bat",2001-04-04,Extinct,Extinct
Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",2000-07-16,Extinct,Extinct
Perameles bougainville fasciata�=�Perameles fasciata,"Western Barred Bandicoot (eastern), Liverpool Plains Striped Bandicoot",2000-07-16,Extinct,Extinct
Perameles eremiana,"Desert Bandicoot, Walilya",2000-07-16,Extinct,Extinct
Perameles myosurus�=�Perameles myosuros,"Marl, Western Barred Bandicoot",2021-03-03,Extinct,Extinct
Perameles notina,South-eastern Striped Bandicoot,2021-03-03,Extinct,Extinct
Perameles papillon,"Butterfly Bandicoot, Nullarbor Barred Bandicoot",2021-03-03,Extinct,Extinct
Pipistrellus murrayi,Christmas Island Pipistrelle,2021-03-03,Extinct,Extinct
Potorous platyops,"Broad-faced Potoroo, Moda",2000-07-16,Extinct,Extinct
Pseudomys auritus,Long-eared Mouse,2021-03-03,Extinct,Extinct
Pseudomys glaucus,Blue-grey Mouse,2021-03-03,Extinct,Extinct
Pseudomys gouldii,"Gould's Mouse, Koontin",2000-07-16,Extinct,Extinct
Pteropus brunneus,"Percy Island Flying-fox, Dusky Fruit Bat",2021-03-03,Extinct,Extinct
Rattus macleari,"Maclear's Rat, Christmas Island Rat",2000-07-16,Extinct,Extinct
Rattus nativitatis,"Bulldog Rat, Christmas Island Burrowing Rat",2000-07-16,Extinct,Extinct
Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",2000-07-16,Extinct,Extinct
Hypolimnus pedderensis,Lake Pedder Earthworm,2009-06-30,Extinct,Extinct
Galaxias pedderensis,Pedder Galaxias,2005-06-06,Extinct in wild,Extinct in wild
Bidyanus bidyanus,"Silver Perch, Bidyan",2013-12-21,Critically Endangered,Critically Endangered
Brachionichthys hirsutus,Spotted Handfish,2012-10-11,Critically Endangered,Critically Endangered
Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),2001-10-16,Critically Endangered,Critically Endangered
Galaxias rostratus,"Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow",2016-05-05,Critically Endangered,Critically Endangered
Galaxias tantangara,Stocky Galaxias,2021-03-03,Critically Endangered,Critically Endangered
Glyphis glyphis,Speartooth Shark,2001-10-16,Critically Endangered,Critically Endangered
Stiphodon semoni,Opal Cling Goby,2011-02-16,Critically Endangered,Critically Endangered
Thymichthys politus,Red Handfish,2012-10-11,Critically Endangered,Critically Endangered
Cophixalus concinnus,Elegant Frog,2019-07-04,Critically Endangered,Critically Endangered
Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",2019-07-04,Critically Endangered,Critically Endangered
Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",2019-07-04,Critically Endangered,Critically Endangered
Cophixalus monticola,Mountain-top Nursery-frog,2019-07-04,Critically Endangered,Critically Endangered
Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",2019-07-04,Critically Endangered,Critically Endangered
Geocrinia alba,"White-bellied Frog, Creek Frog",2019-07-04,Critically Endangered,Critically Endangered
Litoria castanea,"Yellow-spotted Tree Frog, Yellow-spotted Bell Frog",2019-07-04,Critically Endangered,Critically Endangered
Litoria kroombitensis,Kroombit Treefrog,2019-07-04,Critically Endangered,Critically Endangered
Litoria lorica,Armoured Mistfrog,2007-02-01,Critically Endangered,Critically Endangered
Litoria myola,Kuranda Tree Frog,2019-07-04,Critically Endangered,Critically Endangered
Litoria nyakalensis,"Mountain Mistfrog, Nyakala Frog",2007-02-01,Critically Endangered,Critically Endangered
Litoria spenceri,Spotted Tree Frog,2021-11-13,Critically Endangered,Critically Endangered
Philoria frosti,Baw Baw Frog,2019-07-04,Critically Endangered,Critically Endangered
Pseudophryne corroboree,Southern Corroboree Frog,2013-04-06,Critically Endangered,Critically Endangered
Pseudophryne pengilleyi,Northern Corroboree Frog,2013-04-06,Critically Endangered,Critically Endangered
Taudactylus pleione,"Kroombit Tinker Frog, Pleione's Torrent Frog",2012-01-18,Critically Endangered,Critically Endangered
Taudactylus rheophilus,Tinkling Frog,2021-11-24,Critically Endangered,Critically Endangered
Aipysurus apraefrontalis,Short-nosed Seasnake,2011-02-15,Critically Endangered,Critically Endangered
Aipysurus foliosquama,Leaf-scaled Seasnake,2011-02-15,Critically Endangered,Critically Endangered
