scientificName,vernacularName,effectiveDate,status,sourceStatus
Acacia kingiana,,2000-07-16,Extinct,Extinct
Acacia prismifolia,Diels' Wattle,2000-07-16,Extinct,Extinct
Acianthus ledwardii,,2000-07-16,Extinct,Extinct
Amperea xiphoclada�var.�pedicellata,,2000-07-16,Extinct,Extinct
Amphibromus whitei,,2000-07-16,Extinct,Extinct
Caladenia brachyscapa,Short Spider-orchid,2000-07-16,Extinct,Extinct
Coleanthera virgata,Hidden Coleanthera,2000-07-16,Extinct,Extinct
Deyeuxia lawrencei,,2000-07-16,Extinct,Extinct
Didymoglossum exiguum,,2000-07-16,Extinct,Extinct
Diuris bracteata,,2000-07-16,Extinct,Extinct
Euphrasia ruptura,subshrub,2000-07-16,Extinct,Extinct
Frankenia decurrens,Decurrent-leaved Frankenia,2000-07-16,Extinct,Extinct
Huperzia serrata,Water Tassel-fern,2000-07-16,Extinct,Extinct
Hymenophyllum lobbii,,2000-07-16,Extinct,Extinct
Hymenophyllum whitei,a filmy fern,2000-07-16,Extinct,Extinct
Lemmaphyllum accedens,,2000-07-16,Extinct,Extinct
Lepidium drummondii,Drummond's Lepidium,2000-07-16,Extinct,Extinct
Leucopogon cryptanthus,Small-flowered Leucopogon,2000-07-16,Extinct,Extinct
Lycopodium volubile�=�Pseudodiphasium volubile,,2000-07-16,Extinct,Extinct
Marsdenia araujacea,,2000-07-16,Extinct,Extinct
Monogramma dareicarpa,Grass Fern,2000-07-16,Extinct,Extinct
Musa fitzalanii,Daintree's River Banana,2000-07-16,Extinct,Extinct
Myriocephalus nudus,,2019-07-04,Extinct,Extinct
Olearia oliganthema,,2000-07-16,Extinct,Extinct
Opercularia acolytantha,Esperance Dog Weed,2000-07-16,Extinct,Extinct
Ozothamnus selaginoides,"Clubmoss Everlasting, Table Mountain Daisy Bush",2000-07-16,Extinct,Extinct
Paspalum batianoffii,,2000-07-16,Extinct,Extinct
Persoonia laxa,,2000-07-16,Extinct,Extinct
Persoonia prostrata,,2000-07-16,Extinct,Extinct
Pultenaea maidenii,Maiden's Bush-pea,2000-07-16,Extinct,Extinct
Senecio georgianus,Grey Groundsel,2000-07-16,Extinct,Extinct
Solanum bauerianum,Bridal Flower,2018-05-11,Extinct,Extinct
Tetratheca fasciculata,Cronin's Tetratheca,2000-07-16,Extinct,Extinct
Thomasia gardneri,Mt Holland Thomasia,2000-07-16,Extinct,Extinct
Tmesipteris lanceolata,,2000-07-16,Extinct,Extinct
Trianthema cypseleoides,,2000-07-16,Extinct,Extinct
Vanvoorstia bennettiana,Bennett's Seaweed,2001-10-16,Extinct,Extinct
Abutilon julianae,Norfolk Island Abutilon,2003-11-25,Critically Endangered,Critically Endangered
Acacia cochlocarpa�subsp.�velutinosa,Velvety Spiral Pod Wattle,2006-08-18,Critically Endangered,Critically Endangered
Acacia dangarensis,,2020-09-25,Critically Endangered,Critically Endangered
Acacia equisetifolia,a shrub,2006-08-18,Critically Endangered,Critically Endangered
Acacia leptoneura,,2015-09-24,Critically Endangered,Critically Endangered
Acacia purpureopetala,Purple-flowered Wattle,2014-01-24,Critically Endangered,Critically Endangered
Acacia unguicula,a shrub,2006-08-18,Critically Endangered,Critically Endangered
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",2006-11-27,Critically Endangered,Critically Endangered
Achyranthes arborescens,"Chaff Tree, Soft-wood",2003-11-25,Critically Endangered,Critically Endangered
Achyranthes margaretarum,Phillip Island Chaffy Tree,2003-11-25,Critically Endangered,Critically Endangered
Andersonia annelsii,,2018-05-11,Critically Endangered,Critically Endangered
Androcalva adenothalia,,2019-07-04,Critically Endangered,Critically Endangered
Androcalva bivillosa,Straggling Androcalva,2018-05-11,Critically Endangered,Critically Endangered
Anthosachne kingiana�subsp.�kingiana,Phillip Island Wheat Grass,2003-11-25,Critically Endangered,Critically Endangered
Antrophyum austroqueenslandicum,"Border Ranges Lined Fern, Lamington Ox Tongue Fern",2020-11-04,Critically Endangered,Critically Endangered
Asplenium listeri,Christmas Island Spleenwort,2002-07-23,Critically Endangered,Critically Endangered
Asterolasia beckersii,Dungowan Starbush,2021-03-02,Critically Endangered,Critically Endangered
Atalaya brevialata,,2013-12-14,Critically Endangered,Critically Endangered
Austrostipa jacobsiana,,2018-02-15,Critically Endangered,Critically Endangered
Azorella macquariensis,"Macquarie Azorella, Macquarie Cushions",2010-08-19,Critically Endangered,Critically Endangered
Banksia anatona,Cactus Dryandra,2013-05-14,Critically Endangered,Critically Endangered
Banksia aurantia,Orange Dryandra,2013-05-14,Critically Endangered,Critically Endangered
Banksia fuscobractea,Dark-bract Banksia,2009-12-01,Critically Endangered,Critically Endangered
Banksia serratuloides�subsp.�perissa,Northern Serrate Dryandra,2013-05-14,Critically Endangered,Critically Endangered
Banksia vincentia,,2018-02-15,Critically Endangered,Critically Endangered
Boehmeria australis�subsp.�australis,"Tree Nettle, Nettletree",2003-11-25,Critically Endangered,Critically Endangered
Boronia inflexa�subsp.�torringtonensis,,2021-12-07,Critically Endangered,Critically Endangered
Bossiaea fragrans,,2018-05-11,Critically Endangered,Critically Endangered
Brachychiton�sp. Ormeau (L.H.Bird AQ435851),Ormeau Bottle Tree,2013-03-09,Critically Endangered,Critically Endangered
Brachyscias verecundus,Ironstone Brachyscias,2006-08-18,Critically Endangered,Critically Endangered
Bruguiera x hainesii,Haines's Orange Mangrove,2019-02-22,Critically Endangered,Critically Endangered
Caladenia actensis,Canberra Spider Orchid,2005-06-06,Critically Endangered,Critically Endangered
Caladenia anthracina,Black-tipped Spider-orchid,2001-10-16,Critically Endangered,Critically Endangered
Caladenia attenuata,Duramana Fingers,2018-05-11,Critically Endangered,Critically Endangered
Caladenia campbellii,"Thick-stem Caladenia, Thick-stem Fairy Fingers",2001-10-16,Critically Endangered,Critically Endangered
Caladenia cremna,"Don's Spider Orchid, Beady Spider Orchid",2010-02-12,Critically Endangered,Critically Endangered
Caladenia intuta,Ghost Spider-orchid,2009-01-08,Critically Endangered,Critically Endangered
Caladenia lindleyana,Lindley's Spider-orchid,2001-10-16,Critically Endangered,Critically Endangered
Caladenia lodgeana,Lodge's Spider-orchid,2013-02-26,Critically Endangered,Critically Endangered
Caladenia luteola,Lemon Spider Orchid,2018-02-15,Critically Endangered,Critically Endangered
Caladenia melanema,"Ballerina Orchid, Ballerina Spider Orchid",2009-01-08,Critically Endangered,Critically Endangered
Caladenia pallida,"Rosy Spider Orchid, Pale Spider-orchid, Summer Spider-orchid",2001-10-16,Critically Endangered,Critically Endangered
Caladenia procera,Carbunup King Spider Orchid,2009-01-08,Critically Endangered,Critically Endangered
Caladenia pumila,Dwarf Spider-orchid,2011-09-30,Critically Endangered,Critically Endangered
Caladenia saggicola,Sagg Spider-orchid,2001-10-16,Critically Endangered,Critically Endangered
Caladenia�sp. Kilsyth South (G.S.Lorimer 1253),Kilsyth South Spider-orchid,2001-10-04,Critically Endangered,Critically Endangered
Caladenia sylvicola,Forest Fingers,2001-10-16,Critically Endangered,Critically Endangered
Caladenia tonellii,Robust Fingers,2001-10-16,Critically Endangered,Critically Endangered
Calectasia cyanea,Blue Tinsel Lily,2006-08-18,Critically Endangered,Critically Endangered
Callistemon megalongensis,Megalong Valley Bottlebrush,2015-11-17,Critically Endangered,Critically Endangered
Callistemon purpurascens,a bottlebrush,2018-05-11,Critically Endangered,Critically Endangered
Callistemon wimmerensis,Wimmera Bottlebrush,2011-03-31,Critically Endangered,Critically Endangered
Calochilus cupreus,Copper Beard Orchid,2016-05-05,Critically Endangered,Critically Endangered
Calystegia affinis,,2003-11-25,Critically Endangered,Critically Endangered
Cassinia tegulata,Avenue Cassinia,2009-01-08,Critically Endangered,Critically Endangered
Clausena excavata,,2019-07-04,Critically Endangered,Critically Endangered
Clematis dubia,"a creeper, Clematis",2003-11-25,Critically Endangered,Critically Endangered
Commersonia apella,Many-flowered Commersonia,2018-02-15,Critically Endangered,Critically Endangered
Conospermum galeatum,,2018-05-11,Critically Endangered,Critically Endangered
Conostylis setigera�subsp.�dasys,Boscabel Conostylis,2009-06-11,Critically Endangered,Critically Endangered
Corunastylis ectopa,"Brindabella Midge-orchid, Ectopic Midge-orchid",2005-06-06,Critically Endangered,Critically Endangered
Corunastylis firthii,Firth's Midge-orchid,2001-10-16,Critically Endangered,Critically Endangered
Corunastylis insignis,"Wyong Midge Orchid 1, Variable Midge Orchid 1",2014-07-19,Critically Endangered,Critically Endangered
Corunastylis littoralis,Tuncurry Midge Orchid,2011-02-22,Critically Endangered,Critically Endangered
Corunastylis�sp. Charmhaven (NSW 896673),Wyong Midge Orchid 2,2014-07-19,Critically Endangered,Critically Endangered
Corybas sulcatus,Grooved Helmet-orchid,2013-02-26,Critically Endangered,Critically Endangered
Darwinia foetida,Muchea Bell,2009-06-11,Critically Endangered,Critically Endangered
Dasymalla axillaris,Native Foxglove,2010-08-19,Critically Endangered,Critically Endangered
Daviesia glossosema,Maroon-flowered Daviesia,2006-08-18,Critically Endangered,Critically Endangered
Daviesia ovata,Broad-leaf Daviesia,2018-05-11,Critically Endangered,Critically Endangered
Diuris flavescens,"Pale Yellow Doubletail, Wingham Doubletail",2014-01-24,Critically Endangered,Critically Endangered
Duma horrida�subsp.�abdita,Remote Thorny Lignum,2006-08-18,Critically Endangered,Critically Endangered
Eidothea hardeniana,Nightcap Oak,2002-07-23,Critically Endangered,Critically Endangered
Elatostema montanum,Mountain Procris,2003-11-25,Critically Endangered,Critically Endangered
