taxonRank,kingdom,class,order,family,genus,scientificName,specificEpithet,vernacularName,establishmentMeans,sourceStatus,protectedInNSW,sensitivityClass,tsprofileid,countryConservation,dcterms_modified,speciesID,taxonID,status
Species,Animalia,Reptilia,Squamata,Pygopodidae,Delma,Delma impar,impar,Striped Legless Lizard,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10211.0,Vulnerable,2013-12-20T15:06:07.13+11:00,1,1,Vulnerable
Species,Animalia,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,fimbriatum,Gang-gang Cockatoo,"Alive in NSW, Native",Vulnerable,true,Category 3,10975.0,Endangered,2022-05-12T15:50:01.01+10:00,6,6,Vulnerable
Species,Animalia,Reptilia,Squamata,Elapidae,Cacophis,Cacophis harriettae,harriettae,White-crowned Snake,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10117.0,Not Listed,2015-05-28T10:14:29.083+10:00,31,31,Vulnerable
Species,Animalia,Amphibia,Anura,Hylidae,Litoria,Litoria booroolongensis,booroolongensis,Booroolong Frog,"Alive in NSW, Native",Endangered,true,Not Sensitive,10484.0,Endangered,2011-11-11T11:23:05+11:00,33,33,Endangered
Species,Animalia,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera phrygia,phrygia,Regent Honeyeater,"Alive in NSW, Native",Critically Endangered,true,Not Sensitive,10841.0,Critically Endangered,2011-11-11T11:23:09+11:00,53,53,Critically Endangered
Species,Animalia,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris tenuirostris,tenuirostris,Great Knot,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10128.0,Critically Endangered,2012-09-04T17:26:31.88+10:00,63,63,Vulnerable
Species,Animalia,Aves,Passeriformes,Estrildidae,Neochmia,Neochmia ruficauda,ruficauda,Star Finch,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20181.0,Endangered,2012-08-05T13:29:13.003+10:00,77,77,Extinct
Species,Animalia,Reptilia,Squamata,Carphodactylidae,Uvidicolus,Uvidicolus sphyrurus,sphyrurus,Border Thick-tailed Gecko,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10823.0,Vulnerable,2021-02-01T18:08:13.473+11:00,81,81,Vulnerable
Species,Animalia,Aves,Gruiformes,Rallidae,Amaurornis,Amaurornis moluccana,moluccana,Pale-vented Bush-hen,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10042.0,Not Listed,2020-01-21T11:27:26.927+11:00,86,86,Vulnerable
Species,Animalia,Mammalia,Dasyuromorphia,Dasyuridae,Phascogale,Phascogale tapoatafa,tapoatafa,Brush-tailed Phascogale,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10613.0,Not Listed,2011-11-11T11:23:07+11:00,98,98,Vulnerable
Species,Animalia,Aves,Turniciformes,Turnicidae,Turnix,Turnix maculosus,maculosus,Red-backed Button-quail,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,20039.0,Not Listed,2011-12-22T12:01:05.753+11:00,113,113,Vulnerable
Species,Animalia,Amphibia,Anura,Myobatrachidae,Assa,Assa darlingtoni,darlingtoni,Pouched Frog,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10070.0,Not Listed,2011-11-11T11:23:00+11:00,131,131,Vulnerable
Species,Animalia,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys australis,australis,Plains Rat,"Extinct in NSW, Native",Vulnerable,true,Not Sensitive,20205.0,Vulnerable,2020-01-22T14:13:05.977+11:00,137,137,Vulnerable
Species,Animalia,Mammalia,Peramelemorphia,Chaeropodidae,Chaeropus,Chaeropus ecaudatus,ecaudatus,Pig-footed Bandicoot,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20186.0,Extinct,2021-02-01T18:08:00.66+11:00,140,140,Extinct
Species,Animalia,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua occipitalis,occipitalis,Western Blue-tongued Lizard,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10807.0,Not Listed,2011-11-11T11:23:08+11:00,148,148,Vulnerable
Species,Animalia,Amphibia,Anura,Hylidae,Litoria,Litoria spenceri,spenceri,Spotted Tree Frog,"Alive in NSW, Native",Critically Endangered,true,Not Sensitive,10492.0,Endangered,2012-09-04T14:59:38.083+10:00,161,161,Critically Endangered
Species,Animalia,Aves,Strigiformes,Strigidae,Ninox,Ninox strenua,strenua,Powerful Owl,"Alive in NSW, Native",Vulnerable,true,Category 3,10562.0,Not Listed,2011-11-11T11:23:06+11:00,162,162,Vulnerable
Species,Animalia,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa limosa,limosa,Black-tailed Godwit,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10479.0,Not Listed,2012-09-04T16:06:51.7+10:00,163,163,Vulnerable
Species,Animalia,Aves,Passeriformes,Monarchidae,Carterornis,Carterornis leucotis,leucotis,White-eared Monarch,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10540.0,Not Listed,2011-12-22T12:18:56.523+11:00,194,194,Vulnerable
Species,Animalia,Aves,Passeriformes,Estrildidae,Stagonopleura,Stagonopleura guttata,guttata,Diamond Firetail,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10768.0,Not Listed,2022-05-12T15:43:35.677+10:00,207,207,Vulnerable
Species,Animalia,Amphibia,Anura,Hylidae,Litoria,Litoria subglandulosa,subglandulosa,Glandular Frog,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10493.0,Not Listed,2011-11-11T11:23:05+11:00,221,221,Vulnerable
Species,Animalia,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys gouldii,gouldii,Gould's Mouse,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20206.0,Extinct,2012-08-05T13:29:13.003+10:00,229,229,Extinct
Species,Animalia,Aves,Procellariiformes,Diomedeidae,Diomedea,Diomedea exulans,exulans,Wandering Albatross,"Alive in NSW, Native",Endangered,true,Not Sensitive,10907.0,Endangered,2020-07-03T17:29:59.347+10:00,235,235,Endangered
Species,Animalia,Reptilia,Squamata,Diplodactylidae,Strophurus,Strophurus elderi,elderi,Jewelled Gecko,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10230.0,Not Listed,2016-06-10T13:41:06.947+10:00,239,239,Vulnerable
Species,Animalia,Reptilia,Testudines,Dermochelyidae,Dermochelys,Dermochelys coriacea,coriacea,Leatherback Turtle,"Alive in NSW, Native",Endangered,true,Not Sensitive,10216.0,Endangered,2012-09-04T15:07:15.47+10:00,259,259,Endangered
Species,Animalia,Mammalia,Diprotodonta,Macropodidae,Lagorchestes,Lagorchestes leporides,leporides,Eastern Hare-wallaby,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20195.0,Extinct,2012-08-05T13:29:13.003+10:00,265,265,Extinct
Species,Animalia,Aves,Passeriformes,Meliphagidae,Lichenostomus,Lichenostomus fasciogularis,fasciogularis,Mangrove Honeyeater,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10477.0,Not Listed,2018-06-29T14:19:01.033+10:00,288,288,Vulnerable
Species,Animalia,Mammalia,Diprotodonta,Macropodidae,Onychogalea,Onychogalea lunata,lunata,Crescent Nailtail Wallaby,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20197.0,Extinct,2012-08-05T13:29:13.003+10:00,304,304,Extinct
Species,Animalia,Mammalia,Diprotodonta,Potoroidae,Aepyprymnus,Aepyprymnus rufescens,rufescens,Rufous Bettong,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10033.0,Not Listed,2011-11-11T11:22:59+11:00,308,308,Vulnerable
Species,Animalia,Reptilia,Squamata,Elapidae,Echiopsis,Echiopsis curta,curta,Bardick,"Alive in NSW, Native",Endangered,true,Not Sensitive,10258.0,Not Listed,2011-11-11T11:23:02+11:00,327,327,Endangered
Species,Animalia,Aves,Falconiformes,Accipitridae,Haliaeetus,Haliaeetus leucogaster,leucogaster,White-bellied Sea-Eagle,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,20322.0,Not Listed,2020-07-03T17:30:02.107+10:00,330,330,Vulnerable
Species,Animalia,Aves,Strigiformes,Tytonidae,Tyto,Tyto tenebricosa,tenebricosa,Sooty Owl,"Alive in NSW, Native",Vulnerable,true,Category 3,10821.0,Not Listed,2012-07-23T18:04:52.683+10:00,333,333,Vulnerable
Species,Animalia,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma solandri,solandri,Providence Petrel,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10894.0,Not Listed,2020-07-03T17:30:09.99+10:00,337,337,Vulnerable
Species,Animalia,Reptilia,Squamata,Pygopodidae,Aprasia,Aprasia parapulchella,parapulchella,Pink-tailed Legless Lizard,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10061.0,Vulnerable,2011-11-11T11:23:00+11:00,345,345,Vulnerable
Species,Animalia,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus,Chalinolobus dwyeri,dwyeri,Large-eared Pied Bat,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10157.0,Vulnerable,2011-11-11T11:23:01+11:00,353,353,Vulnerable
Species,Animalia,Aves,Strigiformes,Strigidae,Ninox,Ninox connivens,connivens,Barking Owl,"Alive in NSW, Native",Vulnerable,true,Category 3,10561.0,Not Listed,2011-11-11T11:23:06+11:00,363,363,Vulnerable
Species,Animalia,Aves,Ciconiiformes,Ardeidae,Ixobrychus,Ixobrychus flavicollis,flavicollis,Black Bittern,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10441.0,Not Listed,2011-11-11T11:23:04+11:00,365,365,Vulnerable
