family,status,sourceStatus,vernacularName,scientificName,taxonRemarks
,Vulnerable ,Vulnerable (extinct in NT),Kowari ,Dasyuroides byrnei,Mammal
,Vulnerable,Vulnerable (extinct in NT),Red-tailed phascogale ,Phascogale calura,Mammal
,Vulnerable,Vulnerable (extinct in NT),Shark Bay mouse ,Pseudomys fieldi,Mammal
,Vulnerable,Vulnerable (extinct in NT),Western quoll ,Dasyurus geoffroii,Mammal
Fabaceae,Vulnerable,Vulnerable,Latz's wattle,Acacia latzii,
Fabaceae,Vulnerable,Vulnerable,,Acacia praetermissa,
Fabaceae,Vulnerable,Vulnerable,Undoolya wattle,Acacia undoolyana,
Apiaceae,Vulnerable,Vulnerable,Flannel flower,Actinotus schwarzii,
Pteridaceae,Vulnerable,Vulnerable,Venus-hair fern,Adiantum capillus-veneris,
Euphorbiaceae,Vulnerable,Vulnerable,,Amperia spicata,
Marattiaceae,Vulnerable,Vulnerable,,Angiopteris evecta,
Myrtaceae,Vulnerable,Vulnerable,,Babingtonia behrii,
Dryopteridaceae,Vulnerable,Vulnerable,,Bolbitis quoyana,
Rutaceae,Vulnerable,Vulnerable,,Boronia quadrilata,
Rutaceae,Vulnerable,Vulnerable,,Boronia viridiflora,
Orchidaceae,Vulnerable,Vulnerable,,Calochilus caeruleus,
Cyperaceae,Vulnerable,Vulnerable,,Carex fascicularis,
Ranunculaceae,Vulnerable,Vulnerable,,Clematis decipiens,
Cleomaceae,Vulnerable,Vulnerable,,Cleome insolata,
Orchidaceae,Vulnerable,Vulnerable,,Crepidium marsupichilum,
Cycadaceae,Vulnerable,Vulnerable,,Cycas armstrongii,
Santalaceae,Vulnerable,Vulnerable,,Dendromyza reinwardtiana,
Orchidaceae,Vulnerable,Vulnerable,,Dienia montana,
Cyperaceae,Vulnerable,Vulnerable,Dwarf desert spike-rush,Eleocharis papillosa,
Lauraceae,Vulnerable,Vulnerable,,Endiandra limnophila,
Pandanaceae,Vulnerable,Vulnerable,,Freycinetia excelsa,
Pandanaceae,Vulnerable,Vulnerable,,Freycinetia percostata,
Gleicheniaceae,Vulnerable,Vulnerable,,Gleichenia sp. Victoria River,
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia brennanii,
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia pancerea,
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia sp. South Magela,
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia tricornis,
Malvaceae,Vulnerable,Vulnerable,,Hibiscus brennanii,
Malvaceae,Vulnerable,Vulnerable,,Hibiscus cravenii,
Apocynaceae,Vulnerable,Vulnerable,,Hoya australis subsp. oramicola,
Fabaceae,Vulnerable,Vulnerable,,Jacksonia divisa,
Myrtaceae,Vulnerable,Vulnerable,,Lithomyrtus linariifolia,
Orchidaceae,Vulnerable,Vulnerable,,Luisia corrugata,
Cyperaceae,Vulnerable,Vulnerable,,Mapania macrocephala,
Asteraceae,Vulnerable,Vulnerable,,Minuria tridens,
Annonaceae,Vulnerable,Vulnerable,,Mitrella tiwiensis,
Pontederiaceae,Vulnerable,Vulnerable,,Monochoria hastata,
Apiaceae,Vulnerable,Vulnerable,,Platysace saxatilis,
Lamiaceae,Vulnerable,Vulnerable,,Prostanthera schultzii,
Melastomataceae,Vulnerable,Vulnerable,,Pternandra coerulescens,
Santalaceae,Vulnerable,Vulnerable,,Santalum acuminatum,
Cyperaceae,Vulnerable,Vulnerable,,Schoenus centralis,
Poaceae,Vulnerable,Vulnerable,,Sporobolus latzii,
Gleicheniaceae,Vulnerable,Vulnerable,,Sticherus flabellatus,
Orchidaceae,Vulnerable,Vulnerable,,Thrixspermum congestum,
Poaceae,Vulnerable,Vulnerable,,Triodia sp. Matt Wilson,
Araceae,Vulnerable,Vulnerable,,Typhonium praetermissum,
Araceae,Vulnerable,Vulnerable,,Typhonium sp. Sandover,
Lentibulariaceae,Vulnerable,Vulnerable,,Utricularia dunstaniae,
Lentibulariaceae,Vulnerable,Vulnerable,,Utricularia singeriana,
Orchidaceae,Vulnerable,Vulnerable,,Zeuxine oblonga,
,Vulnerable,Vulnerable,Angalarri grunter,Scortum neili,Fish
,Vulnerable,Vulnerable,Arnhem leaf-nosed bat,Hipposideros inornatus,Mammal
,Vulnerable,Vulnerable,Arnhem rock-rat,Zyzomys maini,Mammal
,Vulnerable,Vulnerable,Atlas moth,Attacus wardi,Invertebrate
,Vulnerable,Vulnerable,Bar-tailed godwit (western Alaskan),Limosa lapponica baueri,Bird
,Vulnerable,Vulnerable,Black-footed tree-rat (Melville Island),Mesembriomys gouldii melvillensis,Mammal
,Vulnerable,Vulnerable,Butler’s dunnart,Sminthopsis butleri,Mammal
,Vulnerable,Vulnerable,Crack-dwelling ctenotus (Keep-Ord Rivers),Ctenotus rimacola camptris,Reptile
,Vulnerable,Vulnerable,Crest-tailed mulgara,Dasycercus cristicauda,Mammal
,Vulnerable,Vulnerable,Dwarf sawfish,Pristis clavata,Fish
,Vulnerable,Vulnerable,Ellery Creek squat snail,Semotrachia elleryi,Invertebrate
,Vulnerable,Vulnerable,Emily Gap squat snail ,Semotrachia emilia,Invertebrate
,Vulnerable,Vulnerable,Fenn Gap squat snail,Semotrachia filixiana,Invertebrate
,Vulnerable,Vulnerable,Finke goby,Chlamydogobius japalpa,Fish
,Vulnerable,Vulnerable,Finke Gorge rocksnail,Granulomelon arcigerens,Invertebrate
,Vulnerable,Vulnerable,Gillen Creek rocksnail ,Granulomelon gilleni,Invertebrate
,Vulnerable,Vulnerable,Gouldian finch ,Erythrura gouldiae,Bird
,Vulnerable,Vulnerable,Great desert skink ,Liopholis kintorei,Reptile
,Vulnerable,Vulnerable,Greater bilby ,Macrotis lagotis,Mammal
,Vulnerable,Vulnerable,Greater sand plover ,Charadrius leschenaultii,Bird
,Vulnerable,Vulnerable,Green sawfish,Pristis zijsron,Fish
,Vulnerable,Vulnerable,Grey falcon ,Falco hypoleucos,Bird
,Vulnerable,Vulnerable,Harts Range knob-lip snail ,Dirutrachia sublevata,Invertebrate
,Vulnerable,Vulnerable,Harts Range rocksnail ,Granulomelon grandituberculatum,Invertebrate
,Vulnerable,Vulnerable,Hawksbill turtle ,Eretmochelys imbricata,Reptile
,Vulnerable,Vulnerable,Hillier's keeled snail ,Divellomelon hillieri,Invertebrate
,Vulnerable,Vulnerable,Horsfield’s bushlark (Tiwi) ,Mirafra javanica melvillensis,Bird
,Vulnerable,Vulnerable,Howard River toadlet ,Uperoleia daviesae,Amphibian
,Vulnerable,Vulnerable,Huckitta Ruins squat snail ,Semotrachia huckittana,Invertebrate
,Vulnerable,Vulnerable,Illara Waterhole squat snail ,Semotrachia illarana,Invertebrate
,Vulnerable,Vulnerable,Jessie Gap squat snail ,Semotrachia jessieana,Invertebrate
,Vulnerable,Vulnerable,Jinka Spring squat snail ,Semotrachia jinkana,Invertebrate
,Vulnerable,Vulnerable,Krichauff Ranges snail ,Semotrachia esau,Invertebrate
,Vulnerable,Vulnerable,Largetooth sawfish,Pristis pristis,Fish
,Vulnerable,Vulnerable,Loggerhead turtle ,Caretta caretta,Reptile
,Vulnerable,Vulnerable,Lorentz grunter,Pingalla lorentzi,Fish
,Vulnerable,Vulnerable,Masked owl (northern mainland) ,Tyto novaehollandiae kimberli,Bird
,Vulnerable,Vulnerable,Melville squat-keeled snail ,Trochomorpha melvillensis,Invertebrate
,Vulnerable,Vulnerable,Merten’s water monitor ,Varanus mertensi,Reptile
,Vulnerable,Vulnerable,Mitchell’s water monitor ,Varanus mitchelli,Reptile
,Vulnerable,Vulnerable,Northern hopping-mouse ,Notomys aquilo,Mammal
,Vulnerable,Vulnerable,Oenpelli python ,Simalia oenpelliensis,Reptile
,Vulnerable,Vulnerable,Olive ridley ,Lepidochelys olivacea,Reptile
,Vulnerable,Vulnerable,Painted honeyeater ,Grantiella picta,Bird
,Vulnerable,Vulnerable,Pale field-rat ,Rattus tunneyi,Mammal
,Vulnerable,Vulnerable,Palm Valley rocksnail ,Granulomelon squamulosum,Invertebrate
,Vulnerable,Vulnerable,Partridge pidgeon (eastern) ,Geophaps smithii smithii,Bird
,Vulnerable,Vulnerable,Plains death adder ,Acanthophsis hawkei,Reptile
,Vulnerable,Vulnerable,Princess parrot ,Polytelis alexandrae,Bird
,Vulnerable,Vulnerable,Purple-crowned fairy-wren (western) ,Malurus coronatus coronatus,Bird
,Vulnerable,Vulnerable,Red Centre pinwheel snail ,Tateropa aemula,Invertebrate
,Vulnerable,Vulnerable,Red goshawk ,Erythrotriorchis radiatus,Bird
,Vulnerable,Vulnerable,Ross River squat snail ,Semotrachia rossana,Invertebrate
,Vulnerable,Vulnerable,Runutjirbana Ridge squat snail ,Semotrachia runutjirbana,Invertebrate
,Vulnerable,Vulnerable,Slater’s skink ,Liopholis slateri,Reptile
,Vulnerable,Vulnerable,Speartooth shark,Glyphis glyphis,Fish
,Vulnerable,Vulnerable,Spencer Gorge squat snail ,Semotrachia winneckeana,Invertebrate
,Vulnerable,Vulnerable,Spencer’s tapered snail ,Bothriembryon spenceri,Invertebrate
,Vulnerable,Vulnerable,Temple Bar squat snail ,Semotrachia caupona,Invertebrate
,Vulnerable,Vulnerable,Tiwi Islands treesnail ,Amphidromus cognatus,Invertebrate
,Vulnerable,Vulnerable,Victoria River squat snail ,Trachiopsis victoriana,Invertebrate
,Vulnerable,Vulnerable,Watt’s multicoiled snail ,Vidumelon wattii,Invertebrate
,Vulnerable,Vulnerable,White-throated grasswren ,Amytornis woodwardi,Bird
,Vulnerable,Vulnerable,Yellow-snouted ground gecko ,Lucasium occultum,Reptile
,Vulnerable,Vulnerable,Yellow-spotted monitor ,Varanus panoptes,Reptile
,Extinct,Extinct,Burrowing bettong (inland),Bettongia lesueur graii,Mammal
,Extinct,Extinct,Central hare-wallaby,Lagorchestes asomatus,Mammal
,Extinct,Extinct,Crescent nailtail wallaby,Onychogalea lunata,Mammal
,Extinct,Extinct,Desert bandicoot,Perameles eremiana,Mammal
,Extinct,Extinct,Desert bettong,Bettongia anhydra,Mammal
,Extinct,Extinct,Lesser bilby ,Macrotis leucura,Mammal
,Extinct,Extinct,Lesser stick-nest rat ,Leporillus apicalis,Mammal
,Extinct,Extinct,Long-tailed hopping-mouse ,Notomys longicaudatus,Mammal
,Extinct,Extinct,Pig-footed bandicoot ,Chaeropus ecaudatus,Mammal
,Extinct,Extinct,Short-tailed hopping-mouse ,Notomys amplus,Mammal
,Extinct,Extinct,Thick-billed grasswren (MacDonnell Ranges) ,Amytornis modestus modestus,Bird
,Endangered,Endangered (extinct in wild in NT),Mala ,Lagorchestes hirsutus Central Australian subspecies,Mammal
,Endangered,Endangered (extinct in NT),Brush-tailed bettong,Bettongia penicillata,Mammal
,Endangered,Endangered (extinct in NT),Numbat ,Myrmecobius fasciatus,Mammal
Hymenophyllaceae,Endangered,Endangered,,Abrodictyum obscurum,
Fabaceae,Endangered,Endangered,Waddy-wood,Acacia peuce,
Cyperaceae,Endangered,Endangered,,Baumea arthrophylla,
Burmanniaceae,Endangered,Endangered,,Burmannia sp. Bathurst Island,
Lauraceae,Endangered,Endangered,,Cryptocarya hypospodia,
Erythroxylaceae,Endangered,Endangered,,Erythroxylum sp. Cholmondely Creek,
Clusiaceae,Endangered,Endangered,,Garcinia warrenii,
Orchidaceae,Endangered,Endangered,,Habenaria rumphii,
Malvaceae,Endangered,Endangered,,Helicteres macrothrix,
