taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,EPBC Status
706,Animalia,Amphibia,Limnodynastidae,Adelotus brevis,tusked frog,"(Günther, 1863)",V,Y,N,Vulnerable,Intranational,
687,Animalia,Amphibia,Limnodynastidae,Philoria kundagungan,red-and-yellow mountainfrog,"(Ingram & Corben, 1975)",E,Y,Y,Endangered,Intranational,Endangered
686,Animalia,Amphibia,Myobatrachidae,Crinia tinnula,wallum froglet,"Straughan & Main, 1966",V,Y,N,Vulnerable,Intranational,
675,Animalia,Amphibia,Myobatrachidae,Mixophyes fleayi,Fleay's barred frog,"Corben & Ingram, 1987",E,Y,Y,Endangered,Intranational,Endangered
676,Animalia,Amphibia,Myobatrachidae,Mixophyes iteratus,giant barred frog,"Straughan, 1968",V,Y,Y,Vulnerable,Intranational,Vulnerable
660,Animalia,Amphibia,Myobatrachidae,Pseudophryne covacevichae,magnificent broodfrog,"Ingram & Corben, 1994",V,Y,Y,Vulnerable,Queensland Endemic,Vulnerable
648,Animalia,Amphibia,Myobatrachidae,Rheobatrachus silus,southern gastric brooding frog,"Liem, 1973",PE,Y,N,Extinct in the wild,Queensland Endemic,Extinct
650,Animalia,Amphibia,Myobatrachidae,Rheobatrachus vitellinus,northern gastric brooding frog,"Mahony, Tyler & Davies, 1984",E,Y,N,Endangered,Queensland Endemic,Extinct
651,Animalia,Amphibia,Myobatrachidae,Taudactylus acutirostris,sharp snouted dayfrog,"(Andersson, 1916)",PE,Y,N,Extinct in the wild,Queensland Endemic,Extinct
652,Animalia,Amphibia,Myobatrachidae,Taudactylus diurnus,southern dayfrog,"Straughan & Lee, 1966",PE,Y,N,Extinct in the wild,Queensland Endemic,Extinct
653,Animalia,Amphibia,Myobatrachidae,Taudactylus eungellensis,Eungella dayfrog,"Liem & Hosmer, 1973",E,Y,Y,Endangered,Queensland Endemic,Endangered
654,Animalia,Amphibia,Myobatrachidae,Taudactylus liemi,Eungella tinkerfrog,"Ingram, 1980",NT,Y,Y,Near Threatened,Queensland Endemic,
655,Animalia,Amphibia,Myobatrachidae,Taudactylus pleione,Kroombit tinkerfrog,"Czechura, 1986",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
656,Animalia,Amphibia,Myobatrachidae,Taudactylus rheophilus,northern tinkerfrog,"Liem & Hosmer, 1973",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
18173,Animalia,Amphibia,Hylidae,Litoria andiirrmalin,Melville Range treefrog,"McDonald, 1997",V,Y,Y,Vulnerable,Queensland Endemic,
629,Animalia,Amphibia,Hylidae,Litoria cooloolensis,Cooloola sedgefrog,"Liem, 1974",NT,Y,N,Near Threatened,Queensland Endemic,
579,Animalia,Amphibia,Hylidae,Litoria dayi,Australian lacelid,"(Günther, 1897)",V,Y,N,Vulnerable,Queensland Endemic,Vulnerable
609,Animalia,Amphibia,Hylidae,Litoria freycineti,wallum rocketfrog,"Tschudi, 1838",V,Y,N,Vulnerable,Intranational,
18279,Animalia,Amphibia,Hylidae,Litoria kroombitensis,Kroombit treefrog,"Hoskin, Hines, Meyer, Clarke & Cunningham, 2013",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
616,Animalia,Amphibia,Hylidae,Litoria longirostris,long snouted treefrog,"Tyler & Davies, 1977",NT,Y,Y,Near Threatened,Queensland Endemic,
602,Animalia,Amphibia,Hylidae,Litoria lorica,little waterfall frog,"Davies & McDonald, 1979",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
31630,Animalia,Amphibia,Hylidae,Litoria myola,Kuranda treefrog,"Hoskin, 2007",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
603,Animalia,Amphibia,Hylidae,Litoria nannotis,waterfall frog,"(Andersson, 1916)",E,Y,N,Endangered,Queensland Endemic,
606,Animalia,Amphibia,Hylidae,Litoria nyakalensis,mountain mistfrog,"Liem, 1974",CR,Y,N,Critically Endangered,Queensland Endemic,Critically Endangered
593,Animalia,Amphibia,Hylidae,Litoria olongburensis,wallum sedgefrog,"Liem & Ingram, 1977",V,Y,N,Vulnerable,Intranational,Vulnerable
595,Animalia,Amphibia,Hylidae,Litoria pearsoniana,cascade treefrog,"(Copland, 1961)",V,Y,N,Vulnerable,Intranational,
598,Animalia,Amphibia,Hylidae,Litoria rheocola,common mistfrog,"Liem, 1974",E,Y,N,Endangered,Queensland Endemic,
610,Animalia,Amphibia,Hylidae,Litoria serrata,tapping green eyed frog,"(Andersson, 1916)",V,Y,N,Vulnerable,Queensland Endemic,
18440,Animalia,Amphibia,Hylidae,Litoria sp. cf. cooloolensis (North Stradbroke Is population),,,NT,Y,N,Near Threatened,Queensland Endemic,
587,Animalia,Amphibia,Hylidae,Litoria subglandulosa,New England treefrog,"Tyler & Anstis, 1975",V,Y,Y,Vulnerable,Intranational,
29400,Animalia,Amphibia,Microhylidae,Cophixalus aenigma,tapping nurseryfrog,"Hoskin, 2004",E,Y,N,Endangered,Queensland Endemic,Endangered
29399,Animalia,Amphibia,Microhylidae,Cophixalus concinnus,beautiful nurseryfrog,"Tyler, 1979",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
720,Animalia,Amphibia,Microhylidae,Cophixalus crepitans,northern nurseryfrog,"Zweifel, 1985",V,Y,N,Vulnerable,Queensland Endemic,
721,Animalia,Amphibia,Microhylidae,Cophixalus exiguus,dainty nurseryfrog,"Zweifel & Parker, 1969",V,Y,N,Vulnerable,Queensland Endemic,
707,Animalia,Amphibia,Microhylidae,Cophixalus hosmeri,rattling nurseryfrog,"Zweifel, 1985",CR,Y,N,Critically Endangered,Queensland Endemic,Critically Endangered
709,Animalia,Amphibia,Microhylidae,Cophixalus mcdonaldi,Mount Elliot nurseryfrog,"Zweifel, 1985",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
710,Animalia,Amphibia,Microhylidae,Cophixalus monticola,mountain nurseryfrog,"Richards, Dennis, Trenerry & Werren, 1994",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
711,Animalia,Amphibia,Microhylidae,Cophixalus neglectus,Bellenden Ker nurseryfrog,"Zweifel, 1962",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
713,Animalia,Amphibia,Microhylidae,Cophixalus peninsularis,Cape York nurseryfrog,"Zweifel, 1985",V,Y,N,Vulnerable,Queensland Endemic,
699,Animalia,Amphibia,Microhylidae,Cophixalus saxatilis,Black Mountain boulderfrog,"Zweifel & Parker, 1977",V,Y,N,Vulnerable,Queensland Endemic,
19463,Animalia,Amphibia,Microhylidae,Cophixalus zweifeli,Cape Melville boulderfrog,"Davies & McDonald, 1998",V,Y,Y,Vulnerable,Queensland Endemic,
