scientificName,vernacularName,family,WildNetTaxonID,taxonID,status,sourceStatus
Adelotus brevis,tusked frog,Limnodynastidae,706,https://apps.des.qld.gov.au/species-search/details/?id=706,Vulnerable,V
Philoria knowlesi,Mt Ballow mountain frog,Limnodynastidae,36765,https://apps.des.qld.gov.au/species-search/details/?id=36765,Endangered,E
Philoria kundagungan,red-and-yellow mountainfrog,Limnodynastidae,687,https://apps.des.qld.gov.au/species-search/details/?id=687,Endangered,E
Assa darlingtoni,pouched frog,Myobatrachidae,693,https://apps.des.qld.gov.au/species-search/details/?id=693,Vulnerable,V
Crinia tinnula,wallum froglet,Myobatrachidae,686,https://apps.des.qld.gov.au/species-search/details/?id=686,Vulnerable,V
Mixophyes fleayi,Fleay's barred frog,Myobatrachidae,675,https://apps.des.qld.gov.au/species-search/details/?id=675,Endangered,E
Mixophyes iteratus,giant barred frog,Myobatrachidae,676,https://apps.des.qld.gov.au/species-search/details/?id=676,Vulnerable,V
Pseudophryne covacevichae,magnificent broodfrog,Myobatrachidae,660,https://apps.des.qld.gov.au/species-search/details/?id=660,Vulnerable,V
Rheobatrachus silus,southern gastric brooding frog,Myobatrachidae,648,https://apps.des.qld.gov.au/species-search/details/?id=648,Extinct in the wild,PE
Rheobatrachus vitellinus,northern gastric brooding frog,Myobatrachidae,650,https://apps.des.qld.gov.au/species-search/details/?id=650,Extinct,EX
Taudactylus acutirostris,sharp snouted dayfrog,Myobatrachidae,651,https://apps.des.qld.gov.au/species-search/details/?id=651,Extinct in the wild,PE
Taudactylus diurnus,southern dayfrog,Myobatrachidae,652,https://apps.des.qld.gov.au/species-search/details/?id=652,Extinct in the wild,PE
Taudactylus eungellensis,Eungella dayfrog,Myobatrachidae,653,https://apps.des.qld.gov.au/species-search/details/?id=653,Endangered,E
Taudactylus liemi,Eungella tinkerfrog,Myobatrachidae,654,https://apps.des.qld.gov.au/species-search/details/?id=654,Near Threatened,NT
Taudactylus pleione,Kroombit tinkerfrog,Myobatrachidae,655,https://apps.des.qld.gov.au/species-search/details/?id=655,Critically Endangered,CR
Taudactylus rheophilus,northern tinkerfrog,Myobatrachidae,656,https://apps.des.qld.gov.au/species-search/details/?id=656,Critically Endangered,CR
Litoria andiirrmalin,Melville Range treefrog,Hylidae,18173,https://apps.des.qld.gov.au/species-search/details/?id=18173,Vulnerable,V
Litoria cooloolensis,Cooloola sedgefrog,Hylidae,629,https://apps.des.qld.gov.au/species-search/details/?id=629,Near Threatened,NT
Litoria dayi,Australian lacelid,Hylidae,579,https://apps.des.qld.gov.au/species-search/details/?id=579,Vulnerable,V
Litoria freycineti,wallum rocketfrog,Hylidae,609,https://apps.des.qld.gov.au/species-search/details/?id=609,Vulnerable,V
Litoria kroombitensis,Kroombit treefrog,Hylidae,18279,https://apps.des.qld.gov.au/species-search/details/?id=18279,Critically Endangered,CR
Litoria longirostris,long snouted treefrog,Hylidae,616,https://apps.des.qld.gov.au/species-search/details/?id=616,Near Threatened,NT
Litoria lorica,little waterfall frog,Hylidae,602,https://apps.des.qld.gov.au/species-search/details/?id=602,Critically Endangered,CR
Litoria myola,Kuranda treefrog,Hylidae,31630,https://apps.des.qld.gov.au/species-search/details/?id=31630,Critically Endangered,CR
Litoria nannotis,waterfall frog,Hylidae,603,https://apps.des.qld.gov.au/species-search/details/?id=603,Endangered,E
Litoria nyakalensis,mountain mistfrog,Hylidae,606,https://apps.des.qld.gov.au/species-search/details/?id=606,Critically Endangered,CR
Litoria olongburensis,wallum sedgefrog,Hylidae,593,https://apps.des.qld.gov.au/species-search/details/?id=593,Vulnerable,V
Litoria pearsoniana,cascade treefrog,Hylidae,595,https://apps.des.qld.gov.au/species-search/details/?id=595,Vulnerable,V
Litoria rheocola,common mistfrog,Hylidae,598,https://apps.des.qld.gov.au/species-search/details/?id=598,Endangered,E
Litoria serrata,tapping green eyed frog,Hylidae,610,https://apps.des.qld.gov.au/species-search/details/?id=610,Vulnerable,V
Litoria sp. cf. cooloolensis (North Stradbroke Is population),,Hylidae,18440,https://apps.des.qld.gov.au/species-search/details/?id=18440,Near Threatened,NT
Litoria subglandulosa,New England treefrog,Hylidae,587,https://apps.des.qld.gov.au/species-search/details/?id=587,Vulnerable,V
Cophixalus aenigma,tapping nurseryfrog,Microhylidae,29400,https://apps.des.qld.gov.au/species-search/details/?id=29400,Endangered,E
Cophixalus concinnus,beautiful nurseryfrog,Microhylidae,29399,https://apps.des.qld.gov.au/species-search/details/?id=29399,Critically Endangered,CR
Cophixalus crepitans,northern nurseryfrog,Microhylidae,720,https://apps.des.qld.gov.au/species-search/details/?id=720,Vulnerable,V
Cophixalus exiguus,dainty nurseryfrog,Microhylidae,721,https://apps.des.qld.gov.au/species-search/details/?id=721,Vulnerable,V
Cophixalus hosmeri,rattling nurseryfrog,Microhylidae,707,https://apps.des.qld.gov.au/species-search/details/?id=707,Critically Endangered,CR
Cophixalus mcdonaldi,Mount Elliot nurseryfrog,Microhylidae,709,https://apps.des.qld.gov.au/species-search/details/?id=709,Critically Endangered,CR
Cophixalus monticola,mountain nurseryfrog,Microhylidae,710,https://apps.des.qld.gov.au/species-search/details/?id=710,Critically Endangered,CR
Cophixalus neglectus,Bellenden Ker nurseryfrog,Microhylidae,711,https://apps.des.qld.gov.au/species-search/details/?id=711,Critically Endangered,CR
Cophixalus peninsularis,Cape York nurseryfrog,Microhylidae,713,https://apps.des.qld.gov.au/species-search/details/?id=713,Vulnerable,V
Casuarius casuarius johnsonii (northern population),southern cassowary (northern population),Casuariidae,1100,https://apps.des.qld.gov.au/species-search/details/?id=1100,Vulnerable,V
Casuarius casuarius johnsonii (southern population),southern cassowary (southern population),Casuariidae,1087,https://apps.des.qld.gov.au/species-search/details/?id=1087,Endangered,E
Phaethon rubricauda,red-tailed tropicbird,Phaethontidae,1273,https://apps.des.qld.gov.au/species-search/details/?id=1273,Vulnerable,V
Geophaps scripta scripta,squatter pigeon (southern subspecies),Columbidae,1785,https://apps.des.qld.gov.au/species-search/details/?id=1785,Vulnerable,V
Podargus ocellatus plumiferus,plumed frogmouth,Podargidae,1952,https://apps.des.qld.gov.au/species-search/details/?id=1952,Vulnerable,V
Hirundapus caudacutus,white-throated needletail,Apodidae,1971,https://apps.des.qld.gov.au/species-search/details/?id=1971,Vulnerable,V
Diomedea antipodensis antipodensis,Antipodean albatross,Diomedeidae,27767,https://apps.des.qld.gov.au/species-search/details/?id=27767,Vulnerable,V
Diomedea antipodensis gibsoni,Gibson's albatross,Diomedeidae,27768,https://apps.des.qld.gov.au/species-search/details/?id=27768,Vulnerable,V
Diomedea exulans,wandering albatross,Diomedeidae,1255,https://apps.des.qld.gov.au/species-search/details/?id=1255,Vulnerable,V
Phoebetria fusca,sooty albatross,Diomedeidae,1258,https://apps.des.qld.gov.au/species-search/details/?id=1258,Vulnerable,V
Thalassarche bulleri,Buller's albatross,Diomedeidae,18836,https://apps.des.qld.gov.au/species-search/details/?id=18836,Vulnerable,V
Thalassarche carteri,Indian yellow-nosed albatross,Diomedeidae,1252,https://apps.des.qld.gov.au/species-search/details/?id=1252,Vulnerable,V
Thalassarche cauta,shy albatross,Diomedeidae,1251,https://apps.des.qld.gov.au/species-search/details/?id=1251,Endangered,E
Thalassarche chrysostoma,grey-headed albatross,Diomedeidae,1253,https://apps.des.qld.gov.au/species-search/details/?id=1253,Endangered,E
Thalassarche steadi,white-capped albatross,Diomedeidae,27766,https://apps.des.qld.gov.au/species-search/details/?id=27766,Vulnerable,V
Ardenna grisea,sooty shearwater,Procellariidae,1200,https://apps.des.qld.gov.au/species-search/details/?id=1200,Vulnerable,V
Ardenna pacifica,wedge-tailed shearwater,Procellariidae,1188,https://apps.des.qld.gov.au/species-search/details/?id=1188,Vulnerable,V
