scientificName,scientificNameAuthorship,vernacularName,family,class,sourceStatus,status,EPBCA_status,sourceKingdom,kingdom,speciesGroup,,sourceOrigin,higherGeography
Costora iena ,Mosely,Caddis Fly (Great Lakes),Trichoptera,Invertebrates,x,Presumed Extinct,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Hadronyche pulvinator ,Hickman,Cascade Funnel-web Spider,Araneae,Invertebrates,x,Presumed Extinct,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Hypolimnus pedderensis ,(Jamieson),Lake Pedder Earthworm,Haplotaxida,Invertebrates,x,Presumed Extinct,EX,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Thylacinus cynocephalus ,Harris,Thylacine,Mammals,Vertebrates,x,Presumed Extinct,EX,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Gallirallus philippensis macquariensis,Hutton,Macquarie Island Rail,Birds,Vertebrates,x,Presumed Extinct,EX,Fauna,Animalia,vertebrate,,eMI,endemic Macquarie Island
Cyanoramphus novaezelandiae erythrotis ,Wagler,Macquarie Island Parakeet,Birds,Vertebrates,x,Presumed Extinct,EX,Fauna,Animalia,vertebrate,,,
Dromaius ater,Vieillot,King Island Emu,Birds,Vertebrates,x,Presumed Extinct,EX,Fauna,Animalia,vertebrate,,,
Dromaius novaehollandiae diemenensis,Le Souef,Tasmanian Emu,Birds,Vertebrates,x,Presumed Extinct,EX,Fauna,Animalia,vertebrate,,,
Balaenoptera physalus,Linnaeus,Fin Whale,Mammals,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,mig,migratory
Amelora acontistica ,Turner,Chevron Looper Moth,Lepidoptera,Invertebrates,v,Vulnerable,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Astacopsis gouldi ,Clark,Giant Freshwater Crayfish,Decapoda,Invertebrates,v,Vulnerable,VU,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia briansmithi ,Ponder & Clark,Hydrobiid Snail (Fern Creek),Mesogastropoda,Invertebrates,v,Vulnerable,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia krybetes ,Ponder & Clark,Hydrobiid Snail (St. Pauls River),Mesogastropoda,Invertebrates,v,Vulnerable,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia lodderae ,Petterd,Castra Rivulet Freshwater Snail,Mesogastropoda,Invertebrates,v,Vulnerable,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia phasianella ,Ponder & Clark,Hydrobiid Snail (Keddies Creek),Mesogastropoda,Invertebrates,v,Vulnerable,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
