scientificName,vernacularName,class,family,sourceStatus,status
Ballantinia antipoda,southern shepherds purse,Dicotyledonae,Brassicaceae,x,Presumed Extinct
Banksia integrifolia subsp. integrifolia,coast banksia,Dicotyledonae,Proteaceae,x,Presumed Extinct
Botrychium australe,parsley fern,Pteridophyta,Ophioglossaceae,x,Presumed Extinct
Caladenia cardiochila,heartlip spider-orchid,Monocotyledonae,Orchidaceae,x,Presumed Extinct
Chenopodium erosum,papery goosefoot,Dicotyledonae,Amaranthaceae,x,Presumed Extinct
Coopernookia barbata,purple native-primrose,Dicotyledonae,Goodeniaceae,x,Presumed Extinct
Deyeuxia lawrencei,lawrences bentgrass,Monocotyledonae,Poaceae,x,Presumed Extinct
Hibbertia obtusifolia,grey guineaflower,Dicotyledonae,Dilleniaceae,x,Presumed Extinct
Lepilaena australis,southern watermat,Monocotyledonae,Potomogetonaceae,x,Presumed Extinct
Levenhookia dubia,hairy stylewort,Dicotyledonae,Stylidiaceae,x,Presumed Extinct
Myriophyllum glomeratum,clustered watermilfoil,Dicotyledonae,Haloragaceae,x,Presumed Extinct
Ozothamnus selaginoides,table mountain everlastingbush,Dicotyledonae,Asteraceae,x,Presumed Extinct
Podotheca angustifolia,sticky longheads,Dicotyledonae,Asteraceae,x,Presumed Extinct
Prostanthera cuneata,alpine mintbush,Dicotyledonae,Lamiaceae,x,Presumed Extinct
Senecio georgianus,grey groundsel,Dicotyledonae,Asteraceae,x,Presumed Extinct
Senecio macrocarpus,largefruit fireweed,Dicotyledonae,Asteraceae,x,Presumed Extinct
Senecio tasmanicus,tasmanian fireweed,Dicotyledonae,Asteraceae,x,Presumed Extinct
Thesium australe,southern toadflax,Dicotyledonae,Santalaceae,x,Presumed Extinct
Thynninorchis huntiana,elbow orchid,Monocotyledonae,Orchidaceae,x,Presumed Extinct
Punctelia subflava,,Lichen,Parmeliaceae,x,Presumed Extinct
Costora iena ,Caddis Fly (Great Lakes),Invertebrates,Trichoptera,x,Presumed Extinct
Hadronyche pulvinator ,Cascade Funnel-web Spider,Invertebrates,Araneae,x,Presumed Extinct
Hypolimnus pedderensis ,Lake Pedder Earthworm,Invertebrates,Haplotaxida,x,Presumed Extinct
Cyanoramphus novaezelandiae erythrotis ,Macquarie Island Parakeet,Vertebrates,Birds,x,Presumed Extinct
Dromaius ater,King Island Emu,Vertebrates,Birds,x,Presumed Extinct
Dromaius novaehollandiae diemenensis,Tasmanian Emu,Vertebrates,Birds,x,Presumed Extinct
Gallirallus philippensis macquariensis,Macquarie Island Rail,Vertebrates,Birds,x,Presumed Extinct
Thylacinus cynocephalus ,Thylacine,Vertebrates,Mammals,x,Presumed Extinct
Acacia axillaris,midlands wattle,Dicotyledonae,Fabaceae,v,Vulnerable
Acrotriche cordata,coast groundberry,Dicotyledonae,Ericaceae,v,Vulnerable
Anogramma leptophylla,annual fern,Pteridophyta,Adiantaceae,v,Vulnerable
Argyrotegium nitidulum,shining cottonleaf,Dicotyledonae,Asteraceae,v,Vulnerable
Asplenium trichomanes subsp. trichomanes,dolerite spleenwort,Pteridophyta,Aspleniaceae,v,Vulnerable
Atriplex suberecta,sprawling saltbush,Dicotyledonae,Amaranthaceae,v,Vulnerable
Bedfordia arborescens,tree blanketleaf,Dicotyledonae,Asteraceae,v,Vulnerable
Blechnum cartilagineum,gristle fern,Pteridophyta,Blechnaceae,v,Vulnerable
Boronia gunnii,river boronia,Dicotyledonae,Rutaceae,v,Vulnerable
Boronia hippopala,velvet boronia,Dicotyledonae,Rutaceae,v,Vulnerable
Brachyscome rigidula,cutleaf daisy,Dicotyledonae,Asteraceae,v,Vulnerable
Caladenia caudata,tailed spider-orchid,Monocotyledonae,Orchidaceae,v,Vulnerable
Caladenia patersonii,patersons spider-orchid,Monocotyledonae,Orchidaceae,v,Vulnerable
Callitris oblonga subsp. oblonga,south esk pine,Gymnospermae,Cupressaceae,v,Vulnerable
Conospermum hookeri,tasmanian smokebush,Dicotyledonae,Proteaceae,v,Vulnerable
Corybas dienemus,windswept helmet-orchid,Monocotyledonae,Orchidaceae,v,Vulnerable
Desmodium gunnii,southern ticktrefoil,Dicotyledonae,Fabaceae,v,Vulnerable
Epacris graniticola,granite heath,Dicotyledonae,Ericaceae,v,Vulnerable
Epacris virgata,pretty heath,Dicotyledonae,Ericaceae,v,Vulnerable
Eryngium ovinum,blue devil,Dicotyledonae,Apiaceae,v,Vulnerable
Euphrasia phragmostoma,hairy cliff-eyebright,Dicotyledonae,Orobanchaceae,v,Vulnerable
Glycine latrobeana,clover glycine,Dicotyledonae,Fabaceae,v,Vulnerable
Glycine microphylla,small-leaf glycine,Dicotyledonae,Fabaceae,v,Vulnerable
Hakea ulicina,furze needlebush,Dicotyledonae,Proteaceae,v,Vulnerable
Haloragis aspera,rough raspwort,Dicotyledonae,Haloragaceae,v,Vulnerable
Hibbertia calycina,lesser guineaflower,Dicotyledonae,Dilleniaceae,v,Vulnerable
Isoetopsis graminifolia,grass cushion,Dicotyledonae,Asteraceae,v,Vulnerable
Isopogon ceratophyllus,horny conebush,Dicotyledonae,Proteaceae,v,Vulnerable
Limonium australe var. baudinii,tasmanian sea-lavender,Dicotyledonae,Plumbaginaceae,v,Vulnerable
Lobelia pratioides,poison lobelia,Dicotyledonae,Campanulaceae,v,Vulnerable
Lythrum salicaria,purple loosestrife,Dicotyledonae,Lythraceae,v,Vulnerable
Mirbelia oxylobioides,sandstone bushpea,Dicotyledonae,Fabaceae,v,Vulnerable
Myoporum parvifolium,creeping boobialla,Dicotyledonae,Scrophulariaceae,v,Vulnerable
