taxonID,scientificName,vernacularName,scientificNameAuthority,primaryDiscipline,establishmentMeans,taxonRank,speciesGroup,ffgactstatus,epbcactStatus,vicadvisorystatus,restrictedFlag,modified,extractDate,status,sourceStatus
4864,Ambassis agassizii,Agassiz's Glassfish,"Steindachner, 1867",Aquatic fauna,,species,Fish,Extinct,,Regionally extinct,,2013-04-04,2023-01-16,Extinct,Extinct
528544,Bidyanus bidyanus,Silver Perch,"(Mitchell, 1838)",Aquatic fauna,,species,Fish,Endangered,Critically Endangered,Vulnerable,,2016-05-24,2023-01-16,Endangered,Endangered
5133,Chelodina expansa,Broad-shelled Turtle,"Gray, 1857",Aquatic fauna,,species,Reptiles,Endangered,,Endangered,,2014-11-20,2023-01-16,Endangered,Endangered
4784,Craterocephalus fluviatilis,Murray Hardyhead,"McCulloch, 1912",Aquatic fauna,,species,Fish,Critically Endangered,Endangered,Critically endangered,,2013-04-04,2023-01-16,Critically Endangered,Critically Endangered
5135,Emydura macquarii,Murray River Turtle,,Aquatic fauna,,species,Reptiles,Critically Endangered,,Vulnerable,,2013-07-02,2023-01-16,Critically Endangered,Critically Endangered
1686,Engaeus australis,Lilly Pilly Burrowing Crayfish,"Riek, 1969",Aquatic fauna,,species,"Mussels, decapod crustacea",Critically Endangered,,Vulnerable,rest,2013-12-18,2023-01-16,Critically Endangered,Critically Endangered
1679,Engaeus curvisuturus,Curve-tail Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,,species,"Mussels, decapod crustacea",Endangered,,Endangered,,2014-08-06,2023-01-16,Endangered,Endangered
1674,Engaeus fultoni,Otway Burrowing Crayfish,"Smith & Schuster, 1913",Aquatic fauna,,species,"Mussels, decapod crustacea",Vulnerable,,Vulnerable,rest,2013-12-18,2023-01-16,Vulnerable,Vulnerable
1675,Engaeus karnanga,South Gippsland Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,,species,"Mussels, decapod crustacea",Endangered,,Endangered,,2013-12-18,2023-01-16,Endangered,Endangered
1694,Engaeus mallacoota,Mallacoota Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,,species,"Mussels, decapod crustacea",Critically Endangered,,Vulnerable,rest,2013-12-17,2023-01-16,Critically Endangered,Critically Endangered
1684,Engaeus merosetosus,Western Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,,species,"Mussels, decapod crustacea",Endangered,,Endangered,,2013-12-18,2023-01-16,Endangered,Endangered
1695,Engaeus phyllocercus,Narracan Burrowing Crayfish,"Smith & Schuster, 1913",Aquatic fauna,,species,"Mussels, decapod crustacea",Endangered,,Endangered,rest,2012-11-07,2023-01-16,Endangered,Endangered
1683,Engaeus rostrogaleatus,Strzelecki Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,,species,"Mussels, decapod crustacea",Endangered,,Endangered,rest,2012-11-07,2023-01-16,Endangered,Endangered
1692,Engaeus sericatus,Hairy Burrowing Crayfish,"Clark, 1936",Aquatic fauna,,species,"Mussels, decapod crustacea",Vulnerable,,Vulnerable,rest,2013-12-18,2023-01-16,Vulnerable,Vulnerable
1693,Engaeus sternalis,Warragul Burrowing Crayfish,"(Clark, 1936)",Aquatic fauna,,species,"Mussels, decapod crustacea",Critically Endangered,,Critically endangered,rest,2012-11-07,2023-01-16,Critically Endangered,Critically Endangered
1690,Engaeus strictifrons,Portland Burrowing Crayfish,"(Clark, 1936)",Aquatic fauna,,species,"Mussels, decapod crustacea",Endangered,,Vulnerable,rest,2013-12-18,2023-01-16,Endangered,Endangered
1689,Engaeus tuberculatus,Tubercle Burrowing Crayfish,"Clark, 1936",Aquatic fauna,,species,"Mussels, decapod crustacea",Endangered,,Endangered,,2013-12-18,2023-01-16,Endangered,Endangered
1685,Engaeus urostrictus,Dandenong Burrowing Crayfish,"Riek, 1969",Aquatic fauna,,species,"Mussels, decapod crustacea",Critically Endangered,,Critically endangered,rest,2012-11-07,2023-01-16,Critically Endangered,Critically Endangered
