scientificName,vernacularName,status,sourceStatus
Abildgaardia pachyptera,,Priority 1: Poorly-known species,P1
Abutilon sp. Hamelin (A.M. Ashby 2196),,Priority 2: Poorly-known species,P2
Abutilon sp. Onslow (F. Smith s.n. 10/9/61),,Priority 3: Poorly-known species,P3
Abutilon sp. Pritzelianum (S. van Leeuwen 5095),,Priority 3: Poorly-known species,P3
Abutilon sp. Quobba (H. Demarz 3858),,Priority 2: Poorly-known species,P2
Abutilon sp. Warburton (A.S. George 8164),,Priority 1: Poorly-known species,P1
Acacia adinophylla,,Priority 1: Poorly-known species,P1
Acacia adjutrices,,Priority 3: Poorly-known species,P3
Acacia alata var. platyptera,,"Priority 4: Rare, Near Threatened",P4
Acacia alexandri,,Priority 3: Poorly-known species,P3
Acacia ampliata,,Priority 1: Poorly-known species,P1
Acacia amyctica,,Priority 2: Poorly-known species,P2
Acacia anarthros,,Priority 3: Poorly-known species,P3
Acacia anastomosa,,Priority 1: Poorly-known species,P1
Acacia ancistrophylla var. lissophylla,,Priority 2: Poorly-known species,P2
Acacia ancistrophylla var. perarcuata,,Priority 3: Poorly-known species,P3
Acacia anomala,,Vulnerable,VU
Acacia anserina,,Priority 2: Poorly-known species,P2
Acacia aphanoclada,,Priority 1: Poorly-known species,P1
Acacia aphylla,,Vulnerable,VU
Acacia aprica,,Critically Endangered,CR
Acacia arcuatilis,,Priority 2: Poorly-known species,P2
Acacia argutifolia,,"Priority 4: Rare, Near Threatened",P4
Acacia aristulata,,Endangered,EN
Acacia ascendens,,Priority 2: Poorly-known species,P2
Acacia asepala,,Priority 2: Poorly-known species,P2
Acacia ataxiphylla subsp. ataxiphylla,,Priority 3: Poorly-known species,P3
Acacia ataxiphylla subsp. magna,,Endangered,EN
Acacia atopa,,Priority 3: Poorly-known species,P3
Acacia auratiflora,,Vulnerable,VU
Acacia auricoma,,Priority 3: Poorly-known species,P3
Acacia auripila,,Priority 2: Poorly-known species,P2
Acacia awestoniana,,Critically Endangered,CR
Acacia barrettiorum,,Priority 2: Poorly-known species,P2
Acacia bartlei,,Priority 3: Poorly-known species,P3
Acacia benthamii,,Priority 2: Poorly-known species,P2
Acacia besleyi,,Priority 1: Poorly-known species,P1
Acacia bifaria,,Priority 3: Poorly-known species,P3
Acacia botrydion,,"Priority 4: Rare, Near Threatened",P4
Acacia brachyphylla var. recurvata,,Priority 3: Poorly-known species,P3
Acacia brachypoda,,Vulnerable,VU
Acacia bromilowiana,,"Priority 4: Rare, Near Threatened",P4
Acacia browniana var. glaucescens,,Priority 2: Poorly-known species,P2
Acacia burrowsiana,,Priority 3: Poorly-known species,P3
Acacia caesariata,,Vulnerable,VU
Acacia calcicola,,"Priority 4: Rare, Near Threatened",P4
Acacia camptocarpa,,Priority 1: Poorly-known species,P1
Acacia campylophylla,,Priority 3: Poorly-known species,P3
Acacia capillaris,,Priority 2: Poorly-known species,P2
Acacia carens,,Priority 2: Poorly-known species,P2
Acacia cerastes,,Priority 1: Poorly-known species,P1
Acacia chapmanii subsp. australis,,Endangered,EN
Acacia chapmanii subsp. chapmanii,,Priority 2: Poorly-known species,P2
