scientificName,Common Name,sourceStatus,status
Abildgaardia pachyptera,,P1,Priority 1: Poorly-known species
Abutilon sp. Hamelin (A.M. Ashby 2196),,P2,Priority 2: Poorly-known species
Abutilon sp. Onslow (F. Smith s.n. 10/9/61),,P3,Priority 3: Poorly-known species
Abutilon sp. Pritzelianum (S. van Leeuwen 5095),,P3,Priority 3: Poorly-known species
Abutilon sp. Quobba (H. Demarz 3858),,P2,Priority 2: Poorly-known species
Abutilon sp. Warburton (A.S. George 8164),,P1,Priority 1: Poorly-known species
Acacia adinophylla,,P1,Priority 1: Poorly-known species
Acacia adjutrices,Convivial Wattle,P3,Priority 3: Poorly-known species
Acacia alata var. platyptera,,P4,"Priority 4: Rare, Near Threatened"
Acacia alexandri,,P3,Priority 3: Poorly-known species
Acacia ampliata,,P1,Priority 1: Poorly-known species
Acacia amyctica,,P2,Priority 2: Poorly-known species
Acacia anarthros,,P3,Priority 3: Poorly-known species
Acacia anastomosa,,P1,Priority 1: Poorly-known species
Acacia ancistrophylla var. lissophylla,,P2,Priority 2: Poorly-known species
Acacia ancistrophylla var. perarcuata,,P3,Priority 3: Poorly-known species
Acacia anomala,Grass Wattle,VU,Vulnerable
Acacia anserina,,P2,Priority 2: Poorly-known species
Acacia aphanoclada,,P1,Priority 1: Poorly-known species
Acacia aphylla,Leafless Rock Wattle,VU,Vulnerable
Acacia aprica,Blunt Wattle,CR,Critically Endangered
Acacia arcuatilis,,P2,Priority 2: Poorly-known species
Acacia argutifolia,East Barrens Wattle,P4,"Priority 4: Rare, Near Threatened"
Acacia aristulata,Watheroo Wattle,EN,Endangered
Acacia ascendens,,P2,Priority 2: Poorly-known species
Acacia asepala,,P2,Priority 2: Poorly-known species
Acacia ataxiphylla subsp. ataxiphylla,,P3,Priority 3: Poorly-known species
Acacia ataxiphylla subsp. magna,Largefruited Tammin Wattle,EN,Endangered
Acacia atopa,,P3,Priority 3: Poorly-known species
Acacia auratiflora,Orangeflowered Wattle,VU,Vulnerable
Acacia auricoma,,P3,Priority 3: Poorly-known species
Acacia auripila,,P2,Priority 2: Poorly-known species
Acacia awestoniana,Stirling Range Wattle,CR,Critically Endangered
Acacia barrettiorum,,P2,Priority 2: Poorly-known species
Acacia bartlei,,P3,Priority 3: Poorly-known species
Acacia benthamii,,P2,Priority 2: Poorly-known species
Acacia besleyi,Bes' Wattle,P1,Priority 1: Poorly-known species
Acacia bifaria,,P3,Priority 3: Poorly-known species
Acacia botrydion,,P4,"Priority 4: Rare, Near Threatened"
Acacia brachyphylla var. recurvata,,P3,Priority 3: Poorly-known species
Acacia brachypoda,Western Wheatbelt Wattle,VU,Vulnerable
Acacia bromilowiana,,P4,"Priority 4: Rare, Near Threatened"
Acacia browniana var. glaucescens,,P2,Priority 2: Poorly-known species
Acacia burrowsiana,,P3,Priority 3: Poorly-known species
Acacia caesariata,,VU,Vulnerable
Acacia calcicola,,P4,"Priority 4: Rare, Near Threatened"
Acacia camptocarpa,,P1,Priority 1: Poorly-known species
Acacia campylophylla,,P3,Priority 3: Poorly-known species
Acacia capillaris,,P2,Priority 2: Poorly-known species
Acacia carens,,P2,Priority 2: Poorly-known species
Acacia cerastes,,P1,Priority 1: Poorly-known species
Acacia chapmanii subsp. australis,,EN,Endangered
Acacia chapmanii subsp. chapmanii,,P2,Priority 2: Poorly-known species
Acacia claviseta,,P3,Priority 3: Poorly-known species
Acacia coatesii,Coates' Cushion Wattle,P1,Priority 1: Poorly-known species
Acacia cochlocarpa subsp. cochlocarpa,Spiralfruited Wattle,CR,Critically Endangered
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,CR,Critically Endangered
Acacia concolorans,,P2,Priority 2: Poorly-known species
Acacia congesta subsp. cliftoniana,,P1,Priority 1: Poorly-known species
Acacia congesta subsp. wonganensis,,P2,Priority 2: Poorly-known species
Acacia corusca,Shimmer Wattle,P1,Priority 1: Poorly-known species
Acacia cowaniana,,P2,Priority 2: Poorly-known species
Acacia crenulata,,P3,Priority 3: Poorly-known species
Acacia cummingiana,,P3,Priority 3: Poorly-known species
Acacia cuneifolia,,P4,"Priority 4: Rare, Near Threatened"
Acacia curryana,Suzanne's Golden-pod Wattle,P1,Priority 1: Poorly-known species
Acacia cyclocarpa,,P3,Priority 3: Poorly-known species
Acacia cylindrica,,P3,Priority 3: Poorly-known species
Acacia cyperophylla var. omearana,,P1,Priority 1: Poorly-known species
Acacia daweana,,P3,Priority 3: Poorly-known species
Acacia declinata,,P4,"Priority 4: Rare, Near Threatened"
Acacia deflexa,,P3,Priority 3: Poorly-known species
Acacia deltoidea subsp. ampla,,P2,Priority 2: Poorly-known species
Acacia denticulosa,Sandpaper Wattle,VU,Vulnerable
Acacia depressa,Echidna Wattle,EN,Endangered
Acacia desertorum var. nudipes,,P3,Priority 3: Poorly-known species
Acacia diallaga,,P1,Priority 1: Poorly-known species
Acacia diaphana,,P1,Priority 1: Poorly-known species
Acacia diastemata,,P3,Priority 3: Poorly-known species
Acacia dilloniorum,Wilgie Mia Wattle,P1,Priority 1: Poorly-known species
Acacia diminuta,,P1,Priority 1: Poorly-known species
Acacia dimorpha,,P1,Priority 1: Poorly-known species
Acacia dissona var. indoloria,,P3,Priority 3: Poorly-known species
Acacia dorsenna,,P1,Priority 1: Poorly-known species
Acacia drepanophylla,,P3,Priority 3: Poorly-known species
Acacia drewiana subsp. minor,,P2,Priority 2: Poorly-known species
Acacia drummondii subsp. affinis,,P3,Priority 3: Poorly-known species
Acacia drummondii subsp. elegans Porongurup variant (R.J. Cumming 938),,P4,"Priority 4: Rare, Near Threatened"
Acacia dura,,P2,Priority 2: Poorly-known species
