taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,status,EPBCstatus,conservationSignificant,confidential,endemicity
655,animals,amphibians,Myobatrachidae,Taudactylus pleione,Kroombit tinkerfrog,"Czechura, 1986",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
656,animals,amphibians,Myobatrachidae,Taudactylus rheophilus,northern tinkerfrog,"Liem & Hosmer, 1973",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
18279,animals,amphibians,Hylidae,Litoria kroombitensis,Kroombit treefrog,"Hoskin, Hines, Meyer, Clarke & Cunningham, 2013",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
602,animals,amphibians,Hylidae,Litoria lorica,little waterfall frog,"Davies & McDonald, 1979",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
31630,animals,amphibians,Hylidae,Litoria myola,Kuranda treefrog,"Hoskin, 2007",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
606,animals,amphibians,Hylidae,Litoria nyakalensis,mountain mistfrog,"Liem, 1974",Critically endangered,Critically endangered,Yes,No,Queensland endemic
29399,animals,amphibians,Microhylidae,Cophixalus concinnus,beautiful nurseryfrog,"Tyler, 1979",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
707,animals,amphibians,Microhylidae,Cophixalus hosmeri,rattling nurseryfrog,"Zweifel, 1985",Critically endangered,Critically endangered,Yes,No,Queensland endemic
709,animals,amphibians,Microhylidae,Cophixalus mcdonaldi,Mount Elliot nurseryfrog,"Zweifel, 1985",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
710,animals,amphibians,Microhylidae,Cophixalus monticola,mountain nurseryfrog,"Richards, Dennis, Trenerry & Werren, 1994",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
711,animals,amphibians,Microhylidae,Cophixalus neglectus,Bellenden Ker nurseryfrog,"Zweifel, 1962",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
22453,animals,birds,Procellariidae,Pterodroma heraldica,Herald petrel,"Salvin, 1888",Critically endangered,Critically endangered,Yes,No,Naturally occurs in Australia and overseas
1892,animals,birds,Pedionomidae,Pedionomus torquatus,plains-wanderer,"Gould, 1841",Critically endangered,Critically endangered,Yes,No,Australian endemic
1878,animals,birds,Scolopacidae,Calidris ferruginea,curlew sandpiper,"(Pontoppidan, 1763)",Critically endangered,Critically endangered,Yes,No,Naturally occurs in Australia and overseas
1856,animals,birds,Scolopacidae,Calidris tenuirostris,great knot,"(Horsfield, 1821)",Critically endangered,Critically endangered,Yes,No,Naturally occurs in Australia and overseas
1478,animals,birds,Meliphagidae,Anthochaera phrygia,regent honeyeater,"(Shaw, 1794)",Critically endangered,Critically endangered,Yes,Yes,Australian endemic
6,animals,insects,Lycaenidae,Hypochrysops piceatus,bulloak jewel,"(Kerr, Macqueen & Sands, 1969)",Critically endangered,,Yes,Yes,Queensland endemic
33590,animals,malacostracans,Parastacidae,Euastacus bindal,Mt Elliot crayfish,"Morgan, 1989",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
36167,animals,malacostracans,Parastacidae,Euastacus binzayedi,,"Coughran & Furse, 2013",Critically endangered,,Yes,No,Queensland endemic
33594,animals,malacostracans,Parastacidae,Euastacus jagara,Jagara hairy crayfish,"Morgan, 1988",Critically endangered,,Yes,Yes,Queensland endemic
33595,animals,malacostracans,Parastacidae,Euastacus maidae,,"(Riek, 1956)",Critically endangered,,Yes,Yes,Queensland endemic
828,animals,mammals,Vombatidae,Lasiorhinus krefftii,northern hairy-nosed wombat,"(Owen, 1872)",Critically endangered,Critically endangered,Yes,No,Australian endemic
30272,animals,reptiles,Chelidae,Elseya albagula,southern snapping turtle,"Thomson, Georges & Limpus, 2006",Critically endangered,Critically endangered,Yes,No,Queensland endemic
29733,animals,reptiles,Chelidae,Emydura subglobosa angkibaanya,Jardine River turtle,"Joseph-Ouni, Mccord, Cann, Smales & Freeman 2019",Critically endangered,,Yes,Yes,Queensland endemic
40991,animals,reptiles,Diplodactylidae,Oedura lineata,Arcadia velvet gecko,"Hoskin, 2019",Critically endangered,,Yes,No,Queensland endemic
389,animals,reptiles,Carphodactylidae,Orraya occultus,McIlwraith leaf-tailed gecko,"(Couper, Covacevich & Moritz, 1993)",Critically endangered,,Yes,Yes,Queensland endemic
27779,animals,reptiles,Carphodactylidae,Phyllurus gulbaru,Gulbaru gecko,"Hoskin, Couper & Schneider 2003",Critically endangered,Critically endangered,Yes,Yes,Queensland endemic
31986,animals,reptiles,Carphodactylidae,Phyllurus kabikabi,Oakview leaf-tailed gecko,"Couper, Hamley & Hoskin 2008",Critically endangered,,Yes,Yes,Queensland endemic
