vernacularName,scientificName,status,taxonRemarks,sourceStatus
Abbot's booby,Papasula abbotti,Endangered,Bird,Endangered
Alice Springs squat snail,Semotrachia euzyga,Endangered,Invertebrate,Endangered
Angalarri grunter,Scortum neili,Vulnerable,Fish,Vulnerable
Arafura snake-eyed skink,Cryptoblepharus gurrmul,Endangered,Reptile,Endangered
Arnhem land gorges skink,Bellatorias obiri,Endangered,Reptile,Endangered
Arnhem leaf-nosed bat,Hipposideros inornatus,Vulnerable,Mammal,Vulnerable
Arnhem rock-rat,Zyzomys maini,Vulnerable,Mammal,Vulnerable
Atlas moth,Attacus wardi,Vulnerable,Invertebrate,Vulnerable
Australian painted-snipe,Rostratula australis,Endangered,Bird,Endangered
Bar-tailed godwit (northern Siberian),Limosa lapponica menzbieri,Critically endangered,Bird,Critically endangered
Bar-tailed godwit (western Alaskan),Limosa lapponica baueri,Vulnerable,Bird,Vulnerable
Bare-rumped sheath-tailed bat,Saccolaimus saccolaimus nudicluniatus,Listed nationally but not under NT legislation,Mammal,Listed nationally but not under NT legislation
Bednall�s dwarfmelon,Sinumelon bednalli,Listed nationally but not under NT legislation,Invertebrate,Listed nationally but not under NT legislation
Behn River keeled snail,Ordtrachia australis,Endangered,Invertebrate,Endangered
Black-footed rock-wallaby (central Australian),Petrogale lateralis centralis,Listed nationally but not under NT legislation,Mammal,Listed nationally but not under NT legislation
Black-footed tree-rat (Kimberley and mainland NT),Mesembriomys gouldii�gouldii,Endangered,Mammal,Endangered
Black-footed tree-rat (Melville Island),Mesembriomys gouldii melvillensis,Vulnerable,Mammal,Vulnerable
Bronzeback,Ophidiocephalus taeniatus,Endangered,Reptile,Endangered
Brush-tailed bettong,Bettongia penicillata,Endangered ,Mammal,Endangered (extinct in NT)
Brush-tailed rabbit-rat,Conilurus penicillatus,Endangered,Mammal,Endangered
Burrowing bettong (inland),Bettongia lesueur graii,Extinct,Mammal,Extinct
Butler�s dunnart,Sminthopsis butleri,Vulnerable,Mammal,Vulnerable
Carpentarian grasswren,Amytornis dorotheae,Endangered,Bird,Endangered
Carpentarian rock-rat,Zyzomys palatalis,Endangered,Mammal,Endangered
Central hare-wallaby,Lagorchestes asomatus,Extinct,Mammal,Extinct
Central rock-rat,Zyzomys pedunculatus,Critically endangered,Mammal,Critically endangered
Christmas Island frigatebird,Fregata andrewsi,Endangered,Bird,Endangered
Common brushtail possum (central and south eastern),Trichosurus vulpecula vulpecula,Endangered,Mammal,Endangered
Common brushtail possum (north-western),Trichosurus vulpecula arnhemensis,Listed nationally but not under NT legislation,Mammal,Listed nationally but not under NT legislation
Crack-dwelling ctenotus (Keep-Ord Rivers),Ctenotus rimacola camptris,Vulnerable,Reptile,Vulnerable
Crescent nailtail wallaby,Onychogalea lunata,Extinct,Mammal,Extinct
Crest-tailed mulgara,Dasycercus cristicauda,Vulnerable,Mammal,Vulnerable
Crested shrike-tit,Falcunculus frontatus whitei,Listed nationally but not under NT legislation Bird,Bird,Listed nationally but not under NT legislation Bird
Curlew sandpiper,Calidris ferruginea,Critically endangered,Bird,Critically endangered
Desert bandicoot,Perameles eremiana,Extinct,Mammal,Extinct
Desert bettong,Bettongia anhydra,Extinct,Mammal,Extinct
Dodd�s azure,Ogyris iphis doddi,Endangered,Invertebrate,Endangered
Dusky hopping-mouse,Notomys fuscus,Endangered,Mammal,Endangered
Dwarf sawfish,Pristis clavata,Vulnerable,Fish,Vulnerable
Ellery Creek squat snail,Semotrachia elleryi,Vulnerable,Invertebrate,Vulnerable
Emily Gap squat snail�,Semotrachia emilia,Vulnerable,Invertebrate,Vulnerable
Far eastern curlew�,Numenius madagascariensis,Critically endangered,Bird,Critically endangered
Fawn Antechinus�,Antechinus bellus,Endangered,Mammal,Endangered
Fawn hopping-mouse�,Notomys cervinus,Least concern ,Mammal,Least concern (extinct in NT)
Fenn Gap squat snail�,Semotrachia filixiana,Vulnerable,Invertebrate,Vulnerable
Finke goby,Chlamydogobius japalpa,Vulnerable,Fish,Vulnerable
Finke Gorge rocksnail�,Granulomelon arcigerens,Vulnerable,Invertebrate,Vulnerable
Fitzroy Station rocksnail�,Mesodontrachia fitzroyana,Critically endangered,Invertebrate,Critically endangered
Flatback turtle�,Natator depressus,Listed nationally but not under NT legislation,Reptile,Listed nationally but not under NT legislation
Ghost bat�,Macroderma gigas,Listed nationally but not under NT legislation,Mammal,Listed nationally but not under NT legislation
Gillen Creek rocksnail�,Granulomelon gilleni,Vulnerable,Invertebrate,Vulnerable
Golden bandicoot�,Isoodon auratus,Endangered,Mammal,Endangered
Golden-backed tree-rat�,Mesembriomys macrurus,Critically endangered,Mammal,Critically endangered
Gouldian finch�,Erythrura gouldiae,Vulnerable,Bird,Vulnerable
Great desert skink�,Liopholis kintorei,Vulnerable,Reptile,Vulnerable
Great knot�,Calidris tenuirostris,Critically endangered,Bird,Critically endangered
Greater bilby�,Macrotis lagotis,Vulnerable,Mammal,Vulnerable
Greater sand plover�,Charadrius leschenaultii,Vulnerable,Bird,Vulnerable
Green sawfish,Pristis zijsron,Vulnerable,Fish,Vulnerable
Green turtle�,Chelonia mydas,Listed nationally but not under NT legislation,Reptile,Listed nationally but not under NT legislation
Grey falcon�,Falco hypoleucos,Vulnerable,Bird,Vulnerable
Grey nurse shark,Carcharias taurus,Listed nationally but not under NT legislation,Fish,Listed nationally but not under NT legislation
Gulf snapping turtle�,Elseya lavarackorum,Listed nationally but not under NT legislation,Reptile,Listed nationally but not under NT legislation
Harts Range knob-lip snail�,Dirutrachia sublevata,Vulnerable,Invertebrate,Vulnerable
Harts Range rocksnail�,Granulomelon grandituberculatum,Vulnerable,Invertebrate,Vulnerable
Hawksbill turtle�,Eretmochelys imbricata,Vulnerable,Reptile,Vulnerable
Hillier's keeled snail�,Divellomelon hillieri,Vulnerable,Invertebrate,Vulnerable
Hooded robin (Tiwi)�,Melanodryas cucullata melvillensis,Critically endangered,Bird,Critically endangered
Horsfield�s bushlark (Tiwi)�,Mirafra javanica melvillensis,Vulnerable,Bird,Vulnerable
Howard River toadlet�,Uperoleia daviesae,Vulnerable,Amphibian,Vulnerable
Huckitta Ruins squat snail�,Semotrachia huckittana,Vulnerable,Invertebrate,Vulnerable
Humpback whale�,Megaptera novaeangliae,Listed nationally but not under NT legislation,Mammal,Listed nationally but not under NT legislation
Illara Waterhole squat snail�,Semotrachia illarana,Vulnerable,Invertebrate,Vulnerable
Jessie Gap squat snail�,Semotrachia jessieana,Vulnerable,Invertebrate,Vulnerable
Jinka Spring squat snail�,Semotrachia jinkana,Vulnerable,Invertebrate,Vulnerable
Kowari�,Dasyuroides byrnei,Vulnerable�,Mammal,Vulnerable�(extinct in NT)
Krichauff Ranges snail�,Semotrachia esau,Vulnerable,Invertebrate,Vulnerable
Largetooth sawfish,Pristis pristis,Vulnerable,Fish,Vulnerable
Leatherback turtle�,Dermochelys coriacea,Critically endangered,Reptile,Critically endangered
Lesser bilby�,Macrotis leucura,Extinct,Mammal,Extinct
Lesser sand plover�,Charadrius mongolus,Endangered,Bird,Endangered
Lesser stick-nest rat�,Leporillus apicalis,Extinct,Mammal,Extinct
Loggerhead turtle�,Caretta caretta,Vulnerable,Reptile,Vulnerable
Long-tailed hopping-mouse�,Notomys longicaudatus,Extinct,Mammal,Extinct
Lorentz grunter,Pingalla lorentzi,Vulnerable,Fish,Vulnerable
Mala�,Lagorchestes hirsutus�Central Australian subspecies,Endangered ,Mammal,Endangered (extinct in wild in NT)
Malleefowl�,Leipoa ocellata,Critically endangered,Bird,Critically endangered
Masked owl (northern mainland)�,Tyto novaehollandiae kimberli,Vulnerable,Bird,Vulnerable
Masked owl (Tiwi)�,Tyto novaehollandiae melvillensis,Endangered,Bird,Endangered
Melville squat-keeled snail�,Trochomorpha melvillensis,Vulnerable,Invertebrate,Vulnerable
Merten�s water monitor�,Varanus mertensi,Vulnerable,Reptile,Vulnerable
Mitchell�s water monitor�,Varanus mitchelli,Vulnerable,Reptile,Vulnerable
Nabarlek (Top End)�,Petrogale concinna canescens,Endangered,Mammal,Endangered
Nabarlek (Victoria River district)�,Petrogale concinna�concinna,Critically endangered ,Mammal,Critically endangered (possibly extinct)
Night parrot�,Pezoporus occidentalis,Endangered,Bird,Endangered
Northern brush-tailed phascogale�,Phascogale pirata,Endangered,Mammal,Endangered
Northern hopping-mouse�,Notomys aquilo,Vulnerable,Mammal,Vulnerable
Northern quoll�,Dasyurus hallucatus,Critically endangered,Mammal,Critically endangered
Northern river shark,Glyphis garricki,Endangered,Fish �,Endangered
Numbat�,Myrmecobius fasciatus,Endangered ,Mammal,Endangered (extinct in NT)
Oenpelli python�,Simalia oenpelliensis,Vulnerable,Reptile,Vulnerable
Olive ridley�,Lepidochelys olivacea,Vulnerable,Reptile,Vulnerable
Painted honeyeater�,Grantiella picta,Vulnerable,Bird,Vulnerable
Pale field-rat�,Rattus tunneyi,Vulnerable,Mammal,Vulnerable
Palm Valley rocksnail�,Granulomelon squamulosum,Vulnerable,Invertebrate,Vulnerable
Partridge pidgeon (eastern)�,Geophaps smithii�smithii,Vulnerable,Bird,Vulnerable
Pig-footed bandicoot�,Chaeropus ecaudatus,Extinct,Mammal,Extinct
Plains death adder�,Acanthophsis hawkei,Vulnerable,Reptile,Vulnerable
Plains mouse�,Pseudomys australis,Endangered,Mammal,Endangered
Plains-wanderer�,Pedionomus torquatus,Critically endangered,Bird,Critically endangered
Princess parrot�,Polytelis alexandrae,Vulnerable,Bird,Vulnerable
Purple-crowned fairy-wren (western)�,Malurus coronatus coronatus,Vulnerable,Bird,Vulnerable
Red Centre pinwheel snail�,Tateropa aemula,Vulnerable,Invertebrate,Vulnerable
Red goshawk�,Erythrotriorchis radiatus,Vulnerable,Bird,Vulnerable
Red knot�,Calidris canutus,Endangered,Bird,Endangered
Red-tailed phascogale�,Phascogale calura,Vulnerable ,Mammal,Vulnerable (extinct in NT)
Rosewood keeled snail�,Ordtrachia septentrionalis,Endangered,Invertebrate,Endangered
Ross River squat snail�,Semotrachia rossana,Vulnerable,Invertebrate,Vulnerable
Runutjirbana Ridge squat snail�,Semotrachia runutjirbana,Vulnerable,Invertebrate,Vulnerable
