family,status,sourceStatus,vernacularName,scientificName,taxonRemarks
Hymenophyllaceae,Endangered,Endangered,,Abrodictyum obscurum,
Fabaceae,Critically endangered,Critically endangered,,Acacia equisetifolia,
Fabaceae,Vulnerable,Vulnerable,Latz's wattle,Acacia latzii ,
Fabaceae,Endangered,Endangered,Waddy-wood,Acacia peuce,
Fabaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Birds nest wattle,Acacia pickardii,
Fabaceae,Vulnerable,Vulnerable,,Acacia praetermissa,
Fabaceae,Vulnerable,Vulnerable,Undoolya wattle,Acacia undoolyana,
Apiaceae,Vulnerable,Vulnerable,Flannel flower,Actinotus schwarzii,
Pteridaceae,Vulnerable,Vulnerable,Venus-hair fern,Adiantum capillus-veneris,
Euphorbiaceae,Vulnerable,Vulnerable,,Amperia spicata,
Marattiaceae,Vulnerable,Vulnerable,,Angiopteris evecta,
Sapindaceae,Critically endangered,Critically endangered,,Atalaya brevialata,
Myrtaceae,Vulnerable,Vulnerable,,Babingtonia behrii,
Cyperaceae,Endangered,Endangered,,Baumea arthrophylla,
Dryopteridaceae,Vulnerable,Vulnerable,,Bolbitis quoyana,
Rutaceae,Vulnerable,Vulnerable,,Boronia quadrilata,
Rutaceae,Vulnerable,Vulnerable,,Boronia viridiflora,
Burmanniaceae,Endangered,Endangered,,Burmannia sp. Bathurst Island,
Orchidaceae,Vulnerable,Vulnerable,,Calochilus caeruleus,
Cyperaceae,Vulnerable,Vulnerable,,Carex fascicularis,
Rutaceae,Critically endangered,Critically endangered,,Clausena excavata,
Ranunculaceae,Vulnerable,Vulnerable,,Clematis decipiens,
Cleomaceae,Vulnerable,Vulnerable,,Cleome insolata,
Orchidaceae,Vulnerable,Vulnerable,,Crepidium marsupichilum,
Lauraceae,Endangered,Endangered,,Cryptocarya hypospodia,
Cycadaceae,Vulnerable,Vulnerable,,Cycas armstrongii,
Santalaceae,Vulnerable,Vulnerable,,Dendromyza reinwardtiana,
Orchidaceae,Vulnerable,Vulnerable,,Dienia montana,
Elaeocarpaceae,Critically endangered,Critically endangered,,Elaeocarpus miegei,
Cyperaceae,Vulnerable,Vulnerable,Dwarf desert spike-rush,Eleocharis papillosa,
Cyperaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,,Eleocharis retroflexa,
Lauraceae,Vulnerable,Vulnerable,,Endiandra limnophila,
Myoporaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Rainbow Valley fuschia bush,Eremophila prostrata,
Erythroxylaceae,Endangered,Endangered,,Erythroxylum sp. Cholmondely Creek,
Pandanaceae,Vulnerable,Vulnerable,,Freycinetia excelsa,
Pandanaceae,Vulnerable,Vulnerable,,Freycinetia percostata,
Clusiaceae,Endangered,Endangered,,Garcinia warrenii,
Gleicheniaceae,Vulnerable,Vulnerable,,Gleichenia sp. Victoria River,
Goodeniaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,,Goodenia quadrifida,
Orchidaceae,Endangered,Endangered,,Habenaria rumphii,
Malvaceae,Endangered,Endangered,,Helicteres macrothrix,
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia brennanii,
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia pancerea,
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia sp. South Magela,
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia tricornis,
Malvaceae,Vulnerable,Vulnerable,,Hibiscus brennanii,
Malvaceae,Vulnerable,Vulnerable,,Hibiscus cravenii,
Apocynaceae,Vulnerable,Vulnerable,,Hoya australis subsp. oramicola,
Fabaceae,Critically endangered,Critically endangered,,Intsia bijuga,
Fabaceae,Vulnerable,Vulnerable,,Jacksonia divisa,
Myrtaceae,Vulnerable,Vulnerable,,Lithomyrtus linariifolia,
Arecaceae,Endangered,Endangered,Red cabbage palm,Livistona mariae subsp. Mariae,
Orchidaceae,Vulnerable,Vulnerable,,Luisia corrugata,
Thelypteridaceae,Endangered,Endangered,,Macrothelypteris torresiana,
Zamiaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Macdonnell Ranges cycad,Macrozamia macdonnellii,
Cyperaceae,Vulnerable,Vulnerable,,Mapania macrocephala,
Asteraceae,Vulnerable,Vulnerable,,Minuria tridens,
Sapindaceae,Endangered,Endangered,,Mischocarpus stipitatus,
Annonaceae,Vulnerable,Vulnerable,,Mitrella tiwiensis,
Pontederiaceae,Vulnerable,Vulnerable,,Monochoria hastata,
Asteraceae,Endangered,Endangered,,Olearia macdonnellensis,
Apiaceae,Vulnerable,Vulnerable,,Platysace saxatilis,
Lamiaceae,Vulnerable,Vulnerable,,Prostanthera schultzii,
Melastomataceae,Vulnerable,Vulnerable,,Pternandra coerulescens,
Arecaceae,Endangered,Endangered,Darwin palm,Ptychosperma macarthurii,
Euphorbiaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Glory of the Centre,Ricinocarpos gloria-medii,
Santalaceae,Vulnerable,Vulnerable,,Santalum acuminatum,
Cyperaceae,Vulnerable,Vulnerable,,Schoenus centralis,
Malvaceae,Endangered,Endangered,,Schoutenia ovata,
Poaceae,Vulnerable,Vulnerable,,Sporobolus latzii,
Gleicheniaceae,Vulnerable,Vulnerable,,Sticherus flabellatus,
Stylidiaceae,Endangered,Endangered,,Stylidium ensatum,
Rubiaceae,Endangered,Endangered,,Tarennoidea wallichii,
Orchidaceae,Vulnerable,Vulnerable,,Thrixspermum congestum,
Poaceae,Vulnerable,Vulnerable,,Triodia sp. Matt Wilson,
Araceae,Endangered,Endangered,,Typhonium jonesii,
Araceae,Endangered,Endangered,,Typhonium mirabile,
