scientificName,family,genus,vernacularName,generalisation
Anthochaera phrygia,Meliphagidae,Anthochaera,Regent Honeyeater,10km
Botaurus poiciloptilus,Ardeidae,Botaurus,Australasian Bittern,1km
Callocephalon fimbriatum,Cacatuidae,Callocephalon,Gang-gang Cockatoo,1km
Calyptorhynchus lathami lathami,Cacatuidae,Calyptorhynchus,Glossy Black-cockatoo,1km
Climacteris picumnus victoriae,Climacteridae,Climacteris,Brown Treecreeper (south-eastern),1km
Hieraaetus morphnoides,Accipitridae,Hieraaetus,Little Eagle,1km
Lathamus discolor,Psittacidae,Lathamus,Swift Parrot,10km
Melanodryas cucullata cucullata,Petroicidae,Melanodryas,Hooded Robin,1km
Ninox connivens,Strigidae,Ninox,Barking Owl,1km
Ninox strenua,Strigidae,Ninox,Powerful Owl,1km
Polytelis swainsonii,Psittacidae,Polytelis,Superb Parrot,1km
Litoria aurea,Hylidae,Litoria,Green and Golden Bell Frog,1km
Litoria castanea,Hylidae,Litoria,Yellow-spotted Bell Frog,1km
Litoria raniformis,Hylidae,Litoria,Southern Bell Frog,1km
Litoria verreauxii alpina,Hylidae,Litoria,Alpine Tree Frog,1km
Pseudophryne pengilleyi,Myobatrachidae,Pseudophryne,Northern Corroboree Frog,1km
Acrodipsas aurata,Lycaenidae,Acrodipsas,Golden Ant-blue,1km
Acrodipsas brisbanensis,Lycaenidae,Acrodipsas,Bronze Ant-blue,1km
Acrodipsas myrmecophila,Lycaenidae,Acrodipsas,Small Ant-blue,10km
Anisynta monticolae,Hesperiidae,Anisynta,Montane Grass-skipper,1km
Herimosa albovenata,Hesperiidae,Herimosa,White-veined Sand-skipper,1km
Hesperilla donnysa,Hesperiidae,Hesperilla,Varied Sedge-skipper,1km
Heteronympha banksii,Nymphalidae,Heteronympha,Banks' Brown,1km
Hypochrysops byzos,Lycaenidae,Hypochrysops,Yellow Jewel,10km
Hypochrysops delicia,Lycaenidae,Hypochrysops,Moonlight Jewel,1km
Oreixenica latialis,Nymphalidae,Oreixenica,Small Alpine Xenica,1km
Paralucia spinifera,Lycaenidae,Paralucia,Bathurst or Purple Copper Butterfly,1km
Pseudalmenus chlorinda,Lycaenidae,Pseudalmenus,Silky Hairstreak,1km
Toxidia peron,Hesperiidae,Toxidia,Dingy Grass-skipper,1km
Euastacus armatus,Parastacidae,Euastacus,Murray River Crayfish,1km
Euastacus crassus,Parastacidae,Euastacus,Alpine (Spiny) Crayfish,1km
Euastacus rieki,Parastacidae,Euastacus,Riek's Crayfish,1km
Austroaeschna flavomaculata,Telephlebiidae,Austroaeschna,Alpine Darner,1km
Austropetalia tonyana,Austropetaliidae,Austropetalia,Alpine Redspot,1km
Maratus harrisi,Salticidae,Maratus,Harris's Peacock Spider,1km
Bettongia gaimardi,Potoroidae,Bettongia,Eastern Bettong,1km
Cervus elaphus,Cervidae,Cervus,Red Deer,1km
Cervus unicolor,Cervidae,Cervus,Sambar Deer,1km
Dama dama,Cervidae,Dama,Fallow Deer,1km
Equus caballus,Equidae,Equus,"Feral Horse, Brumby",1km
