scientificName,family,genus,vernacularName,category,generalisation
Anthochaera phrygia,Meliphagidae,Anthochaera,Regent Honeyeater,Extreme,10km
Botaurus poiciloptilus,Ardeidae,Botaurus,Australasian Bittern,Sensitive,1km
Callocephalon fimbriatum,Cacatuidae,Callocephalon,Gang-gang Cockatoo,Sensitive,1km
Calyptorhynchus lathami lathami,Cacatuidae,Calyptorhynchus,Glossy Black-cockatoo,Sensitive,1km
Climacteris picumnus victoriae,Climacteridae,Climacteris,Brown Treecreeper (south-eastern),Sensitive,1km
Hieraaetus morphnoides,Accipitridae,Hieraaetus,Little Eagle,Sensitive,1km
Lathamus discolor,Psittacidae,Lathamus,Swift Parrot,Extreme,10km
Melanodryas cucullata cucullata,Petroicidae,Melanodryas,Hooded Robin,Sensitive,1km
Ninox connivens,Strigidae,Ninox,Barking Owl,Sensitive,1km
Ninox strenua,Strigidae,Ninox,Powerful Owl,Sensitive,1km
Polytelis swainsonii,Psittacidae,Polytelis,Superb Parrot,Sensitive,1km
Litoria aurea,Hylidae,Litoria,Green and Golden Bell Frog,Sensitive,1km
Litoria castanea,Hylidae,Litoria,Yellow-spotted Bell Frog,Sensitive,1km
Litoria raniformis,Hylidae,Litoria,Southern Bell Frog,Sensitive,1km
Litoria verreauxii alpina,Hylidae,Litoria,Alpine Tree Frog,Sensitive,1km
Pseudophryne pengilleyi,Myobatrachidae,Pseudophryne,Northern Corroboree Frog,Sensitive,1km
Acrodipsas aurata,Lycaenidae,Acrodipsas,Golden Ant-blue,Sensitive,1km
Acrodipsas brisbanensis,Lycaenidae,Acrodipsas,Bronze Ant-blue,Sensitive,1km
Acrodipsas myrmecophila,Lycaenidae,Acrodipsas,Small Ant-blue,Extreme,10km
Anisynta monticolae,Hesperiidae,Anisynta,Montane Grass-skipper,Sensitive,1km
Herimosa albovenata,Hesperiidae,Herimosa,White-veined Sand-skipper,Sensitive,1km
Hesperilla donnysa,Hesperiidae,Hesperilla,Varied Sedge-skipper,Sensitive,1km
Heteronympha banksii,Nymphalidae,Heteronympha,Banks' Brown,Sensitive,1km
Hypochrysops byzos,Lycaenidae,Hypochrysops,Yellow Jewel,Extreme,10km
Hypochrysops delicia,Lycaenidae,Hypochrysops,Moonlight Jewel,Sensitive,1km
Oreixenica latialis,Nymphalidae,Oreixenica,Small Alpine Xenica,Sensitive,1km
Paralucia spinifera,Lycaenidae,Paralucia,Bathurst or Purple Copper Butterfly,Sensitive,1km
Pseudalmenus chlorinda,Lycaenidae,Pseudalmenus,Silky Hairstreak,Sensitive,1km
Toxidia peron,Hesperiidae,Toxidia,Dingy Grass-skipper,Sensitive,1km
Euastacus armatus,Parastacidae,Euastacus,Murray River Crayfish,Sensitive,1km
Euastacus crassus,Parastacidae,Euastacus,Alpine (Spiny) Crayfish,Sensitive,1km
Euastacus rieki,Parastacidae,Euastacus,Riek's Crayfish,Sensitive,1km
Austroaeschna flavomaculata,Telephlebiidae,Austroaeschna,Alpine Darner,Sensitive,1km
Austropetalia tonyana,Austropetaliidae,Austropetalia,Alpine Redspot,Sensitive,1km
Maratus harrisi,Salticidae,Maratus,Harris's Peacock Spider,Sensitive,1km
Bettongia gaimardi,Potoroidae,Bettongia,Eastern Bettong,Sensitive,1km
Cervus elaphus,Cervidae,Cervus,Red Deer,Sensitive,1km
Cervus unicolor,Cervidae,Cervus,Sambar Deer,Sensitive,1km
Dama dama,Cervidae,Dama,Fallow Deer,Sensitive,1km
Equus caballus,Equidae,Equus,"Feral Horse, Brumby",Sensitive,1km
Isoodon obesulus obesulus,Peramelidae,Isoodon,Southern Brown Bandicoot (Eastern),Sensitive,1km
Mastacomys fuscus mordicus,Muridae,Mastacomys,Broad-toothed Rat,Sensitive,1km
Petaurus australis,Petauridae,Petaurus,Yellow-bellied Glider,Sensitive,1km
Petrogale penicillata,Macropodidae,Petrogale,Brush-tailed Rock-wallaby,Extreme,10km
Phascolarctos cinereus,Phascolarctidae,Phascolarctos,Koala,Sensitive,1km
Sus scrofa,Suidae,Sus,Feral Pig,Sensitive,1km
Craspedia aurantia var. aurantia,Asteraceae,Craspedia,Orange Billy Button,Sensitive,1km
Craspedia aurantia var. jamesii,Asteraceae,Craspedia,,Sensitive,1km
Craspedia canens,Asteraceae,Craspedia,Grey Billy Button,Sensitive,1km
Craspedia lamicola,Asteraceae,Craspedia,Bog Billy Button,Sensitive,1km
Myriocephalus rhizocephalus,Asteraceae,Myriocephalus,Woolly-Heads,Sensitive,1km
Asplenium bulbiferum,Aspleniaceae,Asplenium,Hen and Chicken Fern,Sensitive,1km
Asplenium gracillimum,Aspleniaceae,Asplenium,Mother Spleenwort,Sensitive,1km
Asplenium trichomanes,Aspleniaceae,Asplenium,Common Spleenwort,Sensitive,1km
Blechnum cartilagineum,Blechnaceae,Blechnum,Gristle Fern,Sensitive,1km
Blechnum fluviatile,Blechnaceae,Blechnum,Way Water Fern,Sensitive,1km
Botrychium australe,Ophioglossaceae,Botrychium,Austral Moonwort,Sensitive,1km
Botrychium lunaria,Ophioglossaceae,Botrychium,Grassy Moonwort,Sensitive,1km
Dicksonia antarctica,Dicksoniaceae,Dicksonia,Soft Treefern,Sensitive,1km
Diplazium australe,Woodsiaceae,Diplazium,Austral Lady Fern,Sensitive,1km
Gleichenia dicarpa,Gleicheniaceae,Gleichenia,Wiry Coral Fern,Sensitive,1km
Gleichenia microphylla,Gleicheniaceae,Gleichenia,Scrambling Coral Fern,Sensitive,1km
Histiopteris incisa,Dennstaedtiaceae,Histiopteris,Bat's Wing Fern,Sensitive,1km
Hymenophyllum cupressiforme,Hymenophyllaceae,Hymenophyllum,Common Filmy Fern,Sensitive,1km
Lycopodium deuterodensum,Lycopodiaceae,Lycopodium,Bushy Club Moss,Sensitive,1km
Marsilea costulifera,Marsileaceae,Marsilea,Narrow-Leaf Nardoo,Sensitive,1km
Marsilea mutica,Marsileaceae,Marsilea,Nardoo,Sensitive,1km
Notogrammitis billardierei,Polypodiaceae,Notogrammitis,Finger Fern,Sensitive,1km
Pilularia novae-hollandiae,Marsileaceae,Pilularia,Austral Pillwort,Sensitive,1km
Pleurosorus subglandulosus,Aspleniaceae,Pleurosorus,Blanket Fern,Sensitive,1km
Sticherus lobatus,Gleicheniaceae,Sticherus,Spreading Fan Fern,Sensitive,1km
Todea barbara,Osmundaceae,Todea,King Fern,Sensitive,1km
Acianthus collinus,Orchidaceae,Acianthus,Inland Mosquito Orchid,Sensitive,1km
Acianthus exsertus,Orchidaceae,Acianthus,Large Mosquito Orchid,Sensitive,1km
Bunochilus montanus,Orchidaceae,Bunochilus,Montane Leafy Greenhood,Sensitive,1km
Bunochilus umbrinus,Orchidaceae,Bunochilus,Broad-sepaled Leafy Greenhood,Sensitive,1km
Caladenia actensis,Orchidaceae,Caladenia,Canberra Spider Orchid,Extreme,10km
Caladenia aestiva,Orchidaceae,Caladenia,Mountain Summer Spider Orchid,Extreme,10km
Caladenia armata,Orchidaceae,Caladenia,Majura Spider Orchid,Extreme,10km
Caladenia atrovespa,Orchidaceae,Caladenia,Green-Comb Spider Orchid or Fringed Spider Orchid,Sensitive,1km
Caladenia congesta,Orchidaceae,Caladenia,Pink Caps,Sensitive,1km
Caladenia dimorpha,Orchidaceae,Caladenia,,Sensitive,1km
Caladenia filamentosa,Orchidaceae,Caladenia,Daddy Long-Legs,Sensitive,1km
Caladenia hildae,Orchidaceae,Caladenia,Golden Caps,Sensitive,1km
Caladenia mentiens,Orchidaceae,Caladenia,Cryptic Pink-Fingers,Sensitive,1km
Caladenia montana,Orchidaceae,Caladenia,Mountain Spider Orchid,Sensitive,1km
Caladenia parva,Orchidaceae,Caladenia,Brown-Clubbed Spider Orchid,Sensitive,1km
Caladenia testacea,Orchidaceae,Caladenia,Honey Caladenia,Sensitive,1km
Caleana minor,Orchidaceae,Caleana,Small Duck Orchid,Sensitive,1km
Calochilus campestris,Orchidaceae,Calochilus,Copper Beard Orchid,Sensitive,1km
Calochilus gracillimus,Orchidaceae,Calochilus,Brownish Beard Orchid,Sensitive,1km
