scientificName,vernacularName,status,source status,sensitivityZoneId
Anthochaera phrygia,Regent Honeyeater ,Critically Endangered,Critically Endangered,ACT
Lathamus discolor,Swift Parrot ,Critically Endangered,Critically Endangered,ACT
Pseudophryne pengilleyi,Northern Corroboree Frog ,Critically Endangered,Critically Endangered,ACT
Litoria castanea,Yellow-spotted Bell Frog ,Critically Endangered,Critically Endangered,ACT
Corunastylis ectopa,Brindabella Midge Orchid ,Critically Endangered,Critically Endangered,ACT
Caladenia actensis,Canberra Spider Orchid ,Critically Endangered,Critically Endangered,ACT
Pterostylis oreophila,Kiandra Greenhood ,Critically Endangered,Critically Endangered,ACT
Petrogale penicillata,Brush-tailed Rock-wallaby ,Endangered,Endangered,ACT
Dasyurus viverrinus,Eastern Quoll ,Endangered,Endangered,ACT
Pseudomys fumeus,Smoky Mouse ,Endangered,Endangered,ACT
Eastern Isoodon obesulus obesulus,Southern Brown Bandicoot ,Endangered,Endangered,ACT
Rostratula australis,Australian Painted Snipe ,Endangered,Endangered,ACT
Botaurus poiciloptilus,Australasian Bittern ,Endangered,Endangered,ACT
Tympanocryptis pinguicolla,Grassland Earless Dragon ,Endangered,Endangered,ACT
Macquaria australasica,Macquarie Perch ,Endangered,Endangered,ACT
Bidyanus bidyanus,Silver Perch ,Endangered,Endangered,ACT
Maccullochella macquariensis,Trout Cod ,Endangered,Endangered,ACT
Synemon plana,Golden Sun Moth ,Endangered,Endangered,ACT
Gentiana baeuerlenii,Baeuerlen's Gentian ,Endangered,Endangered,ACT
Rutidosis leptorhynchoides,Button Wrinklewort ,Endangered,Endangered,ACT
Lepidium ginninderrense,Ginninderra Peppercress ,Endangered,Endangered,ACT
Bossiaea grayi,Murrumbidgee Bossiaea ,Endangered,Endangered,ACT
Swainsona recta,Small Purple Pea ,Endangered,Endangered,ACT
Prasophyllum petilum,Tarengo Leek Orchid ,Endangered,Endangered,ACT
Muehlenbeckia tuggeranong,Tuggeranong Lignum ,Endangered,Endangered,ACT
Bettongia gaimardi,Eastern Bettong ,Regionally conservation dependent,Regionally conservation dependent,ACT
Dasyurus maculatus maculatus,Spotted-tailed Quoll ,Vulnerable,Vulnerable,ACT
mainland Mastacomys fuscus mordicus,Broad-toothed Rat ,Vulnerable,Vulnerable,ACT
Petauroides volans,Greater Glider ,Vulnerable,Vulnerable,ACT
Pteropus poliocephalus,Grey-headed Flying-fox ,Vulnerable,Vulnerable,ACT
QLD/NSW/ACT population Phascolarctos cinereus,Koala ,Vulnerable,Vulnerable,ACT
Pseudomys novaehollandiae,New Holland Mouse ,Vulnerable,Vulnerable,ACT
Climacteris picumnus victoriae,Brown Treecreeper ,Vulnerable,Vulnerable,ACT
Calyptorhynchus lathami lathami,Glossy Black-cockatoo ,Vulnerable,Vulnerable,ACT
Melanodryas cucullata cucullata,Hooded Robin ,Vulnerable,Vulnerable,ACT
Hieraaetus morphnoides,Little Eagle ,Vulnerable,Vulnerable,ACT
Grantiella picta,Painted Honeyeater ,Vulnerable,Vulnerable,ACT
Petroica boodang,Scarlet Robin ,Vulnerable,Vulnerable,ACT
Polytelis swainsonii,Superb Parrot ,Vulnerable,Vulnerable,ACT
Daphoenositta chrysoptera,Varied Sittella ,Vulnerable,Vulnerable,ACT
Lalage tricolor,White-winged Triller ,Vulnerable,Vulnerable,ACT
Hirundapus caudacutus,White-throated Needletail ,Vulnerable,Vulnerable,ACT
Aprasia parapulchella,Pink-tailed Worm-lizard ,Vulnerable,Vulnerable,ACT
Delma impar,Striped Legless Lizard ,Vulnerable,Vulnerable,ACT
Litoria verreauxii alpina,Alpine Tree Frog ,Vulnerable,Vulnerable,ACT
Litoria aurea,Green and Golden Bell Frog ,Vulnerable,Vulnerable,ACT
Litoria raniformis,Southern Bell Frog ,Vulnerable,Vulnerable,ACT
Gadopsis bispinosus,Two-spined Blackfish ,Vulnerable,Vulnerable,ACT
Euastacus armatus,Murray River Crayfish ,Vulnerable,Vulnerable,ACT
Perunga ochracea,Perunga Grasshopper ,Vulnerable,Vulnerable,ACT
Thesium australe,Austral Toadflax ,Vulnerable,Vulnerable,ACT
Eucalyptus aggregate,Black Gum ,Vulnerable,Vulnerable,ACT
Pomaderris pallida,Pale Pomaderris ,Vulnerable,Vulnerable,ACT
