scientificName,family,genus,vernacularName,generalisation,category
Callocephalon fimbriatum,Cacatuidae,Callocephalon,Gang-gang Cockatoo,1km,Category 3
Anthochaera phrygia,Meliphagidae,Anthochaera,Regent Honeyeater,10km,Category 2
Ninox strenua,Strigidae,Ninox,Powerful Owl,1km,Category 3
Tyto tenebricosa,Tytonidae,Tyto,Sooty Owl,1km,Category 3
Ninox connivens,Strigidae,Ninox,Barking Owl,1km,Category 3
Hoplocephalus bungaroides,Elapidae,Hoplocephalus,Broad-headed Snake,10km,Category 2
Neophema chrysogaster,Psittacidae,Neophema,Orange-bellied Parrot,1km,Category 3
Glossopsitta porphyrocephala,Psittacidae,Glossopsitta,Purple-crowned Lorikeet,1km,Category 3
Philoria loveridgei,Limnodynastidae,Philoria,Loveridge's Frog,10km,Category 2
Dasyornis brachypterus,Dasyornithidae,Dasyornis,Eastern Bristlebird,10km,Category 2
Hamirostra melanosternon,Accipitridae,Hamirostra,Black-breasted Buzzard,1km,Category 3
Neophema pulchella,Psittacidae,Neophema,Turquoise Parrot,1km,Category 3
Tyto novaehollandiae,Tytonidae,Tyto,Masked Owl,1km,Category 3
Cyclopsitta diophthalma coxeni,Psittacidae,Cyclopsitta,Coxen's Fig-Parrot,10km,Category 2
Lophoictinia isura,Accipitridae,Lophoictinia,Square-tailed Kite,1km,Category 3
Erythrotriorchis radiatus,Accipitridae,Erythrotriorchis,Red Goshawk,10km,Category 2
Lophochroa leadbeateri,Cacatuidae,Lophochroa,Major Mitchell's Cockatoo,10km,Category 2
Calyptorhynchus lathami,Cacatuidae,Calyptorhynchus,Glossy Black-Cockatoo,10km,Category 2
Mixophyes balbus,Myobatrachidae,Mixophyes,Stuttering Frog,10km,Category 2
Mixophyes fleayi,Myobatrachidae,Mixophyes,Fleay's Barred Frog,10km,Category 2
Polytelis anthopeplus monarchoides,Psittacidae,Polytelis,Regent Parrot (eastern subspecies),1km,Category 3
Philoria kundagungan,Limnodynastidae,Philoria,Mountain Frog,10km,Category 2
Mixophyes iteratus,Myobatrachidae,Mixophyes,Giant Barred Frog,10km,Category 2
Falco hypoleucos,Falconidae,Falco,Grey Falcon,10km,Category 2
Pseudophryne corroboree,Myobatrachidae,Pseudophryne,Southern Corroboree Frog,10km,Category 2
Polytelis swainsonii,Psittacidae,Polytelis,Superb Parrot,1km,Category 3
Pedionomus torquatus,Pedionomidae,Pedionomus,Plains-wanderer,1km,Category 3
Pterostylis oreophila,Orchidaceae,Pterostylis,Blue-tongued Greenhood,10km,Category 2
Genoplesium baueri,Orchidaceae,Genoplesium,Bauer's Midge Orchid,10km,Category 2
Banksia conferta,Proteaceae,Banksia,,10km,Category 2
Diuris tricolor,Orchidaceae,Diuris,Pine Donkey Orchid,10km,Category 2
Cryptostylis hunteriana,Orchidaceae,Cryptostylis,Leafless Tongue Orchid,10km,Category 2
Peristeranthus hillii,Orchidaceae,Peristeranthus,Brown Fairy-chain Orchid,10km,Category 2
Thelymitra epipactoides,Orchidaceae,Thelymitra,,10km,Category 2
Arthropteris palisotii,Davalliaceae,Arthropteris,Lesser Creeping Fern,1km,Category 3
Lindsaea fraseri,Lindsaeaceae,Lindsaea,Fraser's Screw Fern,1km,Category 3
Callistemon linearifolius,Myrtaceae,Callistemon,Netted Bottle Brush,1km,Category 3
Drynaria rigidula,Polypodiaceae,Drynaria,Basket Fern,1km,Category 3
Lindsaea incisa,Lindsaeaceae,Lindsaea,Slender Screw Fern,1km,Category 3
Prostanthera marifolia,Lamiaceae,Prostanthera,Seaforth Mintbush,1km,Category 3
Chiloglottis platyptera,Orchidaceae,Chiloglottis,Barrington Tops Ant Orchid,10km,Category 2
Euphrasia scabra,Orobanchaceae,Euphrasia,Rough Eyebright,1km,Category 3
Diuris praecox,Orchidaceae,Diuris,Rough Doubletail,10km,Category 2
Allocasuarina portuensis,Casuarinaceae,Allocasuarina,Nielsen Park She-oak,1km,Category 3
Elaeocarpus williamsianus,Elaeocarpaceae,Elaeocarpus,Hairy Quandong,1km,Category 3
Eucalyptus imlayensis,Myrtaceae,Eucalyptus,Imlay Mallee,1km,Category 3
Indigofera efoliata,Fabaceae (Faboideae),Indigofera,Leafless Indigo,1km,Category 3
Hakea pulvinifera,Proteaceae,Hakea,Lake Keepit Hakea,10km,Category 2
Rhizanthella slateri,Orchidaceae,Rhizanthella,Eastern Australian Underground Orchid,10km,Category 2
Gentiana bredboensis,Gentianaceae,Gentiana,Bredbo Gentian,10km,Category 2
Sarcochilus dilatatus,Orchidaceae,Sarcochilus,Brown Butterfly Orchid,10km,Category 2
Diuris venosa,Orchidaceae,Diuris,Veined Doubletail,10km,Category 2
Bulbophyllum globuliforme,Orchidaceae,Bulbophyllum,Hoop Pine Orchid,10km,Category 2
Gentiana wingecarribiensis,Gentianaceae,Gentiana,Wingecarribee Gentian,1km,Category 3
Pterostylis cobarensis,Orchidaceae,Pterostylis,Greenhood Orchid,10km,Category 2
Sarcochilus weinthalii,Orchidaceae,Sarcochilus,Blotched Sarcochilus,10km,Category 2
Sarcochilus fitzgeraldii,Orchidaceae,Sarcochilus,Ravine Orchid,10km,Category 2
Phaius australis,Orchidaceae,Phaius,Southern Swamp Orchid,10km,Category 2
Diploglottis campbellii,Sapindaceae,Diploglottis,Small-leaved Tamarind,10km,Category 2
Sarcochilus hartmannii,Orchidaceae,Sarcochilus,Hartman's Sarcochilus,10km,Category 2
Chiloglottis anaticeps,Orchidaceae,Chiloglottis,Bird Orchid,10km,Category 2
Diuris pedunculata,Orchidaceae,Diuris,Small Snake Orchid,10km,Category 2
Grevillea mollis,Proteaceae,Grevillea,Soft Grevillea,1km,Category 3
Grevillea iaspicula,Proteaceae,Grevillea,Wee Jasper Grevillea,10km,Category 2
Lastreopsis hispida,Dryopteridaceae,Lastreopsis,Bristly Shield Fern,1km,Category 3
Prasophyllum fuscum,Orchidaceae,Prasophyllum,Slaty Leek Orchid,10km,Category 2
Angiopteris evecta,Marattiaceae,Angiopteris,Giant Fern,10km,Category 2
Pterostylis alpina,Orchidaceae,Pterostylis,Alpine Greenhood,10km,Category 2
Prasophyllum affine,Orchidaceae,Prasophyllum,Jervis Bay Leek Orchid,10km,Category 2
Pterostylis pulchella,Orchidaceae,Pterostylis,Waterfall Greenhood,10km,Category 2
Platyzoma microphyllum,Pteridaceae,Platyzoma,Braid Fern,1km,Category 3
Genoplesium rhyoliticum,Orchidaceae,Genoplesium,Rhyolite Midge Orchid,10km,Category 2
Pilularia novae-hollandiae,Marsileaceae,Pilularia,Austral Pillwort,1km,Category 3
Geodorum densiflorum,Orchidaceae,Geodorum,Pink Nodding Orchid,10km,Category 2
Lindsaea brachypoda,Lindsaeaceae,Lindsaea,Short-footed Screw Fern,1km,Category 3
Zieria adenophora,Rutaceae,Zieria,Araluen Zieria,10km,Category 2
