VBATaxonId,scientificName,vernacularName,scientificNameAuthoritiy,family,FFGStatus,FFGDesc,EPBCStatus,EPBCDesc,sourceStatus,status,VBARestriction,VBA_origin,speciesGroup,identificationRemarks,VBATreaty,VBA_discipline,kingdom,taxonRank,modified
1674,Engaeus fultoni,Otway Burrowing Crayfish,"Smith & Schuster, 1913",Parastacidae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
1692,Engaeus sericatus,Hairy Burrowing Crayfish,"Clark, 1936",Parastacidae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
1633,Euastacus bidawalus,East Gippsland Spiny Crayfish,"Morgan, 1986",Parastacidae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
75193,Triaenodes resima,Caddisfly,"Neboiss & Wells, 1998",Leptoceridae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
75194,Triaenodes uvida,Caddisfly,"Neboiss & Wells, 1998",Leptoceridae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
3187,Westriplectes pedderensis,Caddisfly,"Neboiss, 1977",Leptoceridae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
3120,Notoperata sparsa,Caddisfly,"(Kimmins, 1953)",Leptocerinae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
3058,Ramiheithrus virgatus,Caddisfly,"Neboiss, 1974",Philorheithridae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
75164,Gariwerdeus ingletonensis,freshwater isopod,"Wilson & Keable, 2002",Phreatoicidae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
75165,Gariwerdeus turretensis,freshwater isopod,"Wilson & Keable, 2002",Phreatoicidae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
75166,Naiopegia xiphagrostis,freshwater isopod,"Wilson & Keable, 2002",Phreatoicidae,vu,Vulnerable,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
