scientificName,vernacularName,generalisation
Engaeus australis,Lilly Pilly Burrowing Crayfish,1 km
Engaeus fultoni,Otway Burrowing Crayfish,1 km
Engaeus mallacoota,Mallacoota Burrowing Crayfish,1 km
Engaeus phyllocercus,Narracan Burrowing Crayfish,1 km
Engaeus rostrogaleatus,Strzelecki Burrowing Crayfish,1 km
Engaeus sericatus,Hairy Burrowing Crayfish,1 km
Engaeus sternalis,Warragul Burrowing Crayfish,1 km
Engaeus strictifrons,Portland Burrowing Crayfish,1 km
Engaeus urostrictus,Dandenong Burrowing Crayfish,1 km
Euastacus bidawalus,East Gippsland Spiny Crayfish,1 km
Euastacus claytoni,Claytons Spiny Crayfish,1 km
Euastacus crassus,Alpine Spiny Crayfish,1 km
Galaxias aequipinnis,East Gippsland Galaxias,1 km
Galaxias gunaikurnai,Shaw Galaxias,1 km
Galaxias lanceolatus,Tapered Galaxias,1 km
Galaxias longifundus,West Gippsland Galaxias,1 km
Galaxias mcdowalli,McDowall's Galaxias,1 km
Galaxias mungadhan,Dargo Galaxias,1 km
Galaxias terenasus,Roundsnout Galaxias,1 km
Gramastacus insolitus,Western Swamp Crayfish,1 km
Austrogammarus australis,Dandenong Freshwater Amphipod,1 km
Austrogammarus haasei,Sherbrooke Amphipod,1 km
Colubotelson joyneri,freshwater isopod,1 km
Colubotelson searli,freshwater isopod,1 km
Gariwerdeus beehivensis,freshwater isopod,1 km
Gariwerdeus ingletonensis,freshwater isopod,1 km
Gariwerdeus turretensis,freshwater isopod,1 km
Hemiphlebia mirabilis,Ancient Greenling Damselfly,1 km
Hyridella glenelgensis,Glenelg Freshwater Mussel / Bocara Timbonn,1 km
Leptoperla kallistae,Kallista Flightless Stonefly,1 km
Naiopegia xiphagrostis,freshwater isopod,1 km
Notopala sublineata,River Snail,1 km
Notoperata sparsa,Caddisfly,1 km
Pseudocalliax tooradin,Ghost shrimp,1 km
Ramiheithrus virgatus,Caddisfly,1 km
Riekoperla darlingtoni,Mt Donna Buang Wingless Stonefly,1 km
Riekoperla intermedia,Stonefly,1 km
Riekoperla isosceles,Stonefly,1 km
Tamasia furcilla,Caddisfly,1 km
Taskiria otwayensis,Caddisfly,1 km
Thaumatoperla alpina,Alpine Stonefly,1 km
Thaumatoperla flaveola,Mount Stirling stonefly,1 km
Thaumatoperla robusta,Stonefly,1 km
Thaumatoperla timmsi,Stonefly,1 km
Triaenodes resima,Caddisfly,1 km
Triaenodes uvida,Caddisfly,1 km
Westriplectes angelae,Caddisfly,1 km
Westriplectes pedderensis,Caddisfly,1 km
Wundacaenis flabellum,Mayfly,1 km
Borya mirabilis,Grampians Pincushion-lily,1 km
Bossiaea vombata,Wombat Bossiaea,1 km
Caladenia amoena,Charming Spider-orchid,1 km
Caladenia arenaria,Sandhill Spider-orchid,1 km
