id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,vernacular name,status,sourceStatus,taxonRemarks
4026202,Anthochaera phrygia,Regent Honeyeater,Anthochaera (Xanthomyza) phrygia,https://biodiversity.org.au/afd/taxa/31869a0e-2ce5-40be-b6f6-c0231a48b414,dr649,"[{'key': 'vernacular name', 'value': 'Regent Honeyeater'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",Regent Honeyeater,Critically Endangered,Critically Endangered,
4026236,Lathamus discolor,Swift Parrot,Lathamus discolor,https://biodiversity.org.au/afd/taxa/4cb195fd-b127-44cb-ad85-a62d224e9a96,dr649,"[{'key': 'vernacular name', 'value': 'Swift Parrot'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",Swift Parrot,Critically Endangered,Critically Endangered,
4026233,Pseudophryne pengilleyi,Northern Corroboree Frog,Pseudophryne pengilleyi,https://biodiversity.org.au/afd/taxa/cc5315bf-6682-44d9-809c-139afaddf7c8,dr649,"[{'key': 'vernacular name', 'value': 'Northern Corroboree Frog'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",Northern Corroboree Frog,Critically Endangered,Critically Endangered,
4026223,Caladenia actensis,Canberra Spider Orchid,Caladenia actensis,https://id.biodiversity.org.au/taxon/apni/51398755,dr649,"[{'key': 'vernacular name', 'value': 'Canberra Spider Orchid'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",Canberra Spider Orchid,Critically Endangered,Critically Endangered,
4026207,Corunastylis ectopa,,Genoplesium ectopum,https://id.biodiversity.org.au/taxon/apni/51406011,dr649,"[{'key': 'vernacular name', 'value': 'Brindabella Midge Orchid'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",Brindabella Midge Orchid,Critically Endangered,Critically Endangered,
4026250,Pterostylis oreophila,Blue-tongued Orchid,Pterostylis oreophila,https://id.biodiversity.org.au/taxon/apni/51412246,dr649,"[{'key': 'vernacular name', 'value': 'Kiandra Greenhood'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",Kiandra Greenhood,Critically Endangered,Critically Endangered,
4026199,Litoria castanea,Yellow-spotted Bell Frog,Litoria castanea,https://biodiversity.org.au/afd/taxa/898034f7-3665-4566-ada2-0ba6bf48a9b0,dr649,"[{'key': 'vernacular name', 'value': 'Yellow-spotted Bell Frog'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'taxonRemarks', 'value': 'locally extinct'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",Yellow-spotted Bell Frog,Critically Endangered,Critically Endangered,locally extinct
4026217,Gentiana baeuerlenii,Baeuerlen's Gentian,Gentiana baeuerlenii,https://id.biodiversity.org.au/node/apni/2892776,dr649,"[{'key': 'vernacular name', 'value': ""Baeuerlen's Gentian""}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Baeuerlen's Gentian,Endangered,Endangered,
4026206,Prasophyllum petilum,Tarengo Leek Orchid,Prasophyllum petilum,https://id.biodiversity.org.au/taxon/apni/51409851,dr649,"[{'key': 'vernacular name', 'value': 'Tarengo Leek Orchid'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Tarengo Leek Orchid,Endangered,Endangered,
4026230,Rutidosis leptorhynchoides,Button Wrinklewort,Rutidosis leptorhynchoides,https://id.biodiversity.org.au/node/apni/7062437,dr649,"[{'key': 'vernacular name', 'value': 'Button Wrinklewort'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Button Wrinklewort,Endangered,Endangered,
