id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,taxonomicstatus,sourcestatus,status,authority,ngunnawal,comments,synonym,taxonremarks
4241435,Anthochaera phrygia,Regent Honeyeater,Anthochaera (Xanthomyza) phrygia,https://biodiversity.org.au/afd/taxa/31869a0e-2ce5-40be-b6f6-c0231a48b414,dr649,"[{'key': 'category', 'value': 'Bird'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Critically Endangered'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Bird,accepted,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,,
4241462,Aprasia parapulchella,Pink-tailed Worm-lizard,Aprasia parapulchella,https://biodiversity.org.au/afd/taxa/0d74fa05-7039-4f1e-9147-ca3927124532,dr649,"[{'key': 'category', 'value': 'Reptile'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Banburung'}]",Reptile,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Banburung,,,
4241424,Bettongia gaimardi,Tasmanian Bettong,Bettongia gaimardi,https://biodiversity.org.au/afd/taxa/19c9bfdf-0fbd-4b1b-a7c4-64498290d059,dr649,"[{'key': 'category', 'value': 'Mammal'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Regionally Conservation Dependent'}, {'key': 'status', 'value': 'Regionally Conservation Dependent'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Ngaluda'}, {'key': 'comments', 'value': 'Regionally Conservation Dependent'}]",Mammal,accepted,Regionally Conservation Dependent,Regionally Conservation Dependent,Nature Conservation Act 2014 (ACT),Ngaluda,Regionally Conservation Dependent,,
4241448,Bidyanus bidyanus,Silver Perch,Bidyanus bidyanus,https://biodiversity.org.au/afd/taxa/05866f31-1adb-4709-91f4-41dbff54459f,dr649,"[{'key': 'category', 'value': 'Fish'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Dhingur'}]",Fish,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Dhingur,,,
4241420,Bossiaea grayi,Murrumbidgee Bossiaea,Bossiaea grayi,https://id.biodiversity.org.au/node/apni/2910201,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Plant,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
4241464,Botaurus poiciloptilus,Australasian Bittern,Botaurus poiciloptilus,https://biodiversity.org.au/afd/taxa/dba78701-cae9-4afb-a41a-6697c52c5e34,dr649,"[{'key': 'category', 'value': 'Bird'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'comments', 'value': 'included in ACT Migratory Species Action Plan'}]",Bird,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,included in ACT Migratory Species Action Plan,,
4241463,Caladenia actensis,Canberra Spider Orchid,Caladenia actensis,https://id.biodiversity.org.au/taxon/apni/51398755,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Critically Endangered'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'synonym', 'value': 'Arachnorchis actensis'}]",Plant,accepted,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,Arachnorchis actensis,
4241422,Calyptorhynchus lathami lathami,Glossy Black-cockatoo,Calyptorhynchus (Calyptorhynchus) lathami lathami,https://biodiversity.org.au/afd/taxa/9823b764-cb22-42d0-bbbe-79c0a95b1a25,dr649,"[{'key': 'category', 'value': 'Bird'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'comments', 'value': 'Calyptorhynchus lathami species rank considered to be this subspecies when occurring in the ACT'}]",Bird,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,Calyptorhynchus lathami species rank considered to be this subspecies when occurring in the ACT,,
4241432,Climacteris picumnus victoriae,Brown Treecreeper (eastern Subspecies),Climacteris (Climacteris) picumnus victoriae,https://biodiversity.org.au/afd/taxa/fe69a214-d43c-468f-bb83-06402ac95e35,dr649,"[{'key': 'category', 'value': 'Bird'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Bird,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
4241443,Corunastylis ectopa,,Genoplesium ectopum,https://id.biodiversity.org.au/taxon/apni/51406011,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Critically Endangered'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Plant,accepted,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,,
