id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonRank,kingdom,class,order,family,genus,specificEpithet,vernacular name,establishmentMeans,sourceStatus,protectedInNSW,sensitivityClass,T S Profile I D,countryConservation,dcterms_modified,speciesID,taxonID,status
4028582,Delma impar,Many-lined Delma,Delma impar,https://biodiversity.org.au/afd/taxa/51c700dd-d2c3-4fb4-9d1f-2728bf2e302f,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'order', 'value': 'Squamata'}, {'key': 'family', 'value': 'Pygopodidae'}, {'key': 'genus', 'value': 'Delma'}, {'key': 'specificEpithet', 'value': 'impar'}, {'key': 'vernacular name', 'value': 'Striped Legless Lizard'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10211.0'}, {'key': 'countryConservation', 'value': 'Vulnerable'}, {'key': 'dcterms_modified', 'value': '2013-12-20T15:06:07.13+11:00'}, {'key': 'speciesID', 'value': '1'}, {'key': 'taxonID', 'value': '1'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Animalia,Reptilia,Squamata,Pygopodidae,Delma,impar,Striped Legless Lizard,"Alive in NSW, Native",Vulnerable,True,Not Sensitive,10211.0,Vulnerable,2013-12-20T15:06:07.13+11:00,1,1,Vulnerable
4028454,Callocephalon fimbriatum,Gang-gang Cockatoo,Callocephalon fimbriatum,https://biodiversity.org.au/afd/taxa/6c646af8-06fb-40ae-83aa-3dd001cc4ea6,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'order', 'value': 'Psittaciformes'}, {'key': 'family', 'value': 'Cacatuidae'}, {'key': 'genus', 'value': 'Callocephalon'}, {'key': 'specificEpithet', 'value': 'fimbriatum'}, {'key': 'vernacular name', 'value': 'Gang-gang Cockatoo'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Category 3'}, {'key': 'T S Profile I D', 'value': '10975.0'}, {'key': 'countryConservation', 'value': 'Endangered'}, {'key': 'dcterms_modified', 'value': '2011-11-11T11:23:09+11:00'}, {'key': 'speciesID', 'value': '6'}, {'key': 'taxonID', 'value': '6'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Animalia,Aves,Psittaciformes,Cacatuidae,Callocephalon,fimbriatum,Gang-gang Cockatoo,"Alive in NSW, Native",Vulnerable,True,Category 3,10975.0,Endangered,2011-11-11T11:23:09+11:00,6,6,Vulnerable
4028239,Cacophis harriettae,White-crowned Snake,Cacophis harriettae,https://biodiversity.org.au/afd/taxa/ace6534f-3f87-4422-a197-e58b4dd8bceb,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'order', 'value': 'Squamata'}, {'key': 'family', 'value': 'Elapidae'}, {'key': 'genus', 'value': 'Cacophis'}, {'key': 'specificEpithet', 'value': 'harriettae'}, {'key': 'vernacular name', 'value': 'White-crowned Snake'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10117.0'}, {'key': 'countryConservation', 'value': 'Not Listed'}, {'key': 'dcterms_modified', 'value': '2015-05-28T10:14:29.083+10:00'}, {'key': 'speciesID', 'value': '31'}, {'key': 'taxonID', 'value': '31'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Animalia,Reptilia,Squamata,Elapidae,Cacophis,harriettae,White-crowned Snake,"Alive in NSW, Native",Vulnerable,True,Not Sensitive,10117.0,Not Listed,2015-05-28T10:14:29.083+10:00,31,31,Vulnerable
4028340,Litoria booroolongensis,Booroolong Frog,Litoria booroolongensis,https://biodiversity.org.au/afd/taxa/6377e038-68df-4ee3-838b-18090425b361,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Amphibia'}, {'key': 'order', 'value': 'Anura'}, {'key': 'family', 'value': 'Hylidae'}, {'key': 'genus', 'value': 'Litoria'}, {'key': 'specificEpithet', 'value': 'booroolongensis'}, {'key': 'vernacular name', 'value': 'Booroolong Frog'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Endangered'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10484.0'}, {'key': 'countryConservation', 'value': 'Endangered'}, {'key': 'dcterms_modified', 'value': '2011-11-11T11:23:05+11:00'}, {'key': 'speciesID', 'value': '33'}, {'key': 'taxonID', 'value': '33'}, {'key': 'status', 'value': 'Endangered'}]",Species,Animalia,Amphibia,Anura,Hylidae,Litoria,booroolongensis,Booroolong Frog,"Alive in NSW, Native",Endangered,True,Not Sensitive,10484.0,Endangered,2011-11-11T11:23:05+11:00,33,33,Endangered
4028512,Anthochaera phrygia,Regent Honeyeater,Anthochaera (Xanthomyza) phrygia,https://biodiversity.org.au/afd/taxa/31869a0e-2ce5-40be-b6f6-c0231a48b414,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'order', 'value': 'Passeriformes'}, {'key': 'family', 'value': 'Meliphagidae'}, {'key': 'genus', 'value': 'Anthochaera'}, {'key': 'specificEpithet', 'value': 'phrygia'}, {'key': 'vernacular name', 'value': 'Regent Honeyeater'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10841.0'}, {'key': 'countryConservation', 'value': 'Critically Endangered'}, {'key': 'dcterms_modified', 'value': '2011-11-11T11:23:09+11:00'}, {'key': 'speciesID', 'value': '53'}, {'key': 'taxonID', 'value': '53'}, {'key': 'status', 'value': 'Critically Endangered'}]",Species,Animalia,Aves,Passeriformes,Meliphagidae,Anthochaera,phrygia,Regent Honeyeater,"Alive in NSW, Native",Critically Endangered,True,Not Sensitive,10841.0,Critically Endangered,2011-11-11T11:23:09+11:00,53,53,Critically Endangered
4028810,Calidris tenuirostris,Great Knot,Calidris (Calidris) tenuirostris,https://biodiversity.org.au/afd/taxa/3e9c17c9-270f-4a74-9ed8-7ccabd575be9,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'order', 'value': 'Charadriiformes'}, {'key': 'family', 'value': 'Scolopacidae'}, {'key': 'genus', 'value': 'Calidris'}, {'key': 'specificEpithet', 'value': 'tenuirostris'}, {'key': 'vernacular name', 'value': 'Great Knot'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10128.0'}, {'key': 'countryConservation', 'value': 'Critically Endangered'}, {'key': 'dcterms_modified', 'value': '2012-09-04T17:26:31.88+10:00'}, {'key': 'speciesID', 'value': '63'}, {'key': 'taxonID', 'value': '63'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Animalia,Aves,Charadriiformes,Scolopacidae,Calidris,tenuirostris,Great Knot,"Alive in NSW, Native",Vulnerable,True,Not Sensitive,10128.0,Critically Endangered,2012-09-04T17:26:31.88+10:00,63,63,Vulnerable
4028451,Neochmia ruficauda,Star Finch,Neochmia (Neochmia) ruficauda,https://biodiversity.org.au/afd/taxa/db0e7df0-719a-47aa-a9bb-369d78cf13b7,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'order', 'value': 'Passeriformes'}, {'key': 'family', 'value': 'Estrildidae'}, {'key': 'genus', 'value': 'Neochmia'}, {'key': 'specificEpithet', 'value': 'ruficauda'}, {'key': 'vernacular name', 'value': 'Star Finch'}, {'key': 'establishmentMeans', 'value': 'Extinct in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Extinct'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '20181.0'}, {'key': 'countryConservation', 'value': 'Endangered'}, {'key': 'dcterms_modified', 'value': '2012-08-05T13:29:13.003+10:00'}, {'key': 'speciesID', 'value': '77'}, {'key': 'taxonID', 'value': '77'}, {'key': 'status', 'value': 'Extinct'}]",Species,Animalia,Aves,Passeriformes,Estrildidae,Neochmia,ruficauda,Star Finch,"Extinct in NSW, Native",Extinct,True,Not Sensitive,20181.0,Endangered,2012-08-05T13:29:13.003+10:00,77,77,Extinct
4029147,Uvidicolus sphyrurus,Border Thick-tailed Gecko,Uvidicolus sphyrurus,https://biodiversity.org.au/afd/taxa/6406a15f-e067-4f14-a2be-ce4fe6bf6029,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'order', 'value': 'Squamata'}, {'key': 'family', 'value': 'Carphodactylidae'}, {'key': 'genus', 'value': 'Uvidicolus'}, {'key': 'specificEpithet', 'value': 'sphyrurus'}, {'key': 'vernacular name', 'value': 'Border Thick-tailed Gecko'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10823.0'}, {'key': 'countryConservation', 'value': 'Vulnerable'}, {'key': 'dcterms_modified', 'value': '2021-02-01T18:08:13.473+11:00'}, {'key': 'speciesID', 'value': '81'}, {'key': 'taxonID', 'value': '81'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Animalia,Reptilia,Squamata,Carphodactylidae,Uvidicolus,sphyrurus,Border Thick-tailed Gecko,"Alive in NSW, Native",Vulnerable,True,Not Sensitive,10823.0,Vulnerable,2021-02-01T18:08:13.473+11:00,81,81,Vulnerable
4028437,Amaurornis moluccana,Pale-vented Bush-hen,Amaurornis moluccana,https://biodiversity.org.au/afd/taxa/17bd10c6-23f6-452c-9a6b-0df793dcfea7,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'order', 'value': 'Gruiformes'}, {'key': 'family', 'value': 'Rallidae'}, {'key': 'genus', 'value': 'Amaurornis'}, {'key': 'specificEpithet', 'value': 'moluccana'}, {'key': 'vernacular name', 'value': 'Pale-vented Bush-hen'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10042.0'}, {'key': 'countryConservation', 'value': 'Not Listed'}, {'key': 'dcterms_modified', 'value': '2020-01-21T11:27:26.927+11:00'}, {'key': 'speciesID', 'value': '86'}, {'key': 'taxonID', 'value': '86'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Animalia,Aves,Gruiformes,Rallidae,Amaurornis,moluccana,Pale-vented Bush-hen,"Alive in NSW, Native",Vulnerable,True,Not Sensitive,10042.0,Not Listed,2020-01-21T11:27:26.927+11:00,86,86,Vulnerable
4028243,Phascogale tapoatafa,Brush-tailed Phascogale,Phascogale tapoatafa,https://biodiversity.org.au/afd/taxa/b6930f29-3f26-415e-a760-c12c320c2931,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Mammalia'}, {'key': 'order', 'value': 'Dasyuromorphia'}, {'key': 'family', 'value': 'Dasyuridae'}, {'key': 'genus', 'value': 'Phascogale'}, {'key': 'specificEpithet', 'value': 'tapoatafa'}, {'key': 'vernacular name', 'value': 'Brush-tailed Phascogale'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10613.0'}, {'key': 'countryConservation', 'value': 'Not Listed'}, {'key': 'dcterms_modified', 'value': '2011-11-11T11:23:07+11:00'}, {'key': 'speciesID', 'value': '98'}, {'key': 'taxonID', 'value': '98'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Animalia,Mammalia,Dasyuromorphia,Dasyuridae,Phascogale,tapoatafa,Brush-tailed Phascogale,"Alive in NSW, Native",Vulnerable,True,Not Sensitive,10613.0,Not Listed,2011-11-11T11:23:07+11:00,98,98,Vulnerable
