id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4377163,Abrodictyum obscurum,,Abrodictyum obscurum,https://id.biodiversity.org.au/node/apni/7402565,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
4377229,Acacia equisetifolia,A Shrub,Acacia equisetifolia,https://id.biodiversity.org.au/node/apni/2890781,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered'}]",Critically endangered,Critically endangered
4377126,Acacia latzii,Latz's Wattle,Acacia latzii,https://id.biodiversity.org.au/node/apni/2906346,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377130,Acacia peuce,Ironwood,Acacia peuce,https://id.biodiversity.org.au/node/apni/2906202,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
4377213,Acacia praetermissa,A Shrub,Acacia praetermissa,https://id.biodiversity.org.au/node/apni/2894855,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377167,Acacia undoolyana,Undoolya Wattle,Acacia undoolyana,https://id.biodiversity.org.au/node/apni/2891259,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377246,Actinotus schwarzii,Desert Flannel-flower,Actinotus schwarzii,https://id.biodiversity.org.au/node/apni/2911359,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377056,Adiantum capillus-veneris,Dainty Maiden-hair,Adiantum capillus-veneris,https://id.biodiversity.org.au/node/apni/2887223,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377240,Amperea spicata,,Amperea spicata,https://id.biodiversity.org.au/node/apni/2902691,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377206,Angiopteris evecta,Giant Fern,Angiopteris evecta,https://id.biodiversity.org.au/taxon/apni/51299822,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
