id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonID,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,E P B C  Status
4195410,Adelotus brevis,Tusked Frog,Adelotus brevis,https://biodiversity.org.au/afd/taxa/32f57cc7-5690-4018-98fb-6c924c72e53a,dr652,"[{'key': 'taxonID', 'value': '706'}, {'key': 'scientificNameAuthorship', 'value': '(Günther, 1863)'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Intranational'}]",706,"(Günther, 1863)",V,Y,N,Vulnerable,Intranational,
4195251,Philoria kundagungan,Mountain Frog,Philoria kundagungan,https://biodiversity.org.au/afd/taxa/fcb2e700-8046-4556-94bd-78d188dadd9c,dr652,"[{'key': 'taxonID', 'value': '687'}, {'key': 'scientificNameAuthorship', 'value': '(Ingram & Corben, 1975)'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Intranational'}, {'key': 'E P B C  Status', 'value': 'Endangered'}]",687,"(Ingram & Corben, 1975)",E,Y,Y,Endangered,Intranational,Endangered
4195545,Crinia tinnula,Wallum Froglet,Crinia tinnula,https://biodiversity.org.au/afd/taxa/a101af4a-1dd1-4134-bfb6-3030d204407b,dr652,"[{'key': 'taxonID', 'value': '686'}, {'key': 'scientificNameAuthorship', 'value': 'Straughan & Main, 1966'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Intranational'}]",686,"Straughan & Main, 1966",V,Y,N,Vulnerable,Intranational,
4193923,Mixophyes fleayi,Fleay's Barred Frog,Mixophyes fleayi,https://biodiversity.org.au/afd/taxa/289e1b7c-1323-473a-8c2b-a674324c102e,dr652,"[{'key': 'taxonID', 'value': '675'}, {'key': 'scientificNameAuthorship', 'value': 'Corben & Ingram, 1987'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Intranational'}, {'key': 'E P B C  Status', 'value': 'Endangered'}]",675,"Corben & Ingram, 1987",E,Y,Y,Endangered,Intranational,Endangered
4195714,Mixophyes iteratus,Giant Barred Frog,Mixophyes iteratus,https://biodiversity.org.au/afd/taxa/9eef5215-a3d4-4435-b82c-9284d730f002,dr652,"[{'key': 'taxonID', 'value': '676'}, {'key': 'scientificNameAuthorship', 'value': 'Straughan, 1968'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'Y'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Intranational'}, {'key': 'E P B C  Status', 'value': 'Vulnerable'}]",676,"Straughan, 1968",V,Y,Y,Vulnerable,Intranational,Vulnerable
4194374,Pseudophryne covacevichae,Magnificent Brood Frog,Pseudophryne covacevichae,https://biodiversity.org.au/afd/taxa/019f5d1c-2a0c-4c53-98b6-dad6130c9267,dr652,"[{'key': 'taxonID', 'value': '660'}, {'key': 'scientificNameAuthorship', 'value': 'Ingram & Corben, 1994'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'Y'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Vulnerable'}]",660,"Ingram & Corben, 1994",V,Y,Y,Vulnerable,Queensland Endemic,Vulnerable
4194928,Rheobatrachus silus,Southern Gastric Brooding Frog,Rheobatrachus silus,https://biodiversity.org.au/afd/taxa/25a57fda-276d-4484-b016-b0bea40b9d10,dr652,"[{'key': 'taxonID', 'value': '648'}, {'key': 'scientificNameAuthorship', 'value': 'Liem, 1973'}, {'key': 'sourceStatus', 'value': 'PE'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Extinct in the wild'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Extinct'}]",648,"Liem, 1973",PE,Y,N,Extinct in the wild,Queensland Endemic,Extinct
4195656,Rheobatrachus vitellinus,Northern Gastric-brooding Frog,Rheobatrachus vitellinus,https://biodiversity.org.au/afd/taxa/39bfd437-3fc6-4e9e-bace-f5765d9dc993,dr652,"[{'key': 'taxonID', 'value': '650'}, {'key': 'scientificNameAuthorship', 'value': 'Mahony, Tyler & Davies, 1984'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Extinct'}]",650,"Mahony, Tyler & Davies, 1984",E,Y,N,Endangered,Queensland Endemic,Extinct
4193538,Taudactylus acutirostris,Sharp-snouted Day Frog,Taudactylus acutirostris,https://biodiversity.org.au/afd/taxa/7299adbe-a530-48e6-8287-5880d221cc24,dr652,"[{'key': 'taxonID', 'value': '651'}, {'key': 'scientificNameAuthorship', 'value': '(Andersson, 1916)'}, {'key': 'sourceStatus', 'value': 'PE'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Extinct in the wild'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Extinct'}]",651,"(Andersson, 1916)",PE,Y,N,Extinct in the wild,Queensland Endemic,Extinct
4194357,Taudactylus diurnus,Mt Glorious Torrent Frog,Taudactylus diurnus,https://biodiversity.org.au/afd/taxa/fd718adb-a40e-4a69-8c7d-9361a0808576,dr652,"[{'key': 'taxonID', 'value': '652'}, {'key': 'scientificNameAuthorship', 'value': 'Straughan & Lee, 1966'}, {'key': 'sourceStatus', 'value': 'PE'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Extinct in the wild'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Extinct'}]",652,"Straughan & Lee, 1966",PE,Y,N,Extinct in the wild,Queensland Endemic,Extinct
4194730,Taudactylus eungellensis,Eungella Day Frog,Taudactylus eungellensis,https://biodiversity.org.au/afd/taxa/134081e8-0768-441a-bf41-722c82406791,dr652,"[{'key': 'taxonID', 'value': '653'}, {'key': 'scientificNameAuthorship', 'value': 'Liem & Hosmer, 1973'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Endangered'}]",653,"Liem & Hosmer, 1973",E,Y,Y,Endangered,Queensland Endemic,Endangered
4195035,Taudactylus liemi,Eungella Tinkerfrog,Taudactylus liemi,https://biodiversity.org.au/afd/taxa/73710142-d11d-401a-bd2c-f04ddb96aa44,dr652,"[{'key': 'taxonID', 'value': '654'}, {'key': 'scientificNameAuthorship', 'value': 'Ingram, 1980'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'Y'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",654,"Ingram, 1980",NT,Y,Y,Near Threatened,Queensland Endemic,
4193858,Taudactylus pleione,Pleione's Torrent Frog,Taudactylus pleione,https://biodiversity.org.au/afd/taxa/5908f2e8-065f-48ea-a45a-ae155bf66246,dr652,"[{'key': 'taxonID', 'value': '655'}, {'key': 'scientificNameAuthorship', 'value': 'Czechura, 1986'}, {'key': 'sourceStatus', 'value': 'CR'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'Y'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Critically Endangered'}]",655,"Czechura, 1986",CR,Y,Y,Critically Endangered,Queensland Endemic,Critically Endangered
