id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,class,order,family,vernacular name,taxonID,genus,species,sourceStatus,taxonRemarks,bdbsaCreatedDate,bdbsaModifiedDate,scientificNameAuthorship,status,npwActStatusComments,epbcStatus,epbcActStatusComments,subspeciesAuthor,majorGroup,subSpecies
4032241,Ornithorhynchus anatinus,Platypus,Ornithorhynchus anatinus,https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'MONOTREMATA'}, {'key': 'family', 'value': 'ORNITHORHYNCHIDAE'}, {'key': 'vernacular name', 'value': 'Platypus'}, {'key': 'taxonID', 'value': 'S01001'}, {'key': 'genus', 'value': 'Ornithorhynchus'}, {'key': 'species', 'value': 'anatinus'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'taxonRemarks', 'value': 'Introduced to Kangaroo Island (1928-1946, extant) and reintroduced to sanctuaries in the Onkaparinga catchment (1990s).'}, {'key': 'bdbsaCreatedDate', 'value': '32933'}, {'key': 'bdbsaModifiedDate', 'value': '37561'}, {'key': 'scientificNameAuthorship', 'value': '(Shaw, 1799)'}, {'key': 'status', 'value': 'Endangered'}]",MAMMALIA,MONOTREMATA,ORNITHORHYNCHIDAE,Platypus,S01001,Ornithorhynchus,anatinus,E,"Introduced to Kangaroo Island (1928-1946, extant) and reintroduced to sanctuaries in the Onkaparinga catchment (1990s).",32933,37561,"(Shaw, 1799)",Endangered,,,,,,
4032333,Tachyglossus aculeatus multiaculeatus,Short-beaked Echidna (kangaroo Island),Tachyglossus aculeatus multiaculeatus,https://biodiversity.org.au/afd/taxa/e9289876-b550-4278-a4db-336bd5f75e6a,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'MONOTREMATA'}, {'key': 'family', 'value': 'TACHYGLOSSIDAE'}, {'key': 'vernacular name', 'value': 'Short-beaked Echidna (Kangaroo Island)'}, {'key': 'taxonID', 'value': 'C21009'}, {'key': 'genus', 'value': 'Tachyglossus'}, {'key': 'species', 'value': 'aculeatus multiaculeatus'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'npwActStatusComments', 'value': 'Listing official as off 1/Jan/2020.'}, {'key': 'epbcStatus', 'value': 'EN'}, {'key': 'bdbsaCreatedDate', 'value': '42188'}, {'key': 'bdbsaModifiedDate', 'value': '43066'}, {'key': 'scientificNameAuthorship', 'value': '(Rothschild, 1905)'}, {'key': 'status', 'value': 'Endangered'}]",MAMMALIA,MONOTREMATA,TACHYGLOSSIDAE,Short-beaked Echidna (Kangaroo Island),C21009,Tachyglossus,aculeatus multiaculeatus,E,,42188,43066,"(Rothschild, 1905)",Endangered,Listing official as off 1/Jan/2020.,EN,,,,
4031684,Myrmecobius fasciatus,Numbat,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'DASYUROMORPHIA'}, {'key': 'family', 'value': 'MYRMECOBIIDAE'}, {'key': 'vernacular name', 'value': 'Numbat'}, {'key': 'taxonID', 'value': 'M01086'}, {'key': 'genus', 'value': 'Myrmecobius'}, {'key': 'species', 'value': 'fasciatus'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'npwActStatusComments', 'value': 'Introduced'}, {'key': 'epbcStatus', 'value': 'EN'}, {'key': 'epbcActStatusComments', 'value': 'Introduced to South Australia. Changed from VU to EN  Feb 2018.'}, {'key': 'taxonRemarks', 'value': 'Original populations extinct in SA. Western Australian animals re-introduced to Yookamurra Sanctuary from 1993 (extant) and Arid Recovery/Roxby in 2005 (failed).'}, {'key': 'bdbsaCreatedDate', 'value': '1990-03-01 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2002-11-01 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Waterhouse, 1836'}, {'key': 'status', 'value': 'Endangered'}]",MAMMALIA,DASYUROMORPHIA,MYRMECOBIIDAE,Numbat,M01086,Myrmecobius,fasciatus,E,Original populations extinct in SA. Western Australian animals re-introduced to Yookamurra Sanctuary from 1993 (extant) and Arid Recovery/Roxby in 2005 (failed).,1990-03-01 00:00:00,2002-11-01 00:00:00,"Waterhouse, 1836",Endangered,Introduced,EN,Introduced to South Australia. Changed from VU to EN  Feb 2018.,,,
4032310,Dasycercus blythi,Brush-tailed Mulgara,Dasycercus blythi,https://biodiversity.org.au/afd/taxa/926b1c33-86d2-48e6-b796-54fff5290937,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'DASYUROMORPHIA'}, {'key': 'family', 'value': 'DASYURIDAE'}, {'key': 'vernacular name', 'value': 'Brush-tailed Mulgara (Mulgara)'}, {'key': 'taxonID', 'value': 'C04277'}, {'key': 'genus', 'value': 'Dasycercus'}, {'key': 'species', 'value': 'blythi'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'taxonRemarks', 'value': 'There has been recent taxonomic revision of this species (Woolley 2005). It was formerly known as D. cristicauda.'}, {'key': 'bdbsaCreatedDate', 'value': '2000-08-01 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2012-03-23 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': '(Krefft, 1867)'}, {'key': 'status', 'value': 'Endangered'}]",MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Brush-tailed Mulgara (Mulgara),C04277,Dasycercus,blythi,E,There has been recent taxonomic revision of this species (Woolley 2005). It was formerly known as D. cristicauda.,2000-08-01 00:00:00,2012-03-23 00:00:00,"(Krefft, 1867)",Endangered,,,,,,
4031916,Dasyuroides byrnei,Kowari,Dasyuroides byrnei,https://biodiversity.org.au/afd/taxa/c342ff42-9ee4-41f6-8365-62b15c4d27f2,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'DASYUROMORPHIA'}, {'key': 'family', 'value': 'DASYURIDAE'}, {'key': 'vernacular name', 'value': 'Kowari'}, {'key': 'taxonID', 'value': 'C01021'}, {'key': 'genus', 'value': 'Dasyuroides'}, {'key': 'species', 'value': 'byrnei'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'npwActStatusComments', 'value': 'Changed from V to E 1/Jan/2020.'}, {'key': 'epbcStatus', 'value': 'VU'}, {'key': 'taxonRemarks', 'value': 'The Vertebrates of South Australia (Robinson et al. 2000) used the genus Dasycercus but this was not universally accepted elsewhere in Australia.'}, {'key': 'bdbsaCreatedDate', 'value': '1990-03-01 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2012-08-28 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': '(Spencer, 1896)'}, {'key': 'status', 'value': 'Endangered'}]",MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Kowari,C01021,Dasyuroides,byrnei,E,The Vertebrates of South Australia (Robinson et al. 2000) used the genus Dasycercus but this was not universally accepted elsewhere in Australia.,1990-03-01 00:00:00,2012-08-28 00:00:00,"(Spencer, 1896)",Endangered,Changed from V to E 1/Jan/2020.,VU,,,,
4032507,Dasyurus geoffroii,Western Quoll,Dasyurus geoffroii,https://biodiversity.org.au/afd/taxa/a2260672-36df-48be-8a9e-d85a77237ba5,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'DASYUROMORPHIA'}, {'key': 'family', 'value': 'DASYURIDAE'}, {'key': 'vernacular name', 'value': 'Western Quoll'}, {'key': 'taxonID', 'value': 'U01010'}, {'key': 'genus', 'value': 'Dasyurus'}, {'key': 'species', 'value': 'geoffroii'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'epbcStatus', 'value': 'VU'}, {'key': 'bdbsaCreatedDate', 'value': '1990-03-01 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2002-11-01 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Gould, 1841'}, {'key': 'status', 'value': 'Endangered'}]",MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Western Quoll,U01010,Dasyurus,geoffroii,E,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Gould, 1841",Endangered,,VU,,,,
4032436,Dasyurus maculatus,Spotted-tailed Quoll,Dasyurus maculatus,https://biodiversity.org.au/afd/taxa/617e069f-eb5c-40ec-a027-f5fd40e5145d,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'DASYUROMORPHIA'}, {'key': 'family', 'value': 'DASYURIDAE'}, {'key': 'vernacular name', 'value': 'Spotted-tailed Quoll (Tiger Quoll)'}, {'key': 'taxonID', 'value': 'Y01008'}, {'key': 'genus', 'value': 'Dasyurus'}, {'key': 'species', 'value': 'maculatus'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'epbcStatus', 'value': 'EN'}, {'key': 'epbcActStatusComments', 'value': 'D.maculatus maculatus listed as E (SE  mainland popn)'}, {'key': 'bdbsaCreatedDate', 'value': '1990-03-01 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2002-11-01 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': '(Kerr, 1792)'}, {'key': 'status', 'value': 'Endangered'}]",MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Spotted-tailed Quoll (Tiger Quoll),Y01008,Dasyurus,maculatus,E,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Kerr, 1792)",Endangered,,EN,D.maculatus maculatus listed as E (SE  mainland popn),,,
4031897,Dasyurus viverrinus,Eastern Quoll,Dasyurus viverrinus,https://biodiversity.org.au/afd/taxa/52149285-a12a-4085-a285-b41af5ba3ce3,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'DASYUROMORPHIA'}, {'key': 'family', 'value': 'DASYURIDAE'}, {'key': 'vernacular name', 'value': 'Eastern Quoll'}, {'key': 'taxonID', 'value': 'K01009'}, {'key': 'genus', 'value': 'Dasyurus'}, {'key': 'species', 'value': 'viverrinus'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'epbcStatus', 'value': 'EN'}, {'key': 'epbcActStatusComments', 'value': 'listed 3/12/2015'}, {'key': 'bdbsaCreatedDate', 'value': '1990-03-01 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2002-11-01 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': '(Shaw, 1800)'}, {'key': 'status', 'value': 'Endangered'}]",MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Eastern Quoll,K01009,Dasyurus,viverrinus,E,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Shaw, 1800)",Endangered,,EN,listed 3/12/2015,,,
4031840,Antechinus agilis,Agile Antechinus,Antechinus agilis,https://biodiversity.org.au/afd/taxa/b9bf9dd5-defa-4ddb-b23f-777533f48ec4,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'DASYUROMORPHIA'}, {'key': 'family', 'value': 'DASYURIDAE'}, {'key': 'vernacular name', 'value': 'Agile Antechinus'}, {'key': 'taxonID', 'value': 'E04138'}, {'key': 'genus', 'value': 'Antechinus'}, {'key': 'species', 'value': 'agilis'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'bdbsaCreatedDate', 'value': '1998-05-05 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2002-11-01 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': 'Dickman, Parnaby, Crowther & King, 1998'}, {'key': 'status', 'value': 'Endangered'}]",MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Agile Antechinus,E04138,Antechinus,agilis,E,,1998-05-05 00:00:00,2002-11-01 00:00:00,"Dickman, Parnaby, Crowther & King, 1998",Endangered,,,,,,
4031869,Antechinus flavipes,Yellow-footed Antechinus,Antechinus flavipes,https://biodiversity.org.au/afd/taxa/a581c303-95b9-4e2f-8fdc-103e394dd85f,dr653,"[{'key': 'class', 'value': 'MAMMALIA'}, {'key': 'order', 'value': 'DASYUROMORPHIA'}, {'key': 'family', 'value': 'DASYURIDAE'}, {'key': 'vernacular name', 'value': 'Yellow-footed Antechinus'}, {'key': 'taxonID', 'value': 'Z01027'}, {'key': 'genus', 'value': 'Antechinus'}, {'key': 'species', 'value': 'flavipes'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'bdbsaCreatedDate', 'value': '1990-03-01 00:00:00'}, {'key': 'bdbsaModifiedDate', 'value': '2002-11-01 00:00:00'}, {'key': 'scientificNameAuthorship', 'value': '(Waterhouse, 1838)'}, {'key': 'status', 'value': 'Vulnerable'}]",MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Yellow-footed Antechinus,Z01027,Antechinus,flavipes,V,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Waterhouse, 1838)",Vulnerable,,,,,,
