"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Swainsona kingii","https://id.biodiversity.org.au/node/apni/2889078","Swainsona kingii","Fabaceae",,,"Vulnerable","Endangered"
"Macropus rufogriseus","urn:lsid:biodiversity.org.au:afd.taxon:8b1d5f58-b9b8-483b-bf8f-e1e617e09d82","Notamacropus rufogriseus","Macropodidae",,"Red-necked Wallaby","Rare","Near Threatened"
"Mormopterus eleryi","urn:lsid:biodiversity.org.au:afd.taxon:ed88a997-097d-4bff-a79e-36870dc0b896","Setirostris eleryi","Molossidae",,"Hairy-nosed Freetail-bat","Vulnerable","Endangered"
"Acacia erinacea","https://id.biodiversity.org.au/node/apni/2911662","Acacia erinacea","Fabaceae",,"Prickly Wattle","Rare","Near Threatened"
"Thelymitra flexuosa","https://id.biodiversity.org.au/name/apni/115270","Thelymitra flexuosa","Orchidaceae",,"Twisted Sun Orchid","Rare","Near Threatened"
"Olearia arida","https://id.biodiversity.org.au/node/apni/2888752","Olearia arida","Asteraceae",,"Desert Daisy-bush","Vulnerable","Endangered"
"Wurmbea decumbens","https://id.biodiversity.org.au/node/apni/2886840","Wurmbea decumbens","Colchicaceae",,"Trailing Nancy","Rare","Near Threatened"
"Swainsona sericea","https://id.biodiversity.org.au/node/apni/2906530","Swainsona sericea","Fabaceae",,"Silky Swainson-pea","Extinct or Endangered (needs further qualification)","Endangered"
"Schoenus lepidosperma subsp. lepidosperma","https://id.biodiversity.org.au/node/apni/2894581","Schoenus lepidosperma subsp. lepidosperma","Cyperaceae",,"Slender Bog-rush","Rare","Near Threatened"
"Petaurus norfolcensis","urn:lsid:biodiversity.org.au:afd.taxon:1b653e0c-0875-4751-8a68-f608891b4912","Petaurus norfolcensis","Petauridae",,"Squirrel Glider","Extinct or Endangered","Endangered"
"Correa aemula","https://id.biodiversity.org.au/node/apni/7851591","Correa aemula","Rutaceae",,"Hairy Correa","Rare","Near Threatened"
"Swainsona minutiflora","https://id.biodiversity.org.au/node/apni/2908145","Swainsona minutiflora","Fabaceae",,"Small-flower Swainson-pea","Vulnerable","Endangered"
"Larus (Larus) dominicanus dominicanus","urn:lsid:biodiversity.org.au:afd.taxon:481458fc-5fec-4177-b69b-c8f2b04b8f21","Larus (Larus) dominicanus dominicanus","Laridae",,"Kelp Gull","Rare","Near Threatened"
"Acacia trineura","https://id.biodiversity.org.au/node/apni/2918784","Acacia trineura","Fabaceae",,"Green Wattle","Extinct or Endangered","Endangered"
"Dasyurus geoffroii","urn:lsid:biodiversity.org.au:afd.taxon:a2260672-36df-48be-8a9e-d85a77237ba5","Dasyurus geoffroii","Dasyuridae",,"Western Quoll","Extinct or Endangered","Endangered"
