id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,W A Taxon Id,status,sourceStatus,W A Status,W A Rank,E P B C Status,E P B C Desc,sensitivityZoneId,county,municipality,verbatimLocality,vernacular name,class,taxonRemarks
4037125,Tetratheca aphylla subsp. aphylla,,Tetratheca aphylla subsp. aphylla,https://id.biodiversity.org.au/node/apni/2902462,dr2201,"[{'key': 'W A Taxon Id', 'value': '29489.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'E P B C Status', 'value': 'VU'}, {'key': 'E P B C Desc', 'value': 'Vulnerable'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD'}, {'key': 'municipality', 'value': 'KALGOORLIE'}, {'key': 'verbatimLocality', 'value': 'Helena & Aurora Ranges'}]",29489.0,Vulnerable,Vulnerable,T,VU,VU,Vulnerable,WA,GOLD,KALGOORLIE,Helena & Aurora Ranges,,,
4039092,Tetratheca harperi,Jackson Tetratheca,Tetratheca harperi,https://id.biodiversity.org.au/node/apni/2896021,dr2201,"[{'key': 'W A Taxon Id', 'value': '4534.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'E P B C Status', 'value': 'VU'}, {'key': 'E P B C Desc', 'value': 'Vulnerable'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD'}, {'key': 'municipality', 'value': 'KALGOORLIE'}, {'key': 'verbatimLocality', 'value': 'Mt Jackson'}]",4534.0,Vulnerable,Vulnerable,T,VU,VU,Vulnerable,WA,GOLD,KALGOORLIE,Mt Jackson,,,
4038640,Atriplex yeelirrie,,Atriplex yeelirrie,https://id.biodiversity.org.au/taxon/apni/51270516,dr2201,"[{'key': 'W A Taxon Id', 'value': '46173.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'E P B C Status', 'value': 'EN'}, {'key': 'E P B C Desc', 'value': 'Endangered'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD'}, {'key': 'municipality', 'value': 'KALGOORLIE'}, {'key': 'verbatimLocality', 'value': 'Yeelirrie Stn.'}]",46173.0,Vulnerable,Vulnerable,T,VU,EN,Endangered,WA,GOLD,KALGOORLIE,Yeelirrie Stn.,,,
4038168,Tetratheca paynterae subsp. cremnobata,,Tetratheca paynterae subsp. cremnobata,https://id.biodiversity.org.au/node/apni/2891052,dr2201,"[{'key': 'W A Taxon Id', 'value': '23987.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'E P B C Status', 'value': 'EN'}, {'key': 'E P B C Desc', 'value': 'Endangered'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD'}, {'key': 'municipality', 'value': 'KALGOORLIE'}, {'key': 'verbatimLocality', 'value': 'Die Hardy Ranges'}]",23987.0,Vulnerable,Vulnerable,T,VU,EN,Endangered,WA,GOLD,KALGOORLIE,Die Hardy Ranges,,,
4038417,Acacia shapelleae,Shapelle's Wattle,Acacia shapelleae,https://id.biodiversity.org.au/taxon/apni/51285999,dr2201,"[{'key': 'W A Taxon Id', 'value': '44470.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD'}, {'key': 'municipality', 'value': 'KALGOORLIE'}, {'key': 'verbatimLocality', 'value': 'Bungalbin Hill, Helena and Aurora Range'}]",44470.0,Vulnerable,Vulnerable,T,VU,,,WA,GOLD,KALGOORLIE,"Bungalbin Hill, Helena and Aurora Range",,,
4038887,Lepidosperma bungalbin,,Lepidosperma bungalbin,https://id.biodiversity.org.au/node/apni/2896890,dr2201,"[{'key': 'W A Taxon Id', 'value': '31771.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD'}, {'key': 'municipality', 'value': 'KALGOORLIE'}, {'key': 'verbatimLocality', 'value': 'Helena-Aurora Range'}]",31771.0,Vulnerable,Vulnerable,T,VU,,,WA,GOLD,KALGOORLIE,Helena-Aurora Range,,,
4036858,Tetratheca erubescens,,Tetratheca erubescens,https://id.biodiversity.org.au/node/apni/2890683,dr2201,"[{'key': 'W A Taxon Id', 'value': '20761.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD'}, {'key': 'municipality', 'value': 'KALGOORLIE'}, {'key': 'verbatimLocality', 'value': 'Koolyanobbing'}]",20761.0,Vulnerable,Vulnerable,T,VU,,,WA,GOLD,KALGOORLIE,Koolyanobbing,,,
4037938,Tetratheca spenceri,,Tetratheca spenceri,https://id.biodiversity.org.au/node/apni/2888300,dr2201,"[{'key': 'W A Taxon Id', 'value': '41500.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD'}, {'key': 'municipality', 'value': 'KALGOORLIE'}, {'key': 'verbatimLocality', 'value': 'Kambalda West'}]",41500.0,Vulnerable,Vulnerable,T,VU,,,WA,GOLD,KALGOORLIE,Kambalda West,,,
4036277,Thryptomene wittweri,Mountain Thryptomene,Thryptomene wittweri,https://id.biodiversity.org.au/node/apni/2892948,dr2201,"[{'key': 'W A Taxon Id', 'value': '6069.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'E P B C Status', 'value': 'VU'}, {'key': 'E P B C Desc', 'value': 'Vulnerable'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD,MWST,PILB'}, {'key': 'municipality', 'value': 'KALGOORLIE,KARRATHA,GERALDTON'}, {'key': 'verbatimLocality', 'value': 'Hamersley Range, Mt Augustus, Carnarvon Range, White Cliffs Stn, NT'}]",6069.0,Vulnerable,Vulnerable,T,VU,VU,Vulnerable,WA,"GOLD,MWST,PILB","KALGOORLIE,KARRATHA,GERALDTON","Hamersley Range, Mt Augustus, Carnarvon Range, White Cliffs Stn, NT",,,
4038365,Gastrolobium graniticum,Granite Poison,Gastrolobium graniticum,https://id.biodiversity.org.au/node/apni/2900542,dr2201,"[{'key': 'W A Taxon Id', 'value': '11034.0'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'W A Status', 'value': 'T'}, {'key': 'W A Rank', 'value': 'VU'}, {'key': 'E P B C Status', 'value': 'EN'}, {'key': 'E P B C Desc', 'value': 'Endangered'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'GOLD,WHTB'}, {'key': 'municipality', 'value': 'KALGOORLIE,CENTRAL WHEATBELT'}, {'key': 'verbatimLocality', 'value': 'Coolgardie,Gnamma Hill,Narembeen,Yellowdine, Bullabulling'}]",11034.0,Vulnerable,Vulnerable,T,VU,EN,Endangered,WA,"GOLD,WHTB","KALGOORLIE,CENTRAL WHEATBELT","Coolgardie,Gnamma Hill,Narembeen,Yellowdine, Bullabulling",,,
