id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4392428,Abildgaardia pachyptera,,Abildgaardia pachyptera,https://id.biodiversity.org.au/name/apni/51389644,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4391506,Abutilon sp. Hamelin (A.M. Ashby 2196),,Abutilon sp. Hamelin (A.M.Ashby 2196),https://id.biodiversity.org.au/node/apni/2898729,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4393608,Abutilon sp. Onslow (F. Smith s.n. 10/9/61),,Abutilon sp. Onslow (F. Smith s.n. 10/9/61),ALA_DR2201_3101,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4394831,Abutilon sp. Pritzelianum (S. van Leeuwen 5095),,Abutilon sp. Pritzelianum (S.van Leeuwen 5095),https://id.biodiversity.org.au/node/apni/2905152,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4391392,Abutilon sp. Quobba (H. Demarz 3858),,Abutilon sp. Quobba (H.Demarz 3858),https://id.biodiversity.org.au/node/apni/2920532,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4390649,Abutilon sp. Warburton (A.S. George 8164),,Abutilon sp. Warburton (A.S.George 8164),https://id.biodiversity.org.au/node/apni/2890423,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4392001,Acacia adinophylla,,Acacia adinophylla,https://id.biodiversity.org.au/node/apni/2898130,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4391518,Acacia adjutrices,Convivial Wattle,Acacia adjutrices,https://id.biodiversity.org.au/taxon/apni/51285820,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4392902,Acacia alata var. platyptera,,Acacia alata var. platyptera,https://id.biodiversity.org.au/node/apni/2904348,dr2201,"[{'key': 'status', 'value': 'Priority 4: Rare, Near Threatened'}, {'key': 'sourceStatus', 'value': 'P4'}]","Priority 4: Rare, Near Threatened",P4
4392278,Acacia alexandri,,Acacia alexandri,https://id.biodiversity.org.au/node/apni/2904701,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4393485,Acacia ampliata,,Acacia ampliata,https://id.biodiversity.org.au/node/apni/2919087,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4394806,Acacia amyctica,,Acacia amyctica,https://id.biodiversity.org.au/node/apni/2902736,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4390853,Acacia anarthros,,Acacia anarthros,https://id.biodiversity.org.au/node/apni/2917216,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4394427,Acacia anastomosa,Carson River Wattle,Acacia anastomosa,https://id.biodiversity.org.au/node/apni/2912192,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4393267,Acacia ancistrophylla var. lissophylla,Dwarf Myall,Acacia ancistrophylla var. lissophylla,https://id.biodiversity.org.au/node/apni/2916096,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4391883,Acacia ancistrophylla var. perarcuata,,Acacia ancistrophylla var. perarcuata,https://id.biodiversity.org.au/node/apni/2910813,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4391723,Acacia anomala,Grass Wattle,Acacia anomala,https://id.biodiversity.org.au/node/apni/2914483,dr2201,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'VU'}]",Vulnerable,VU
4392110,Acacia anserina,Hairy Sandstone Wattle,Acacia anserina,https://id.biodiversity.org.au/node/apni/2901980,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4391106,Acacia aphanoclada,Nullagine Ghost Wattle,Acacia aphanoclada,https://id.biodiversity.org.au/node/apni/2894299,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
