id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,generalisation
4349210,Anthochaera phrygia,Regent Honeyeater,Anthochaera (Xanthomyza) phrygia,https://biodiversity.org.au/afd/taxa/31869a0e-2ce5-40be-b6f6-c0231a48b414,dr2627,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349350,Botaurus poiciloptilus,Australasian Bittern,Botaurus poiciloptilus,https://biodiversity.org.au/afd/taxa/dba78701-cae9-4afb-a41a-6697c52c5e34,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349303,Callocephalon fimbriatum,Gang-gang Cockatoo,Callocephalon fimbriatum,https://biodiversity.org.au/afd/taxa/6c646af8-06fb-40ae-83aa-3dd001cc4ea6,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349382,Calyptorhynchus lathami lathami,Glossy Black-cockatoo,Calyptorhynchus (Calyptorhynchus) lathami lathami,https://biodiversity.org.au/afd/taxa/9823b764-cb22-42d0-bbbe-79c0a95b1a25,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349312,Climacteris picumnus victoriae,Brown Treecreeper (eastern Subspecies),Climacteris (Climacteris) picumnus victoriae,https://biodiversity.org.au/afd/taxa/fe69a214-d43c-468f-bb83-06402ac95e35,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349289,Hieraaetus morphnoides,Little Eagle,Hieraaetus (Hieraaetus) morphnoides,https://biodiversity.org.au/afd/taxa/b47a4ecd-416b-458c-886a-1dc3490e8175,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349230,Lathamus discolor,Swift Parrot,Lathamus discolor,https://biodiversity.org.au/afd/taxa/4cb195fd-b127-44cb-ad85-a62d224e9a96,dr2627,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349318,Melanodryas cucullata cucullata,Hooded Robin (south-eastern Form),Melanodryas (Melanodryas) cucullata cucullata,https://biodiversity.org.au/afd/taxa/f411b7e7-5818-45fc-b3d2-8dfa5ed45f1e,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349302,Ninox connivens,Barking Owl,Ninox (Hieracoglaux) connivens,https://biodiversity.org.au/afd/taxa/bd332ca4-dab5-4fda-8d68-04b678ffcdb4,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349362,Ninox strenua,Powerful Owl,Ninox (Rhabdoglaux) strenua,https://biodiversity.org.au/afd/taxa/d1c5dee0-0de6-487c-bf10-9fc5188ab671,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
