id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,generalisation
4402129,Rhinolophus philippinensis,Greater Large-eared Horseshoe Bat,Rhinolophus philippinensis,ALA_DR652_255,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4402151,Chloebia gouldiae,Gouldian Finch,Chloebia gouldiae,https://biodiversity.org.au/afd/taxa/27d27be2-4adb-407e-9f27-ee2d96164d18,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4401970,Erythrura trichroa,Blue-faced Parrot-finch,Erythrura (Acalanthe) trichroa,https://biodiversity.org.au/afd/taxa/cb632014-1e9a-492c-8f5a-7a6582c72f74,dr493,"[{'key': 'category', 'value': 'NT'}, {'key': 'generalisation', 'value': '2 km'}]",NT,2 km
4401672,Neochmia phaeton evangelinae,,Neochmia (Neochmia) phaeton evangelinae,https://biodiversity.org.au/afd/taxa/565b6f37-ddeb-4179-ab44-26c602b814ee,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4401402,Poephila cincta cincta,Black-throated Finch (southern Subspecies),Poephila (Poephila) cincta cincta,https://biodiversity.org.au/afd/taxa/9fe878db-cb42-4934-b27d-d345a09d68df,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4402191,Stagonopleura guttata,Diamond Firetail,Stagonopleura (Stagonopleura) guttata,https://biodiversity.org.au/afd/taxa/6e872b58-55d1-443c-a30e-0d90a57e3240,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4401547,Pachycephala olivacea,Olive Whistler,Pachycephala (Timixos) olivacea,https://biodiversity.org.au/afd/taxa/2063bf6d-973d-4de1-bb0c-dec72f5d019b,dr493,"[{'key': 'category', 'value': 'LC'}, {'key': 'generalisation', 'value': '2 km'}]",LC,2 km
4401632,Anthochaera phrygia,Regent Honeyeater,Anthochaera (Xanthomyza) phrygia,https://biodiversity.org.au/afd/taxa/31869a0e-2ce5-40be-b6f6-c0231a48b414,dr493,"[{'key': 'category', 'value': 'CR'}, {'key': 'generalisation', 'value': '2 km'}]",CR,2 km
4401956,Epthianura crocea,Yellow Chat,Epthianura (Aurepthianura) crocea,https://biodiversity.org.au/afd/taxa/3ebe27bd-3977-4f7d-b822-bb8013379b3a,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4402162,Epthianura crocea crocea,Yellow Chat,Epthianura (Aurepthianura) crocea crocea,https://biodiversity.org.au/afd/taxa/632efd10-a729-48b7-b793-94ff60978652,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4401325,Epthianura crocea macgregori,,Epthianura (Aurepthianura) crocea macgregori,https://biodiversity.org.au/afd/taxa/3b102dda-5119-4719-88f9-278dc9e661ea,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4401332,Hylacola pyrrhopygia,Chestnut-rumped Heathwren,Hylacola pyrrhopygia,https://biodiversity.org.au/afd/taxa/c88390d9-2583-474b-b576-b00349b7eb3b,dr493,"[{'key': 'category', 'value': 'LC'}, {'key': 'generalisation', 'value': '2 km'}]",LC,2 km
4401834,Dasyornis brachypterus,Eastern Bristlebird,Dasyornis (Dasyornis) brachypterus,https://biodiversity.org.au/afd/taxa/5a760ca8-e6c7-4465-a113-3eaf26b170cb,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4401931,Amytornis ballarae,Kalkadoon Grasswren,Amytornis (Amytornis) ballarae,https://biodiversity.org.au/afd/taxa/ac708e6d-f410-4203-95f4-4de2ee93efd8,dr493,"[{'key': 'category', 'value': 'LC'}, {'key': 'generalisation', 'value': '2 km'}]",LC,2 km
