"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","kingdom","class","family","status","statusDescription","significant","endemicity","taxonID","vernacular name","countryStatus","countryStatusDescription"
"Pterostylis cobarensis","https://id.biodiversity.org.au/node/apni/2907982","Pterostylis cobarensis","Orchidaceae",,"M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","18443",,,
"Chiloglottis diphylla","https://id.biodiversity.org.au/name/apni/64769","Chiloglottis diphylla","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","2163",,,
"Nepenthes pascoensis","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,,"Plantae","Equisetopsida","Nepenthaceae","C","Least concern wildlife","N","Queensland endemic","40143",,,
"Dockrillia nugentii","https://id.biodiversity.org.au/name/apni/178988","Dockrillia nugentii","Orchidaceae",,"(F.M.Bailey) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","5804",,,
"Cophixalus concinnus","urn:lsid:biodiversity.org.au:afd.taxon:abfe518d-2c58-4c08-9c5b-172fa60e4aa5","Cophixalus concinnus","Microhylidae",,"Tyler, 1979","Animalia","Amphibia","Microhylidae","CR","Critically endangered wildlife","Y","Queensland endemic","29399","beautiful nurseryfrog","CE","Critically endangered"
"Bulbophyllum bracteatum","https://id.biodiversity.org.au/name/apni/69451","Bulbophyllum bracteatum","Orchidaceae",,"F.M.Bailey","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","13480",,,
"Asplenium pellucidum","https://id.biodiversity.org.au/node/apni/2898113","Asplenium pellucidum","Aspleniaceae",,"Lam.","Plantae","Equisetopsida","Aspleniaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","12113",,"V","Vulnerable"
"Lindsaea pulchella var. blanda","https://id.biodiversity.org.au/node/apni/2903389","Lindsaea pulchella var. blanda","Lindsaeaceae",,"(Mett. ex Kuhn) K.U.Kramer","Plantae","Equisetopsida","Lindsaeaceae","C","Least concern wildlife","Y","XU","12057",,"V","Vulnerable"
"Bulbophyllum gracillimum","https://id.biodiversity.org.au/node/apni/2917834","Bulbophyllum gracillimum","Orchidaceae",,"(Rolfe) Rolfe","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","12448","graceful orchid","V","Vulnerable"
"Diuris punctata var. parvipetala","https://id.biodiversity.org.au/name/apni/96355","Diuris punctata var. parvipetala","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","40419",,,
"Nepenthes moorei","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,,"Plantae","Equisetopsida","Nepenthaceae","C","Least concern wildlife","N","Queensland endemic","40152",,,
"Pterostylis fischii","https://id.biodiversity.org.au/name/apni/74594","Pterostylis fischii","Orchidaceae",,"Nicholls","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","8892",,,
"Phalaenopsis rosenstromii","https://id.biodiversity.org.au/node/apni/2903739","Phalaenopsis rosenstromii","Orchidaceae",,"F.M.Bailey","Plantae","Equisetopsida","Orchidaceae","E","Endangered wildlife","Y","Naturally occurs in Queensland and overseas","8487","moth orchid",,
"Hydnophytum","https://id.biodiversity.org.au/node/apni/2917100","Hydnophytum","Rubiaceae",,,"Plantae","Equisetopsida","Rubiaceae",,,"N","XU","20873",,,
"Pterostylis mutica","https://id.biodiversity.org.au/name/apni/74977","Pterostylis mutica","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","14295","midget greenhood",,
"Hydnophytum moseleyanum","https://id.biodiversity.org.au/node/apni/2887261","Hydnophytum moseleyanum","Rubiaceae",,"Becc.","Plantae","Equisetopsida","Rubiaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","18900",,,
"Trichoglottis australiensis","https://id.biodiversity.org.au/node/apni/2896175","Trichoglottis australiensis","Orchidaceae",,"Dockrill","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","11357",,,
"Habenaria elongata","https://id.biodiversity.org.au/name/apni/106145","Habenaria elongata","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Australia and overseas","12812",,,
"Dockrillia bowmanii","https://id.biodiversity.org.au/name/apni/132386","Dockrillia bowmanii","Orchidaceae",,"(Benth.) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","5768","scrub pencil orchid",,
"Acianthus exsertus","https://id.biodiversity.org.au/name/apni/73183","Acianthus exsertus","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","14086",,,
"Macrozamia cardiacensis","https://id.biodiversity.org.au/node/apni/2906288","Macrozamia cardiacensis","Zamiaceae",,"P.I.Forst. & D.L.Jones","Plantae","Equisetopsida","Zamiaceae","V","Vulnerable wildlife","Y","Queensland endemic","18142",,,
"Chlamydogobius micropterus","urn:lsid:biodiversity.org.au:afd.taxon:ccae67ed-5ce5-4767-8b3e-c0243d615c92","Chlamydogobius micropterus","Gobiidae",,"Larson, 1995","Animalia","Actinopterygii","Gobiidae","E","Endangered wildlife","Y","Queensland endemic","18163","Elizabeth Springs goby","E","Endangered"
"Dendrobium schneiderae","https://id.biodiversity.org.au/name/apni/86348","Dendrobium schneiderae","Orchidaceae",,"F.M.Bailey","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","XU","19822",,,
"Robiquetia","https://id.biodiversity.org.au/node/apni/2889119","Robiquetia","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","XU","21419",,,
"Sarcochilus ceciliae","https://id.biodiversity.org.au/name/apni/62802","Sarcochilus ceciliae","Orchidaceae",,"F.Muell.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","9187","fairy bells",,
"Dendrobium affine","https://id.biodiversity.org.au/name/apni/84857","Dendrobium affine","Orchidaceae",,"(Decne.) Steud.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","37682",,,
"Lyperanthus suaveolens","https://id.biodiversity.org.au/name/apni/101038","Lyperanthus suaveolens","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12782","brown beaks",,
"Taudactylus rheophilus","urn:lsid:biodiversity.org.au:afd.taxon:5d2a30f5-deea-467d-9275-880116222f0b","Taudactylus rheophilus","Myobatrachidae",,"Liem & Hosmer, 1973","Animalia","Amphibia","Myobatrachidae","E","Endangered wildlife","Y","Queensland endemic","656","northern tinkerfrog","E","Endangered"
"Dendrobium 'Mauna Kea'","ALA_Dendrobium_Mauna_Kea","Dendrobium 'Mauna Kea'",,,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","38443",,,
"Nepenthes jardinei","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,,"Plantae","Equisetopsida","Nepenthaceae","C","Least concern wildlife","N","Queensland endemic","40151",,,
"Oberonia flavescens","https://id.biodiversity.org.au/name/apni/205301","Oberonia flavescens","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae",,,"N","Queensland endemic","35334",,,
