id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,V B A Taxon Id,vernacular name,scientificNameAuthoritiy,family,F F G Status,F F G Desc,sourceStatus,status,sensiivityZoneId,V B A Restriction,speciesGroup,V B A_discipline,kingdom,taxonRank,modified,E P B C Status,E P B C Desc,identificationRemarks,V B A Treaty
4041213,Engaeus fultoni,Otway Burrowing Crayfish,Engaeus fultoni,https://biodiversity.org.au/afd/taxa/7994c955-00e1-47a1-a252-bf251968a0c1,dr490,"[{'key': 'V B A Taxon Id', 'value': '1674'}, {'key': 'vernacular name', 'value': 'Otway Burrowing Crayfish'}, {'key': 'scientificNameAuthoritiy', 'value': 'Smith & Schuster, 1913'}, {'key': 'family', 'value': 'Parastacidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Mussels, decopod crustacea'}, {'key': 'V B A_discipline', 'value': 'Aquatic fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",1674,Otway Burrowing Crayfish,"Smith & Schuster, 1913",Parastacidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,"Mussels, decopod crustacea",Aquatic fauna,Animalia,Species,23/06/2021,,,,
4041214,Engaeus sericatus,Hairy Burrowing Crayfish,Engaeus sericatus,https://biodiversity.org.au/afd/taxa/e4cc22d1-c9b4-4fe8-92bb-133b581696f5,dr490,"[{'key': 'V B A Taxon Id', 'value': '1692'}, {'key': 'vernacular name', 'value': 'Hairy Burrowing Crayfish'}, {'key': 'scientificNameAuthoritiy', 'value': 'Clark, 1936'}, {'key': 'family', 'value': 'Parastacidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Mussels, decopod crustacea'}, {'key': 'V B A_discipline', 'value': 'Aquatic fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",1692,Hairy Burrowing Crayfish,"Clark, 1936",Parastacidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,"Mussels, decopod crustacea",Aquatic fauna,Animalia,Species,23/06/2021,,,,
4041268,Euastacus bidawalus,East Gippsland Spiny Crayfish,Euastacus bidawalus,https://biodiversity.org.au/afd/taxa/e5f3cb27-60f9-4485-a53c-8bab0b139815,dr490,"[{'key': 'V B A Taxon Id', 'value': '1633'}, {'key': 'vernacular name', 'value': 'East Gippsland Spiny Crayfish'}, {'key': 'scientificNameAuthoritiy', 'value': 'Morgan, 1986'}, {'key': 'family', 'value': 'Parastacidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Mussels, decopod crustacea'}, {'key': 'V B A_discipline', 'value': 'Aquatic fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",1633,East Gippsland Spiny Crayfish,"Morgan, 1986",Parastacidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,"Mussels, decopod crustacea",Aquatic fauna,Animalia,Species,23/06/2021,,,,
4041201,Triaenodes resima,Caddisfly,Triaenodes resima,https://biodiversity.org.au/afd/taxa/ce927666-7783-4a91-983a-0a3222edcf79,dr490,"[{'key': 'V B A Taxon Id', 'value': '75193'}, {'key': 'vernacular name', 'value': 'Caddisfly'}, {'key': 'scientificNameAuthoritiy', 'value': 'Neboiss & Wells, 1998'}, {'key': 'family', 'value': 'Leptoceridae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",75193,Caddisfly,"Neboiss & Wells, 1998",Leptoceridae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
4041307,Triaenodes uvida,Caddisfly,Triaenodes uvida,https://biodiversity.org.au/afd/taxa/ae92e32d-6b64-4a0e-9452-cadac3901502,dr490,"[{'key': 'V B A Taxon Id', 'value': '75194'}, {'key': 'vernacular name', 'value': 'Caddisfly'}, {'key': 'scientificNameAuthoritiy', 'value': 'Neboiss & Wells, 1998'}, {'key': 'family', 'value': 'Leptoceridae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",75194,Caddisfly,"Neboiss & Wells, 1998",Leptoceridae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
4041198,Westriplectes pedderensis,Caddisfly,Westriplectes pedderensis,https://biodiversity.org.au/afd/taxa/c7a80352-1251-49f4-ac71-168ea7c6e7b9,dr490,"[{'key': 'V B A Taxon Id', 'value': '3187'}, {'key': 'vernacular name', 'value': 'Caddisfly'}, {'key': 'scientificNameAuthoritiy', 'value': 'Neboiss, 1977'}, {'key': 'family', 'value': 'Leptoceridae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",3187,Caddisfly,"Neboiss, 1977",Leptoceridae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
4041218,Notoperata sparsa,Caddisfly,Notoperata sparsa,https://biodiversity.org.au/afd/taxa/c09f4412-6e6b-4644-9a8a-6bed5f74d603,dr490,"[{'key': 'V B A Taxon Id', 'value': '3120'}, {'key': 'vernacular name', 'value': 'Caddisfly'}, {'key': 'scientificNameAuthoritiy', 'value': '(Kimmins, 1953)'}, {'key': 'family', 'value': 'Leptocerinae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",3120,Caddisfly,"(Kimmins, 1953)",Leptocerinae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
4041292,Ramiheithrus virgatus,Caddisfly,Ramiheithrus virgatus,https://biodiversity.org.au/afd/taxa/2d55377c-cdd7-413b-899d-2bfbb2d6c665,dr490,"[{'key': 'V B A Taxon Id', 'value': '3058'}, {'key': 'vernacular name', 'value': 'Caddisfly'}, {'key': 'scientificNameAuthoritiy', 'value': 'Neboiss, 1974'}, {'key': 'family', 'value': 'Philorheithridae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",3058,Caddisfly,"Neboiss, 1974",Philorheithridae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
4041182,Gariwerdeus ingletonensis,Freshwater Isopod,Gariwerdeus ingletonensis,https://biodiversity.org.au/afd/taxa/d6176135-0fd4-4634-bfb7-a25bd34931ee,dr490,"[{'key': 'V B A Taxon Id', 'value': '75164'}, {'key': 'vernacular name', 'value': 'freshwater isopod'}, {'key': 'scientificNameAuthoritiy', 'value': 'Wilson & Keable, 2002'}, {'key': 'family', 'value': 'Phreatoicidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",75164,freshwater isopod,"Wilson & Keable, 2002",Phreatoicidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
4041265,Gariwerdeus turretensis,Phreatoic Isopod,Gariwerdeus turretensis,https://biodiversity.org.au/afd/taxa/3a71d787-a2fb-43cb-ab27-43e32607ea4a,dr490,"[{'key': 'V B A Taxon Id', 'value': '75165'}, {'key': 'vernacular name', 'value': 'freshwater isopod'}, {'key': 'scientificNameAuthoritiy', 'value': 'Wilson & Keable, 2002'}, {'key': 'family', 'value': 'Phreatoicidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",75165,freshwater isopod,"Wilson & Keable, 2002",Phreatoicidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
