TaxonSort,UltrataxonID,taxonRank,SpNo,taxonID,vernacularName,scientificName,FamilyCommonName,family,order,Population,Australian IUCN RedListStatus_2020,Supplementary,ABD_Avibase ID
1,,species,928,928,Ostrich,Struthio camelus,Ostriches,Struthionidae,Struthioniformes,Introduced,,,avibase-2247CB05
2,1,subspecies,928,u928,Eastern Ostrich,Struthio camelus massaicus,Ostriches,Struthionidae,Struthioniformes,Introduced,,,avibase-BF8ED7FA
3,1,species,2,u2,Southern Cassowary,Casuarius casuarius,Emus and Cassowaries,Casuariidae,Struthioniformes,Australian,Least Concern,,avibase-8B9D93D8
4,,species,1,1,Emu,Dromaius novaehollandiae,Emus and Cassowaries,Casuariidae,Struthioniformes,Endemic,,,avibase-2DB5A970
5,1,subspecies,1,u1a,Tasmanian Emu,Dromaius novaehollandiae diemenensis,Emus and Cassowaries,Casuariidae,Struthioniformes,"Extinct, Endemic",Extinct,,avibase-27CB32C8
6,1,subspecies,1,u1b,Mainland Emu,Dromaius novaehollandiae novaehollandiae,Emus and Cassowaries,Casuariidae,Struthioniformes,Endemic,Least Concern,,avibase-217E1DBA
7,1,species,740,u740,King Island Emu,Dromaius minor,Emus and Cassowaries,Casuariidae,Struthioniformes,"Extinct, Endemic",Extinct,,avibase-74DD2EFA
8,1,species,741,u741,Kangaroo Island Emu,Dromaius baudinianus,Emus and Cassowaries,Casuariidae,Struthioniformes,"Extinct, Endemic",Extinct,,avibase-2EBDF4EE
9,,species,8,8,Australian Brush-turkey,Alectura lathami,Megapodes,Megapodiidae,Galliformes,Endemic,,,avibase-6BD20F58
10,1,subspecies,8,u8a,Southern Australian Brush-turkey,Alectura lathami lathami,Megapodes,Megapodiidae,Galliformes,Endemic,Least Concern,,avibase-8B9AA8F6
11,1,subspecies,8,u8b,Cape York Australian Brush-turkey,Alectura lathami purpureicollis,Megapodes,Megapodiidae,Galliformes,Endemic,Least Concern,,avibase-7F4F6137
12,1,species,7,u7,Malleefowl,Leipoa ocellata,Megapodes,Megapodiidae,Galliformes,Endemic,Vulnerable,,avibase-BE7FA465
13,,species,6,6,Orange-footed Scrubfowl,Megapodius reinwardt,Megapodes,Megapodiidae,Galliformes,Australian,,,avibase-73651931
14,1,subspecies,6,u6a,Southern Queensland Orange-footed Scrubfowl,Megapodius reinwardt castanonotus,Megapodes,Megapodiidae,Galliformes,Endemic,Least Concern,,avibase-268AE4C4
15,1,subspecies,6,u6b,Papuan Orange-footed Scrubfowl,Megapodius reinwardt reinwardt,Megapodes,Megapodiidae,Galliformes,Australian,Least Concern,,avibase-32FFB85A
16,1,subspecies,6,u6c,Western Orange-footed Scrubfowl,Megapodius reinwardt tumulus,Megapodes,Megapodiidae,Galliformes,Endemic,Least Concern,,avibase-EC9C9E08
17,1,subspecies,6,u6d,Cape York Orange-footed Scrubfowl,Megapodius reinwardt yorki,Megapodes,Megapodiidae,Galliformes,Endemic,Least Concern,,avibase-9A5ADF46
18,,species,9939,9939,Helmeted Guineafowl,Numida meleagris,Guineafowl,Numididae,Galliformes,Introduced,,,avibase-1044B438
19,1,subspecies,9939,u9939,Helmeted Guineafowl (ssp),Numida meleagris ssp,Guineafowl,Numididae,Galliformes,Introduced,,,
20,,species,901,901,California Quail,Callipepla californica,New World Quail,Odontophoridae,Galliformes,Introduced,,,avibase-F93AC929
21,1,subspecies,901,u901,Western California Quail,Callipepla californica brunnescens,New World Quail,Odontophoridae,Galliformes,Introduced,,,avibase-CB360871
22,1,species,903,u903,Indian Peafowl,Pavo cristatus,Pheasants and Quail,Phasianidae,Galliformes,Introduced,,,avibase-A8C34DC9
23,1,species,9,u9,Stubble Quail,Coturnix pectoralis,Pheasants and Quail,Phasianidae,Galliformes,Endemic,Least Concern,,avibase-98984CAD
24,1,species,11,11,Brown Quail,Synoicus ypsilophorus,Pheasants and Quail,Phasianidae,Galliformes,Australian,,,avibase-0CB2A17A
25,1,subspecies,11,u11a,Mainland Brown Quail,Synoicus ypsilophorus australis,Pheasants and Quail,Phasianidae,Galliformes,Endemic,Least Concern,,avibase-F038F6EB
26,1,subspecies,11,u11b,Tasmanian Brown Quail,Synoicus ypsilophorus ypsilophorus,Pheasants and Quail,Phasianidae,Galliformes,Endemic,Least Concern,,avibase-E8718E9B
27,,species,12,12,King Quail,Synoicus chinensis,Pheasants and Quail,Phasianidae,Galliformes,Australian,,,avibase-C2579CCB
