id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceOrigin,scientificNameAuthorship,sourceStatus,epbcStatus,status
4241615,Acacia axillaris,Midlands Wattle,Acacia axillaris,https://id.biodiversity.org.au/node/apni/2911902,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Benth.'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'epbcStatus', 'value': 'VU'}, {'key': 'status', 'value': 'Vulnerable'}]",end,Benth.,v,VU,Vulnerable
4241596,Acacia pataczekii,Wallys Wattle,Acacia pataczekii,https://id.biodiversity.org.au/node/apni/2913609,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'D.I.Morris'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,D.I.Morris,r,,Rare
4241758,Acacia siculiformis,Dagger Wattle,Acacia siculiformis,https://id.biodiversity.org.au/node/apni/2888960,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'A.Cunn. ex Benth.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,A.Cunn. ex Benth.,r,,Rare
4241618,Acacia ulicifolia,Juniper Wattle,Acacia ulicifolia,https://id.biodiversity.org.au/node/apni/2907350,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(Salisb.) Court'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,(Salisb.) Court,r,,Rare
4241967,Acacia uncifolia,Coast Wirilda,Acacia uncifolia,https://id.biodiversity.org.au/node/apni/2916270,dr654,"[{'key': 'scientificNameAuthorship', 'value': ""(J.M.Black) O'Leary""}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,(J.M.Black) O'Leary,r,,Rare
4241827,Acrotriche cordata,Coast Groundberry,Acrotriche cordata,https://id.biodiversity.org.au/node/apni/2912261,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(Labill.) R.Br.'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",,(Labill.) R.Br.,v,,Vulnerable
4242038,Agrostis australiensis,Southern Bent,Agrostis australiensis,https://id.biodiversity.org.au/node/apni/2907094,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Mez'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,Mez,r,,Rare
4241635,Agrostis diemenica,Flatleaf Southern Bent,Agrostis diemenica,https://id.biodiversity.org.au/node/apni/2905826,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'D.I.Morris'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,D.I.Morris,r,,Rare
4241734,Allocasuarina crassa,Cape Pillar Sheoak,Allocasuarina crassa,https://id.biodiversity.org.au/node/apni/2886830,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'L.A.S.Johnson'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,L.A.S.Johnson,r,,Rare
4241696,Allocasuarina duncanii,Conical Sheoak,Allocasuarina duncanii,https://id.biodiversity.org.au/node/apni/2912979,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'L.A.S.Johnson & D.I.Morris'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,L.A.S.Johnson & D.I.Morris,r,,Rare
4241655,Alternanthera denticulata,Lesser Joyweed,Alternanthera denticulata,https://id.biodiversity.org.au/taxon/apni/51266490,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'R.Br.'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",,R.Br.,e,,Endangered
4241775,Amphibromus fluitans,Floating Swamp Wallaby-grass,Amphibromus fluitans,https://id.biodiversity.org.au/node/apni/2897596,dr654,"[{'key': 'sourceOrigin', 'value': '?i#'}, {'key': 'scientificNameAuthorship', 'value': 'Kirk'}, {'key': 'epbcStatus', 'value': 'VU'}]",?i#,Kirk,,VU,
4241820,Amphibromus macrorhinus,Longnose Swampgrass,Amphibromus macrorhinus,https://id.biodiversity.org.au/node/apni/2916650,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'S.W.L.Jacobs & L.Lapinpuro'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",,S.W.L.Jacobs & L.Lapinpuro,e,,Endangered
4241779,Amphibromus neesii,Southern Swampgrass,Amphibromus neesii,https://id.biodiversity.org.au/node/apni/2899764,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Steud.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,Steud.,r,,Rare
4241762,Anogramma leptophylla,Annual Fern,Anogramma leptophylla,https://id.biodiversity.org.au/taxon/apni/51299828,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(L.) Link'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",,(L.) Link,v,,Vulnerable
4241952,Aphelia gracilis,Slender Fanwort,Aphelia gracilis,https://id.biodiversity.org.au/node/apni/2899707,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Sond.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,Sond.,r,,Rare
