name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Calorodius thorntonensis,,,added,,
Cooktownia,,,added,,
Corybas,,,added,,
Cymbidium,,,added,,
Dipodium,,,added,,
Liparis,,,added,,
Luisia,,,added,,
Microtis,,,added,,
Orthoceras,,,added,,
Pachystoma,,,added,,
Phalaenopsis,,,added,,
Pholidota,,,added,,
Pakau pennigera,,,added,,
Reholttumia costata,,,added,,
Calorodius thorntonensis,,,removed,,
Philoria knowlesi,,,removed,,Philoria
Cooktownia,,,removed,,
Corybas,,,removed,,
Cymbidium,,,removed,,
Dipodium,,,removed,,
Liparis,,,removed,,
Luisia,,,removed,,
Microtis,,,removed,,
Orthoceras,,,removed,,
Pachystoma,,,removed,,
Phalaenopsis,,,removed,,
Pholidota,,,removed,,
Pneumatopteris costata,,,removed,,Pneumatopteris costata
