name,scientificName_old,scientificName_new,commonName_old,commonName_new,status_old,status_new,listUpdate
Assa darlingtoni,,Assa darlingtoni,,Pouched Frog,,Vulnerable,added
Euastacus suttoni,,Euastacus suttoni,,Freshwater Crayfish Or Yabby,,Endangered,added
Austroablepharus barrylyoni,,Austroablepharus barrylyoni,,,,Critically Endangered,added
Harrisoniascincus zia,,Harrisoniascincus zia,,Rainforest Cool-skink,,Vulnerable,added
Auranticarpa edentata,,Auranticarpa edentata,,,,Endangered,added
Reholttumia costata,,,,,,Near threatened,added
Neochmia phaeton evangelinae,Neochmia (Neochmia) phaeton evangelinae,,,,Endangered,,removed
Cryptophis incredibilis,Cryptophis incredibilis,,Pink Snake,,Vulnerable,,removed
Hibbertia advena,Dilleniaceae,,,,Endangered,,removed
Heliodendron xanthoxylon,Fabaceae,,,,Near threatened,,removed
Lenwebbia sp. (Blackall Range P.R.Sharpe 5387),Myrtaceae,,Myrtle Family (part),,Endangered,,removed
Lenwebbia sp. (Main Range P.R.Sharpe+ 4877),Myrtaceae,,Myrtle Family (part),,Critically endangered,,removed
Phyllanthus sp. (Bulburin P.I.Forster+ PIF16034),Phyllanthaceae,,,,Vulnerable,,removed
Pakau pennigera,Thelypteridaceae,,,,Endangered,,removed
Assa darlingtoni,,Assa darlingtoni,,Pouched Frog,,Vulnerable,status change
Taudactylus pleione,,Taudactylus pleione,,Pleione's Torrent Frog,Critically endangered,Critically Endangered,status change
Taudactylus rheophilus,,Taudactylus rheophilus,,Northern Tinkerfrog,Critically endangered,Critically Endangered,status change
Litoria kroombitensis,,Litoria kroombitensis,,Kroombit Treefrog,Critically endangered,Critically Endangered,status change
Litoria lorica,,Litoria lorica,,Little Waterfall Frog,Critically endangered,Critically Endangered,status change
Litoria myola,,Litoria myola,,Kuranda Treefrog,Critically endangered,Critically Endangered,status change
Litoria nyakalensis,,Litoria nyakalensis,,Mountain Mistfrog,Critically endangered,Critically Endangered,status change
Cophixalus concinnus,,Cophixalus concinnus,,Elegant Frog,Critically endangered,Critically Endangered,status change
Cophixalus hosmeri,,Cophixalus hosmeri,,Rattling Nurseryfrog,Critically endangered,Critically Endangered,status change
Cophixalus mcdonaldi,,Cophixalus mcdonaldi,,Mcdonald's Frog,Critically endangered,Critically Endangered,status change
Cophixalus monticola,,Cophixalus monticola,,Mountain Nurseryfrog,Critically endangered,Critically Endangered,status change
Cophixalus neglectus,,Cophixalus neglectus,,Neglected Frog,Critically endangered,Critically Endangered,status change
Pterodroma heraldica,,Pterodroma (Hallstroma) heraldica,,Herald Petrel,Critically endangered,Critically Endangered,status change
Pedionomus torquatus,,Pedionomus torquatus,,Plains-wanderer,Critically endangered,Critically Endangered,status change
Calidris ferruginea,,Calidris (Erolia) ferruginea,,Curlew Sandpiper,Critically endangered,Critically Endangered,status change
Calidris tenuirostris,,Calidris (Calidris) tenuirostris,,Great Knot,Critically endangered,Critically Endangered,status change
Turnix olivii,,Turnix (Austroturnix) olivii,,Buff-breasted Button-quail,Critically endangered,Critically Endangered,status change
Cyclopsitta diophthalma coxeni,,Cyclopsitta diophthalma coxeni,,Coxen's Fig-parrot,Critically endangered,Critically Endangered,status change
Anthochaera phrygia,,Anthochaera (Xanthomyza) phrygia,,Regent Honeyeater,Critically endangered,Critically Endangered,status change
Hypochrysops piceatus,,Hypochrysops piceatus,,Bulloak Jewel,Critically endangered,Critically Endangered,status change
