name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Apatelantha chrysotricha,,,added,,
Apatelantha insignis,,,added,,
Austrobaeckea columnaris,,,added,,
Austrobaeckea narembeen,,,added,,
Austrobaeckea uncinella,,,added,,
Eremophila annosicaulis,,,added,,
Eremophila naaykensii,,,added,,
Hibbertia archeri,,,added,,
Machaerina ascendens,,,added,,
Olearia sp. Jerramungup (E.M. Sandiford 2528) PN,,,added,,
Ptilotus crinitus,,,added,,
Stylidium milleri,,,added,,
Stylidium perizoster,,,added,,
Acacia karinae,,,removed,Mulga,Acacia
Apatelantha chrysotricha,,,removed,,
Apatelantha insignis,,,removed,,
Arthrostylis sp. Kalumburu (K.L. Wilson 10101) PN,,,removed,,Arthrostylis
Austrobaeckea columnaris,,,removed,,
Austrobaeckea narembeen,,,removed,,
Austrobaeckea uncinella,,,removed,,
Austrostipa burgesiana,,,removed,Spear-grasses,Austrostipa
Austrostipa everettiana,,,removed,Spear-grasses,Austrostipa
Austrostipa frankliniae,,,removed,Spear-grasses,Austrostipa
Austrostipa heteranthera,,,removed,Spear-grasses,Austrostipa
Austrostipa koordana,,,removed,Spear-grasses,Austrostipa
Austrostipa nunaginensis,,,removed,Spear-grasses,Austrostipa
Austrostipa turbinata,,,removed,Spear-grasses,Austrostipa
Balaustion baiocalyx,,,removed,,Balaustion
Balaustion bimucronatum,,,removed,,Balaustion
Balaustion exsertum,,,removed,,Balaustion
Balaustion filifolium,,,removed,,Balaustion
Balaustion grande,,,removed,,Balaustion
Balaustion grandibracteatum subsp. grandibracteatum,,,removed,,Balaustion
Balaustion grandibracteatum subsp. juncturum,,,removed,,Balaustion
Balaustion grandibracteatum subsp. meridionale,,,removed,,Balaustion
Balaustion hemisphaericum,,,removed,,Balaustion
Balaustion karroun,,,removed,,Balaustion
Balaustion mukinbudin,,,removed,,Balaustion
Balaustion multicaule,,,removed,,Balaustion
Balaustion polyandrum,,,removed,,Balaustion
Balaustion sp. Billyacatting Hill (A.S. George 14349) PN,,,removed,,Balaustion
Balaustion sp. North Ironcap (R.J. Cranfield 10580) PN,,,removed,,Balaustion
Balaustion sp. Yorkrakine (C.A. Gardner s.n. 09/1933) PN,,,removed,,Balaustion
Balaustion spenceri,,,removed,,Balaustion
Balaustion tangerinum,,,removed,,Balaustion
Balaustion thamnoides,,,removed,,Balaustion
Balaustion unguiculatum,,,removed,,Balaustion
Calandrinia sp. Bayswater (C. Andrews s.n. 11/1902) PN,,,removed,Parakeelya,Calandrinia
Calandrinia sp. Hamelin Station (F. Obbens FO 02/20) PN,,,removed,Parakeelya,Calandrinia
Calandrinia sp. Lennard River (W.V. Fitzgerald 739) PN,,,removed,Parakeelya,Calandrinia
Calandrinia sp. Mt Vernon Station (T.L. Setter 427) PN,,,removed,Parakeelya,Calandrinia
Calytrix calingiri,,,removed,Fringe Myrtle,Calytrix
Calytrix djinda,,,removed,Fringe Myrtle,Calytrix
Calytrix platycheiridion,,,removed,Fringe Myrtle,Calytrix
Calytrix sp. Learmonth (S. Fox EMopp 1),,,removed,Fringe Myrtle,Calytrix
Calytrix sp. Wandana (G. Byrne 1750) PN,,,removed,Fringe Myrtle,Calytrix
Conostephium wonganense,,,removed,Pearl Flowers,Conostephium
Conostylis sp. Watheroo (S.D. Hopper 7668) PN,,,removed,,Conostylis
Convolvulus pyrophilus,,,removed,Bindweeds,Convolvulus
Dielsiodoxa altimontana,,,removed,,Dielsiodoxa
Dolichocarpa sp. Hamersley Station (A.A. Mitchell PRP 1479) PN,,,removed,,Dolichocarpa
Drosera sp. Kentdale (G.J. Bourke 458) PN,,,removed,Sundews,Drosera
Drosera sp. Lesueur National Park (C.A. Gardner 9350) PN,,,removed,Sundews,Drosera
Drosera sp. Yampi Peninsula (A.J.M. Hopkins BA 0248) PN,,,removed,Sundews,Drosera
Drummondita billyacatting,,,removed,,Drummondita
