TEMPORARY TAXONOMIC SORT ORDER,MAJOR GROUP,FAMILYNAME,COMMON NAME,NSXCODE,GENUS,SP,SUBSPECIES,SCIENTIFIC NAME,INTRODUCED,NPW ACT STATUS,NPW ACT STATUS COMMENT,EPBC ACT STATUS,EPBC ACT STATUS COMMENT,WEED OF NATIONAL SIGNIFICANCE,LANDSCAPE ACT Weed Status,DATE CREATED IN BDBSA,DATE TAXONOMY MODIFIED IN BDBSA,SPECIES with AUTHOR
1,Pteridophyta,PSILOTACEAE,Skeleton Fork-fern,U05218,Psilotum,nudum,     ,Psilotum nudum,,E,Currently Extinct in the wild in SA,,,,,1992-11-13 00:00:00,,Psilotum nudum (L.)P.Beauv.
2,Pteridophyta,LYCOPODIACEAE,Clubmoss Family,Y15092,Lycopodiaceae,sp.,     ,Lycopodiaceae sp.,,,,,,,,1990-10-02 00:00:00,,Lycopodiaceae sp.
3,Pteridophyta,LYCOPODIACEAE,Slender Clubmoss,Y00020,Lycopodiella,lateralis,     ,Lycopodiella lateralis,,R,,,,,,1990-10-02 00:00:00,1992-11-13 00:00:00,Lycopodiella lateralis (R.Br.)B.Ollg.
4,Pteridophyta,LYCOPODIACEAE,Bog Clubmoss,K00021,Lycopodiella,serpentina,     ,Lycopodiella serpentina,,E,,,,,,1990-10-02 00:00:00,1992-11-13 00:00:00,Lycopodiella serpentina (Kunze)B.Ollg.
5,Pteridophyta,LYCOPODIACEAE,Clubmoss,W10607,Lycopodiella,sp.,     ,Lycopodiella sp.,,,,,,,,1990-10-02 00:00:00,1993-11-30 00:00:00,Lycopodiella sp.
6,Pteridophyta,LYCOPODIACEAE,Bushy Clubmoss,W00019,Lycopodium,deuterodensum,     ,Lycopodium deuterodensum,,E,,,,,,1990-10-02 00:00:00,,Lycopodium deuterodensum Herter
7,Pteridophyta,LYCOPODIACEAE,Pigmy Clubmoss,M00022,Phylloglossum,drummondii,     ,Phylloglossum drummondii,,R,,,,,,1990-10-02 00:00:00,,Phylloglossum drummondii Kunze
8,Pteridophyta,ISOETACEAE,,U07638,Isoetes,attenuata,     ,Isoetes attenuata,,,,,,,,2006-06-29 00:00:00,,Isoetes attenuata C.R.Marsden & Chinnock
9,Pteridophyta,ISOETACEAE,Plain Quillwort,U20274,Isoetes,drummondii,ssp.     ,Isoetes drummondii ssp.,,,,,,,,1993-11-11 00:00:00,1993-11-15 00:00:00,Isoetes drummondii
10,Pteridophyta,ISOETACEAE,Quillwort,U05294,Isoetes,drummondii,ssp. anomala    ,Isoetes drummondii ssp. anomala,,,,,,,,1993-03-22 00:00:00,,Isoetes drummondii A.Braun ssp. anomala C.R.Marsden & Chinnock
11,Pteridophyta,ISOETACEAE,Plain Quillwort,S05293,Isoetes,drummondii,ssp. drummondii    ,Isoetes drummondii ssp. drummondii,,R,,,,,,1993-03-22 00:00:00,,Isoetes drummondii A.Braun ssp. drummondii
12,Pteridophyta,ISOETACEAE,Mueller's Quillwort,Q00024,Isoetes,muelleri,     ,Isoetes muelleri,,,,,,,,1990-10-02 00:00:00,,Isoetes muelleri A.Braun
13,Pteridophyta,ISOETACEAE,Quillwort,Z10523,Isoetes,sp.,     ,Isoetes sp.,,,,,,,,1990-10-02 00:00:00,,Isoetes sp.
14,Pteridophyta,SELAGINELLACEAE,Tiny Selaginella,S00025,Selaginella,gracillima,     ,Selaginella gracillima,,,,,,,,1990-10-02 00:00:00,,Selaginella gracillima (Kunze)Alston
15,Pteridophyta,SELAGINELLACEAE,Garden Selaginella,U00026,Selaginella,kraussiana,     ,Selaginella kraussiana,*,,,,,,,1990-10-02 00:00:00,,Selaginella kraussiana (Kunze)A.Braun
16,Pteridophyta,SELAGINELLACEAE,Selaginella,U10906,Selaginella,sp.,     ,Selaginella sp.,,,,,,,,1990-10-02 00:00:00,,Selaginella sp.
17,Pteridophyta,GLEICHENIACEAE,Coral Fern,Z00031,Gleichenia,microphylla,     ,Gleichenia microphylla,,R,,,,,,1990-10-02 00:00:00,,Gleichenia microphylla R.Br.
18,Pteridophyta,GLEICHENIACEAE,Coral Fern,Y10440,Gleichenia,sp.,     ,Gleichenia sp.,,,,,,,,1990-10-02 00:00:00,,Gleichenia sp.
19,Pteridophyta,OPHIOGLOSSACEAE,Austral Moonwort,W00027,Botrychium,australe,     ,Botrychium australe,,E,[PJL: extinct],,,,,1990-10-02 00:00:00,,Botrychium australe R.Br.
20,Pteridophyta,OPHIOGLOSSACEAE,Adder's-tongue Family,S15109,Ophioglossaceae,sp.,     ,Ophioglossaceae sp.,,,,,,,,1990-10-02 00:00:00,,Ophioglossaceae sp.
21,Pteridophyta,OPHIOGLOSSACEAE,Austral Adder's-tongue,A00028,Ophioglossum,lusitanicum,     ,Ophioglossum lusitanicum,,,,,,,,1990-10-02 00:00:00,,Ophioglossum lusitanicum L.
22,Pteridophyta,OPHIOGLOSSACEAE,Large Adder's-tongue,C00029,Ophioglossum,polyphyllum,     ,Ophioglossum polyphyllum,,R,,,,,,1990-10-02 00:00:00,,Ophioglossum polyphyllum A.Braun
23,Pteridophyta,OPHIOGLOSSACEAE,Adder's-tongue,C10713,Ophioglossum,sp.,     ,Ophioglossum sp.,,,,,,,,1990-10-02 00:00:00,,Ophioglossum sp.
24,Pteridophyta,OSMUNDACEAE,King Fern,M00030,Todea,barbara,     ,Todea barbara,,E,,,,,,1990-10-02 00:00:00,,Todea barbara (L.)T.Moore
25,Pteridophyta,SCHIZAEACEAE,Forked Comb-fern,Q00032,Schizaea,bifida,     ,Schizaea bifida,,V,,,,,,1990-10-02 00:00:00,,Schizaea bifida Willd.
26,Pteridophyta,SCHIZAEACEAE,Narrow Comb-fern,S00033,Schizaea,fistulosa,     ,Schizaea fistulosa,,V,,,,,,1990-10-02 00:00:00,,Schizaea fistulosa Labill.
27,Pteridophyta,SCHIZAEACEAE,Comb-fern,M10890,Schizaea,sp.,     ,Schizaea sp.,,,,,,,,1990-10-02 00:00:00,,Schizaea sp.
28,Pteridophyta,CYATHEACEAE,,S05825,Cyathea,cooperi,     ,Cyathea cooperi,*,,,,,,,2005-02-15 00:00:00,,Cyathea cooperi (Hook. ex F.Muell)Domin
29,Pteridophyta,DICKSONIACEAE,Soft Tree-fern,U00034,Dicksonia,antarctica,     ,Dicksonia antarctica,,E,,,,,,1990-10-02 00:00:00,,Dicksonia antarctica Labill.
30,Pteridophyta,DENNSTAEDTIACEAE,Lacy Ground-fern,E04242,Dennstaedtia,davallioides,     ,Dennstaedtia davallioides,,E,,,,,,1990-10-02 00:00:00,,Dennstaedtia davallioides (R.Br.)T.Moore
31,Pteridophyta,DENNSTAEDTIACEAE,,U15046,Dennstaedtiaceae,sp.,     ,Dennstaedtiaceae sp.,,,,,,,,1990-10-02 00:00:00,,Dennstaedtiaceae sp.
32,Pteridophyta,DENNSTAEDTIACEAE,Bat's-wing Fern,M00058,Histiopteris,incisa,     ,Histiopteris incisa,,E,,,,,,1990-10-02 00:00:00,,Histiopteris incisa (Thunb.)J.Sm.
33,Pteridophyta,DENNSTAEDTIACEAE,Downy Ground-fern,U03626,Hypolepis,dicksonioides,     ,Hypolepis dicksonioides,*,,,VU*,25 Nov 03 listed as established alien for SA in Census but regarded by some as indigenous,,,1990-10-02 00:00:00,,Hypolepis dicksonioides (Endl.)Hook.
34,Pteridophyta,DENNSTAEDTIACEAE,Ruddy Ground-fern,A00060,Hypolepis,rugosula,     ,Hypolepis rugosula,,R,,,,,,1990-10-02 00:00:00,,Hypolepis rugosula (Labill.)J.Sm.
35,Pteridophyta,DENNSTAEDTIACEAE,Ground-fern,G10511,Hypolepis,sp.,     ,Hypolepis sp.,,,,,,,,1990-10-02 00:00:00,,Hypolepis sp.
36,Pteridophyta,DENNSTAEDTIACEAE,,U05850,Pteridium,aquilinum,     ,Pteridium aquilinum,*,,,,,,,2005-02-21 00:00:00,,Pteridium aquilinum (L.)Kuhn
37,Pteridophyta,DENNSTAEDTIACEAE,Bracken Fern,C00061,Pteridium,esculentum,ssp. esculentum    ,Pteridium esculentum ssp. esculentum,,,,,,,,1990-10-02 00:00:00,2013-02-15 14:50:08,Pteridium esculentum (G.Forst.)Cockayne ssp. esculentum
38,Pteridophyta,LINDSAEACEAE,Screw Fern,E00062,Lindsaea,linearis,     ,Lindsaea linearis,,,,,,,,1990-10-02 00:00:00,,Lindsaea linearis Sw.
39,Pteridophyta,LINDSAEACEAE,,W10587,Lindsaea,sp.,     ,Lindsaea sp.,,,,,,,,1990-10-02 00:00:00,,Lindsaea sp.
40,Pteridophyta,ADIANTACEAE,Maiden-hair Fern Family,W15003,Adiantaceae,sp.,     ,Adiantaceae sp.,,,,,,,,1990-10-02 00:00:00,,Adiantaceae sp.
41,Pteridophyta,ADIANTACEAE,Common Maiden-hair,W00035,Adiantum,aethiopicum,     ,Adiantum aethiopicum,,,,,,,,1990-10-02 00:00:00,,Adiantum aethiopicum L.
42,Pteridophyta,ADIANTACEAE,Dainty Maiden-hair,A00036,Adiantum,capillus-veneris,     ,Adiantum capillus-veneris,,V,,,,,,1990-10-02 00:00:00,,Adiantum capillus-veneris L.
43,Pteridophyta,ADIANTACEAE,Maiden-hair,U10014,Adiantum,sp.,     ,Adiantum sp.,,,,,,,,1990-10-02 00:00:00,,Adiantum sp.
44,Pteridophyta,ADIANTACEAE,Annual Fern,C00037,Anogramma,leptophylla,     ,Anogramma leptophylla,,R,,,,,,1990-10-02 00:00:00,,Anogramma leptophylla (L.)Link
45,Pteridophyta,ADIANTACEAE,Annual Rock-fern,K04033,Cheilanthes,austrotenuifolia,     ,Cheilanthes austrotenuifolia,,,,,,,,1990-10-02 00:00:00,,Cheilanthes austrotenuifolia H.M.Quirk & T.C.Chambers
46,Pteridophyta,ADIANTACEAE,Bristly Cloak-fern,E00038,Cheilanthes,distans,     ,Cheilanthes distans,,,,,,,,1990-10-02 00:00:00,,Cheilanthes distans (R.Br.)Mett.
47,Pteridophyta,ADIANTACEAE,Woolly Cloak-fern,Q00040,Cheilanthes,lasiophylla,     ,Cheilanthes lasiophylla,,,,,,,,1990-10-02 00:00:00,,Cheilanthes lasiophylla Pic.Serm.
48,Pteridophyta,ADIANTACEAE,Narrow Rock-fern,Y20040,Cheilanthes,sieberi,ssp.     ,Cheilanthes sieberi ssp.,,,,,,,,1990-10-02 00:00:00,,Cheilanthes sieberi
49,Pteridophyta,ADIANTACEAE,,Y04032,Cheilanthes,sieberi,ssp. pseudovellea    ,Cheilanthes sieberi ssp. pseudovellea,,,,,,,,1990-10-02 00:00:00,,Cheilanthes sieberi Kunze ssp. pseudovellea H.M.Quirk & T.C.Chambers
50,Pteridophyta,ADIANTACEAE,Narrow Rock-fern,S00041,Cheilanthes,sieberi,ssp. sieberi    ,Cheilanthes sieberi ssp. sieberi,,,,,,,,1990-10-02 00:00:00,,Cheilanthes sieberi Kunze ssp. sieberi
51,Pteridophyta,ADIANTACEAE,Rock-fern,M10214,Cheilanthes,sp.,     ,Cheilanthes sp.,,,,,,,,1990-10-02 00:00:00,,Cheilanthes sp.
52,Pteridophyta,ADIANTACEAE,Scaly Rock-fern,A00044,Paraceterach,reynoldsii,     ,Paraceterach reynoldsii,,,,,,,,1990-10-02 00:00:00,,Paraceterach reynoldsii (F.Muell.)Tindale
53,Pteridophyta,ADIANTACEAE,,K32125,Pellaea,falcata,     ,Pellaea falcata,,,,,,,,2009-08-12 00:00:00,,Pellaea falcata (R.Br.)Fee
54,Pteridophyta,PTERIDACEAE,Tender Brake,G00063,Pteris,tremula,     ,Pteris tremula,,R,not evaluated,,,,,1990-10-02 00:00:00,,Pteris tremula R.Br.
55,Pteridophyta,BLECHNACEAE,Water-fern Family,E15022,Blechnaceae,sp.,     ,Blechnaceae sp.,,,,,,,,1990-10-02 00:00:00,,Blechnaceae sp.
56,Pteridophyta,BLECHNACEAE,Lance Water-fern,C00053,Blechnum,chambersii,     ,Blechnum chambersii,,E,,,,,,1990-10-02 00:00:00,,Blechnum chambersii Tindale
57,Pteridophyta,BLECHNACEAE,Soft Water-fern,E00054,Blechnum,minus,     ,Blechnum minus,,,,,,,,1990-10-02 00:00:00,,Blechnum minus (R.Br.)Ettingsh.
58,Pteridophyta,BLECHNACEAE,Water-fern,M15318,Blechnum,minus/wattsii,     ,Blechnum minus/wattsii,,,,,,,,1993-09-22 00:00:00,,Blechnum minus/wattsii
59,Pteridophyta,BLECHNACEAE,Fishbone Water-fern,G00055,Blechnum,nudum,     ,Blechnum nudum,,R,,,,,,1990-10-02 00:00:00,,Blechnum nudum (Labill.)Mett. ex Luerss.
60,Pteridophyta,BLECHNACEAE,,G32027,Blechnum,parrisiae,     ,Blechnum parrisiae,,,,,,,,2008-06-10 00:00:00,2018-01-16 15:41:38,Blechnum parrisiae Christenh.
61,Pteridophyta,BLECHNACEAE,Small Rasp-fern,K00057,Blechnum,rupestre,     ,Blechnum rupestre,,E,,,,,,1990-10-02 00:00:00,2018-01-16 15:47:12,Blechnum rupestre (Kaulf. ex Link)Christenh.
62,Pteridophyta,BLECHNACEAE,Water-fern,E10130,Blechnum,sp.,     ,Blechnum sp.,,,,,,,,1990-10-02 00:00:00,,Blechnum sp.
63,Pteridophyta,BLECHNACEAE,Hard Water-fern,Y00056,Blechnum,wattsii,     ,Blechnum wattsii,,R,not evaluated,,,,,1990-10-02 00:00:00,,Blechnum wattsii Tindale
64,Pteridophyta,DRYOPTERIDACEAE,Holly Fern,C00045,Cyrtomium,falcatum,     ,Cyrtomium falcatum,*,,,,,,,1990-10-02 00:00:00,,Cyrtomium falcatum (L.f.)C.Presl
