Origin,Species,Authority,Common Name,Family,Group,sch,EPBCA,Flora/Fauna,Classification
end,Acacia axillaris,Benth.,midlands wattle,Fabaceae,Dicotyledonae,v,VU,Flora,vascular
end,Acacia pataczekii,D.I.Morris,wallys wattle,Fabaceae,Dicotyledonae,r,,Flora,vascular
,Acacia siculiformis,A.Cunn. ex Benth.,dagger wattle,Fabaceae,Dicotyledonae,r,,Flora,vascular
,Acacia ulicifolia,(Salisb.) Court,juniper wattle,Fabaceae,Dicotyledonae,r,,Flora,vascular
,Acacia uncifolia,(J.M.Black) O'Leary,coast wirilda,Fabaceae,Dicotyledonae,r,,Flora,vascular
,Acrotriche cordata,(Labill.) R.Br.,coast groundberry,Ericaceae,Dicotyledonae,v,,Flora,vascular
,Agrostis australiensis,Mez,southern bent,Poaceae,Monocotyledonae,r,,Flora,vascular
end,Agrostis diemenica,D.I.Morris,flatleaf southern bent,Poaceae,Monocotyledonae,r,,Flora,vascular
end,Allocasuarina crassa,L.A.S.Johnson,cape pillar sheoak,Casuarinaceae,Dicotyledonae,r,,Flora,vascular
end,Allocasuarina duncanii,L.A.S.Johnson & D.I.Morris,conical sheoak,Casuarinaceae,Dicotyledonae,r,,Flora,vascular
,Alternanthera denticulata,R.Br.,lesser joyweed,Amaranthaceae,Dicotyledonae,e,,Flora,vascular
?i#,Amphibromus fluitans,Kirk,floating swampgrass,Poaceae,Monocotyledonae,,VU,Flora,vascular
,Amphibromus macrorhinus,S.W.L.Jacobs & L.Lapinpuro,longnose swampgrass,Poaceae,Monocotyledonae,e,,Flora,vascular
,Amphibromus neesii,Steud.,southern swampgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Anogramma leptophylla,(L.) Link,annual fern,Adiantaceae,Pteridophyta,v,,Flora,vascular
,Aphelia gracilis,Sond.,slender fanwort,Centrolepidaceae,Monocotyledonae,r,,Flora,vascular
,Aphelia pumilio,F.Muell. ex Sond.,dwarf fanwort,Centrolepidaceae,Monocotyledonae,r,,Flora,vascular
,Argyrotegium fordianum,(M.Gray) J.M.Ward & Breitw.,soft cottonleaf,Asteraceae,Dicotyledonae,r,,Flora,vascular
,Argyrotegium nitidulum,(Hook.f.) J.M.Ward & Breitw.,shining cottonleaf,Asteraceae,Dicotyledonae,v,VU,Flora,vascular
,Argyrotegium poliochlorum,(N.G.Walsh) J.M.Ward & Breitw.,greygreen cottonleaf,Asteraceae,Dicotyledonae,r,,Flora,vascular
,Asperula minima,Hook.f.,mossy woodruff,Rubiaceae,Dicotyledonae,r,,Flora,vascular
,Asperula scoparia subsp. scoparia,Hook.f.,prickly woodruff,Rubiaceae,Dicotyledonae,r,,Flora,vascular
,Asperula subsimplex,Hook.f.,water woodruff,Rubiaceae,Dicotyledonae,r,,Flora,vascular
,Asplenium hookerianum,Colenso,maidenhair spleenwort,Aspleniaceae,Pteridophyta,e,VU,Flora,vascular
,Asplenium trichomanes subsp. trichomanes,L.,dolerite spleenwort,Aspleniaceae,Pteridophyta,v,,Flora,vascular
,Atriplex suberecta,I.Verd.,sprawling saltbush,Amaranthaceae,Dicotyledonae,v,,Flora,vascular
,Australina pusilla subsp. muelleri,(Wedd.) Friis & Wilmot-Dear,shade nettle,Urticaceae,Dicotyledonae,r,,Flora,vascular
,Australopyrum velutinum,(Nees) B.K.Simon,velvet wheatgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Austrostipa bigeniculata,(Hughes) S.W.L.Jacobs & J.Everett ,doublejointed speargrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Austrostipa blackii,(C.E.Hubb.) S.W.L.Jacobs & J.Everett ,crested speargrass,Poaceae,Monocotyledonae,r,,Flora,vascular
eMI,Azorella macquariensis,Orchard,macquarie cushions,Apiaceae,Dicotyledonae,e,CR,Flora,vascular
,Ballantinia antipoda,(F.Muell.) E.A.Shaw,southern shepherds purse,Brassicaceae,Dicotyledonae,x,EN,Flora,vascular
,Banksia integrifolia subsp. integrifolia,L.f.,coast banksia,Proteaceae,Dicotyledonae,x,,Flora,vascular
,Banksia serrata,L.f.,saw banksia,Proteaceae,Dicotyledonae,r,,Flora,vascular
end,Barbarea australis,Hook.f.,riverbed wintercress,Brassicaceae,Dicotyledonae,e,EN,Flora,vascular
,Baumea articulata,(R.Br.) S.T.Blake,jointed twigsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Baumea gunnii,(Hook.f.) S.T.Blake,slender twigsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Bedfordia arborescens,Hochr.,tree blanketleaf,Asteraceae,Dicotyledonae,v,,Flora,vascular
end,Bertya tasmanica subsp. tasmanica,(Sond. & F.Muell.) Müll.Arg.,tasmanian bertya,Euphorbiaceae,Dicotyledonae,e,EN,Flora,vascular
,Blechnum cartilagineum,Sw.,gristle fern,Blechnaceae,Pteridophyta,v,,Flora,vascular
,Blechnum neohollandicum,Christenh.,prickly raspfern,Blechnaceae,Pteridophyta,e,,Flora,vascular
,Blechnum spinulosum,Poir.,small raspfern,Blechnaceae,Pteridophyta,e,,Flora,vascular
,Bolboschoenus caldwellii,(V.J.Cook) Soják ,sea clubsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Bolboschoenus medianus,(V.J.Cook) Soják ,marsh clubsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
end,Boronia gunnii,Hook.f.,river boronia,Rutaceae,Dicotyledonae,v,VU,Flora,vascular
end,Boronia hemichiton,Duretto,mt arthur boronia,Rutaceae,Dicotyledonae,e,VU,Flora,vascular
end,Boronia hippopala,Duretto,velvet boronia,Rutaceae,Dicotyledonae,v,VU,Flora,vascular
