scientificName,vernacularName,family,genus,sourceStatus,listedSpratTaxonId,currentSpratTaxonId,status
Abutilon julianae,Norfolk Island Abutilon,Malvaceae,Abutilon,Critically Endangered,27797,,Critically Endangered
Acacia ammophila,-,Fabaceae,Acacia,Vulnerable,3763,,Vulnerable
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Fabaceae,Acacia,Vulnerable,8153,,Vulnerable
Acacia aphylla,Leafless Rock Wattle,Fabaceae,Acacia,Vulnerable,13553,,Vulnerable
Acacia aprica,Blunt Wattle,Fabaceae,Acacia,Endangered,64821,,Endangered
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Fabaceae,Acacia,Vulnerable,20767,,Vulnerable
Acacia aristulata,Watheroo Wattle,Fabaceae,Acacia,Endangered,64822,,Endangered
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Fabaceae,Acacia,Endangered,64823,,Endangered
Acacia attenuata,-,Fabaceae,Acacia,Vulnerable,10690,,Vulnerable
Acacia auratiflora,Orange-flowered Wattle,Fabaceae,Acacia,Endangered,64824,,Endangered
Acacia awestoniana,Stirling Range Wattle,Fabaceae,Acacia,Vulnerable,55562,,Vulnerable
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Fabaceae,Acacia,Vulnerable,13563,,Vulnerable
Acacia brachypoda,Western Wheatbelt Wattle,Fabaceae,Acacia,Endangered,55594,,Endangered
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Fabaceae,Acacia,Vulnerable,8575,,Vulnerable
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Fabaceae,Acacia,Vulnerable,21883,,Vulnerable
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Fabaceae,Acacia,Vulnerable,66685,,Vulnerable
Acacia chapmanii subsp. australis,-,Fabaceae,Acacia,Endangered,65249,,Endangered
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Fabaceae,Acacia,Endangered,23877,,Endangered
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Fabaceae,Acacia,Critically Endangered,65112,,Critically Endangered
Acacia constablei,Narrabarba Wattle,Fabaceae,Acacia,Critically Endangered,10798,,Critically Endangered
Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Fabaceae,Acacia,Vulnerable,56299,,Vulnerable
