scientificName,vernacularName,family,status,sourceStatus
Acacia axillaris,midlands wattle,Fabaceae,Vulnerable,v
Acacia pataczekii,wallys wattle,Fabaceae,Rare,r
Acacia siculiformis,dagger wattle,Fabaceae,Rare,r
Acacia ulicifolia,juniper wattle,Fabaceae,Rare,r
Acacia uncifolia,coast wirilda,Fabaceae,Rare,r
Acrotriche cordata,coast groundberry,Ericaceae,Vulnerable,v
Agrostis australiensis,southern bent,Poaceae,Rare,r
Agrostis diemenica,flatleaf southern bent,Poaceae,Rare,r
Allocasuarina crassa,cape pillar sheoak,Casuarinaceae,Rare,r
Allocasuarina duncanii,conical sheoak,Casuarinaceae,Rare,r
Alternanthera denticulata,lesser joyweed,Amaranthaceae,Endangered,e
Amphibromus macrorhinus,longnose swampgrass,Poaceae,Endangered,e
Amphibromus neesii,southern swampgrass,Poaceae,Rare,r
Anogramma leptophylla,annual fern,Adiantaceae,Vulnerable,v
Aphelia gracilis,slender fanwort,Centrolepidaceae,Rare,r
Aphelia pumilio,dwarf fanwort,Centrolepidaceae,Rare,r
Argyrotegium fordianum,soft cottonleaf,Asteraceae,Rare,r
Argyrotegium nitidulum,shining cottonleaf,Asteraceae,Vulnerable,v
Argyrotegium poliochlorum,greygreen cottonleaf,Asteraceae,Rare,r
Asperula minima,mossy woodruff,Rubiaceae,Rare,r
Asperula scoparia subsp. scoparia,prickly woodruff,Rubiaceae,Rare,r
Asperula subsimplex,water woodruff,Rubiaceae,Rare,r
Asplenium hookerianum,maidenhair spleenwort,Aspleniaceae,Endangered,e
Asplenium trichomanes subsp. trichomanes,dolerite spleenwort,Aspleniaceae,Vulnerable,v
Atriplex suberecta,sprawling saltbush,Amaranthaceae,Vulnerable,v
Australina pusilla subsp. muelleri,shade nettle,Urticaceae,Rare,r
Australopyrum velutinum,velvet wheatgrass,Poaceae,Rare,r
Austrostipa bigeniculata,doublejointed speargrass,Poaceae,Rare,r
Austrostipa blackii,crested speargrass,Poaceae,Rare,r
Azorella macquariensis,macquarie cushions,Apiaceae,Endangered,e
Ballantinia antipoda,southern shepherds purse,Brassicaceae,Extinct,x
Banksia integrifolia subsp. integrifolia,coast banksia,Proteaceae,Extinct,x
Banksia serrata,saw banksia,Proteaceae,Rare,r
Barbarea australis,riverbed wintercress,Brassicaceae,Endangered,e
Baumea articulata,jointed twigsedge,Cyperaceae,Rare,r
Baumea gunnii,slender twigsedge,Cyperaceae,Rare,r
Bedfordia arborescens,tree blanketleaf,Asteraceae,Vulnerable,v
Bertya tasmanica subsp. tasmanica,tasmanian bertya,Euphorbiaceae,Endangered,e
Blechnum cartilagineum,gristle fern,Blechnaceae,Vulnerable,v
Blechnum neohollandicum,prickly raspfern,Blechnaceae,Endangered,e
Blechnum spinulosum,small raspfern,Blechnaceae,Endangered,e
Bolboschoenus caldwellii,sea clubsedge,Cyperaceae,Rare,r
Bolboschoenus medianus,marsh clubsedge,Cyperaceae,Rare,r
Boronia gunnii,river boronia,Rutaceae,Vulnerable,v
Boronia hemichiton,mt arthur boronia,Rutaceae,Endangered,e
Boronia hippopala,velvet boronia,Rutaceae,Vulnerable,v
Bossiaea heterophylla,variable bossia,Fabaceae,Endangered,e
Bossiaea tasmanica,spiny bossia,Fabaceae,Rare,r
Botrychium australe,parsley fern,Ophioglossaceae,Extinct,x
Brachyloma depressum,spreading heath,Ericaceae,Rare,r
Brachyscome perpusilla,tiny daisy,Asteraceae,Rare,r
Brachyscome radicata,spreading daisy,Asteraceae,Rare,r
Brachyscome rigidula,cutleaf daisy,Asteraceae,Vulnerable,v
Brunonia australis,blue pincushion,Goodeniaceae,Rare,r
Caesia calliantha,blue grasslily,Hemerocallidaceae,Rare,r
Caladenia anthracina,blacktip spider-orchid,Orchidaceae,Endangered,e
Caladenia aurantiaca,orangetip fingers,Orchidaceae,Endangered,e
Caladenia australis,southern spider-orchid,Orchidaceae,Endangered,e
Caladenia brachyscapa,short spider-orchid,Orchidaceae,Endangered,e
