scientificName,vernacularName,status,sourceStatus
Ambassis agassizii,Agassiz's Glassfish,Extinct,Extinct
Bidyanus bidyanus,Silver Perch,Endangered,Endangered
Chelodina expansa,Broad-shelled Turtle,Endangered,Endangered
Craterocephalus fluviatilis,Murray Hardyhead,Critically Endangered,Critically Endangered
Emydura macquarii,Murray River Turtle,Critically Endangered,Critically Endangered
Engaeus australis,Lilly Pilly Burrowing Crayfish,Critically Endangered,Critically Endangered
Engaeus curvisuturus,Curve-tail Burrowing Crayfish,Endangered,Endangered
Engaeus fultoni,Otway Burrowing Crayfish,Vulnerable,Vulnerable
Engaeus karnanga,South Gippsland Burrowing Crayfish,Endangered,Endangered
Engaeus mallacoota,Mallacoota Burrowing Crayfish,Critically Endangered,Critically Endangered
Engaeus merosetosus,Western Burrowing Crayfish,Endangered,Endangered
Engaeus phyllocercus,Narracan Burrowing Crayfish,Endangered,Endangered
Engaeus rostrogaleatus,Strzelecki Burrowing Crayfish,Endangered,Endangered
Engaeus sericatus,Hairy Burrowing Crayfish,Vulnerable,Vulnerable
Engaeus sternalis,Warragul Burrowing Crayfish,Critically Endangered,Critically Endangered
Engaeus strictifrons,Portland Burrowing Crayfish,Endangered,Endangered
Engaeus tuberculatus,Tubercle Burrowing Crayfish,Endangered,Endangered
Engaeus urostrictus,Dandenong Burrowing Crayfish,Critically Endangered,Critically Endangered
Engaeus victoriensis,Foothill Burrowing Crayfish,Endangered,Endangered
Euastacus armatus,Murray Spiny Crayfish,Threatened,Threatened
Euastacus bidawalus,East Gippsland Spiny Crayfish,Vulnerable,Vulnerable
Euastacus bispinosus,Glenelg Spiny Crayfish,Endangered,Endangered
Euastacus claytoni,Claytons Spiny Crayfish,Endangered,Endangered
Euastacus crassus,Alpine Spiny Crayfish,Endangered,Endangered
Euastacus diversus,Orbost Spiny Crayfish,Endangered,Endangered
Euastacus neodiversus,South Gippsland Spiny Crayfish,Endangered,Endangered
Euastacus yanga,Variable Spiny Crayfish,Endangered,Endangered
Gadopsis marmoratus (upper Wannon),River Blackfish (upper Wannon River form),Critically Endangered,Critically Endangered
Galaxias aequipinnis,East Gippsland Galaxias,Critically Endangered,Critically Endangered
Galaxias fuscus,Barred Galaxias,Critically Endangered,Critically Endangered
Galaxias gunaikurnai,Shaw Galaxias,Critically Endangered,Critically Endangered
Galaxias lanceolatus,Tapered Galaxias,Critically Endangered,Critically Endangered
Galaxias longifundus,West Gippsland Galaxias,Critically Endangered,Critically Endangered
Galaxias mcdowalli,McDowall's Galaxias,Critically Endangered,Critically Endangered
Galaxias mungadhan,Dargo Galaxias,Critically Endangered,Critically Endangered
Galaxias rostratus,Flat-headed Galaxias,Vulnerable,Vulnerable
Galaxias sp. 14,'Yalmy' Galaxias,Critically Endangered,Critically Endangered
Galaxias terenasus,Roundsnout Galaxias,Critically Endangered,Critically Endangered
Galaxiella pusilla,Dwarf Galaxias,Endangered,Endangered
Galaxiella toourtkoourt,Little Galaxias,Endangered,Endangered
Gobiomorphus coxii,Coxs Gudgeon,Endangered,Endangered
Gramastacus insolitus,Western Swamp Crayfish,Endangered,Endangered
Hypseleotris compressa,Empire Gudgeon,Critically Endangered,Critically Endangered
Maccullochella macquariensis,Trout Cod,Endangered,Endangered
Maccullochella peelii,Murray Cod,Endangered,Endangered
Macquaria australasica,Macquarie Perch,Endangered,Endangered
Melanotaenia fluviatilis,Murray-Darling Rainbowfish,Endangered,Endangered
Mogurnda adspersa,Southern Purple-spotted Gudgeon,Critically Endangered,Critically Endangered
Mugilogobius platynotus,Flatback Mangrovegoby,Endangered,Endangered
Nannoperca australis (Murray-Darling lineage),Southern Pygmy Perch (Murray-Darling lineage),Vulnerable,Vulnerable
Nannoperca obscura,Yarra Pygmy Perch,Vulnerable,Vulnerable
Nannoperca sp. 1,Flinders Pygmy Perch,Vulnerable,Vulnerable
Nannoperca variegata,Variegated Pygmy Perch,Endangered,Endangered
Neochanna cleaveri,Australian Mudfish,Endangered,Endangered
Potamalosa richmondia,Freshwater Herring,Extinct,Extinct
Prototroctes maraena,Australian Grayling,Endangered,Endangered
Tandanus tandanus,Freshwater Catfish,Endangered,Endangered
Athanopsis australis,Southern Hooded Shrimp,Endangered,Endangered
Attheyella (Delachauxiella) dedeckkeri,Copepod,Endangered,Endangered
Australatya striolata,Riffle Shrimp,Endangered,Endangered
Austroaeschna (Austroaeschna) flavomaculata,Alpine Darner Dragonfly,Vulnerable,Vulnerable
Austrogammarus australis,Dandenong Freshwater Amphipod,Critically Endangered,Critically Endangered
Austrogammarus haasei,Sherbrooke Amphipod,Endangered,Endangered
Calamoecia australica,copepod,Vulnerable,Vulnerable
Calamoecia australis,Centropagid copepod,Vulnerable,Vulnerable
Caliagrion billinghursti,Large River Damselfly,Vulnerable,Vulnerable
Colubotelson joyneri,freshwater isopod,Critically Endangered,Critically Endangered
Colubotelson searli,freshwater isopod,Critically Endangered,Critically Endangered
Crenoicus mixtus,freshwater isopod,Extinct,Extinct
Ecnomus neboissi,Caddisfly,Vulnerable,Vulnerable
Gariwerdeus beehivensis,freshwater isopod,Critically Endangered,Critically Endangered
Gariwerdeus ingletonensis,freshwater isopod,Vulnerable,Vulnerable
Gariwerdeus turretensis,freshwater isopod,Vulnerable,Vulnerable
Geocharax falcata,Western Bush Yabby,Endangered,Endangered
Geocharax tasmanicus,Otway Bush Yabby,Endangered,Endangered
Hemiphlebia mirabilis,Ancient Greenling Damselfly,Endangered,Endangered
Hygrobia australasiae,squeak beetle,Endangered,Endangered
Hyridella (Hyridella) depressa,Depressed Mussel,Endangered,Endangered
Hyridella glenelgensis,Glenelg Freshwater Mussel / Bocara Timbonn,Critically Endangered,Critically Endangered
Hyridella narracanensis,Narracan Corrugated Mussel,Endangered,Endangered
Leptocerus souta,Caddisfly,Vulnerable,Vulnerable
Leptoperla kallistae,Kallista Flightless Stonefly,Critically Endangered,Critically Endangered
Naiopegia xiphagrostis,freshwater isopod,Vulnerable,Vulnerable
Notoperata sparsa,Caddisfly,Vulnerable,Vulnerable
Plectrotarsus gravenhorstii,Caddisfly,Endangered,Endangered
Pseudocalliax tooradin,Ghost shrimp,Endangered,Endangered
Ramiheithrus virgatus,Caddisfly,Vulnerable,Vulnerable
Riekoperla darlingtoni,Mt Donna Buang Wingless Stonefly,Critically Endangered,Critically Endangered
Riekoperla intermedia,Stonefly,Vulnerable,Vulnerable
Riekoperla isosceles,Stonefly,Vulnerable,Vulnerable
Spathula tryssa,Planarian,Endangered,Endangered
Tamasia furcilla,Caddisfly,Critically Endangered,Critically Endangered
Tanjistomella verna,Caddisfly,Endangered,Endangered
Taskiria otwayensis,Caddisfly,Vulnerable,Vulnerable
Thaumatoperla alpina,Alpine Stonefly,Endangered,Endangered
Thaumatoperla flaveola,Mount Stirling stonefly,Critically Endangered,Critically Endangered
Triaenodes cuspiosa,Caddisfly,Vulnerable,Vulnerable
Triaenodes resima,Caddisfly,Vulnerable,Vulnerable
Triaenodes uvida,Caddisfly,Vulnerable,Vulnerable
Triaenodes vespertina,Caddisfly,Vulnerable,Vulnerable
Westriplectes pedderensis,Caddisfly,Vulnerable,Vulnerable
Abrodictyum caudatum,Jungle Bristle-fern,Endangered,Endangered
Abrotanella nivigena,Snow-wort,Critically Endangered,Critically Endangered
Abutilon fraseri,Dwarf Lantern-flower,Endangered,Endangered
