id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceStatus,status
4377862,Adelotus brevis,Tusked Frog,Adelotus brevis,https://biodiversity.org.au/afd/taxa/32f57cc7-5690-4018-98fb-6c924c72e53a,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378339,Philoria kundagungan,Mountain Frog,Philoria kundagungan,https://biodiversity.org.au/afd/taxa/fcb2e700-8046-4556-94bd-78d188dadd9c,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377496,Crinia tinnula,Wallum Froglet,Crinia tinnula,https://biodiversity.org.au/afd/taxa/a101af4a-1dd1-4134-bfb6-3030d204407b,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378006,Mixophyes fleayi,Fleay's Barred Frog,Mixophyes fleayi,https://biodiversity.org.au/afd/taxa/289e1b7c-1323-473a-8c2b-a674324c102e,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377280,Mixophyes iteratus,Giant Barred Frog,Mixophyes iteratus,https://biodiversity.org.au/afd/taxa/9eef5215-a3d4-4435-b82c-9284d730f002,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378552,Pseudophryne covacevichae,Magnificent Brood Frog,Pseudophryne covacevichae,https://biodiversity.org.au/afd/taxa/019f5d1c-2a0c-4c53-98b6-dad6130c9267,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378288,Rheobatrachus silus,Southern Gastric Brooding Frog,Rheobatrachus silus,https://biodiversity.org.au/afd/taxa/25a57fda-276d-4484-b016-b0bea40b9d10,dr652,"[{'key': 'sourceStatus', 'value': 'PE'}, {'key': 'status', 'value': 'Extinct in the wild'}]",PE,Extinct in the wild
4377499,Rheobatrachus vitellinus,Northern Gastric-brooding Frog,Rheobatrachus vitellinus,https://biodiversity.org.au/afd/taxa/39bfd437-3fc6-4e9e-bace-f5765d9dc993,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378271,Taudactylus acutirostris,Sharp-snouted Day Frog,Taudactylus acutirostris,https://biodiversity.org.au/afd/taxa/7299adbe-a530-48e6-8287-5880d221cc24,dr652,"[{'key': 'sourceStatus', 'value': 'PE'}, {'key': 'status', 'value': 'Extinct in the wild'}]",PE,Extinct in the wild
4377609,Taudactylus diurnus,Mt Glorious Torrent Frog,Taudactylus diurnus,https://biodiversity.org.au/afd/taxa/fd718adb-a40e-4a69-8c7d-9361a0808576,dr652,"[{'key': 'sourceStatus', 'value': 'PE'}, {'key': 'status', 'value': 'Extinct in the wild'}]",PE,Extinct in the wild
4378302,Taudactylus eungellensis,Eungella Day Frog,Taudactylus eungellensis,https://biodiversity.org.au/afd/taxa/134081e8-0768-441a-bf41-722c82406791,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378188,Taudactylus liemi,Eungella Tinkerfrog,Taudactylus liemi,https://biodiversity.org.au/afd/taxa/73710142-d11d-401a-bd2c-f04ddb96aa44,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378604,Taudactylus pleione,Pleione's Torrent Frog,Taudactylus pleione,https://biodiversity.org.au/afd/taxa/5908f2e8-065f-48ea-a45a-ae155bf66246,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377923,Taudactylus rheophilus,Northern Tinkerfrog,Taudactylus rheophilus,https://biodiversity.org.au/afd/taxa/5d2a30f5-deea-467d-9275-880116222f0b,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377666,Litoria andiirrmalin,Melville Range Treefrog,Litoria andiirrmalin,https://biodiversity.org.au/afd/taxa/2c53c748-1e5a-47f7-8dce-58ebdb7040db,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377781,Litoria cooloolensis,Cooloola Tree Frog,Litoria cooloolensis,https://biodiversity.org.au/afd/taxa/1bee5626-7cb5-493c-9fe2-345929ea8c82,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378548,Litoria dayi,Day's Big-eyed Treefrog,Litoria dayi,https://biodiversity.org.au/afd/taxa/a155bdfb-f8c4-491d-92a2-08c17938597c,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377672,Litoria freycineti,Wallum Rocketfrog,Litoria freycineti,https://biodiversity.org.au/afd/taxa/f9f177bc-cc33-4b35-949c-0d3c608e2fc6,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377466,Litoria kroombitensis,Kroombit Treefrog,Litoria kroombitensis,https://biodiversity.org.au/afd/taxa/a7a0371e-350f-4e3f-8a7b-618ddafaf76d,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4378321,Litoria longirostris,Long-snouted Frog,Litoria longirostris,https://biodiversity.org.au/afd/taxa/adbee455-548a-4e65-8e86-65bcc4522a60,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377860,Litoria lorica,Little Waterfall Frog,Litoria lorica,https://biodiversity.org.au/afd/taxa/2edc1a0c-b74a-49da-b053-b7e1328a54a7,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
