scientificName,kingdom,family,vernacularName,generalisation,category
Callocephalon fimbriatum,Animalia,Cacatuidae,Gang-gang Cockatoo,1km,Category 3
Anthochaera phrygia,Animalia,Meliphagidae,Regent Honeyeater,10km,Category 2
Ninox strenua,Animalia,Strigidae,Powerful Owl,1km,Category 3
Tyto tenebricosa,Animalia,Tytonidae,Sooty Owl,1km,Category 3
Ninox connivens,Animalia,Strigidae,Barking Owl,1km,Category 3
Hoplocephalus bungaroides,Animalia,Elapidae,Broad-headed Snake,10km,Category 2
Neophema chrysogaster,Animalia,Psittacidae,Orange-bellied Parrot,1km,Category 3
Glossopsitta porphyrocephala,Animalia,Psittacidae,Purple-crowned Lorikeet,1km,Category 3
Philoria loveridgei,Animalia,Limnodynastidae,Loveridge's Frog,10km,Category 2
Dasyornis brachypterus,Animalia,Dasyornithidae,Eastern Bristlebird,10km,Category 2
Hamirostra melanosternon,Animalia,Accipitridae,Black-breasted Buzzard,1km,Category 3
Neophema pulchella,Animalia,Psittacidae,Turquoise Parrot,1km,Category 3
Tyto novaehollandiae,Animalia,Tytonidae,Masked Owl,1km,Category 3
Cyclopsitta diophthalma coxeni,Animalia,Psittacidae,Coxen's Fig-Parrot,10km,Category 2
Lophoictinia isura,Animalia,Accipitridae,Square-tailed Kite,1km,Category 3
Erythrotriorchis radiatus,Animalia,Accipitridae,Red Goshawk,10km,Category 2
Lophochroa leadbeateri,Animalia,Cacatuidae,Pink Cockatoo,10km,Category 2
Mixophyes balbus,Animalia,Myobatrachidae,Stuttering Frog,10km,Category 2
Mixophyes fleayi,Animalia,Myobatrachidae,Fleay's Barred Frog,10km,Category 2
Polytelis anthopeplus monarchoides,Animalia,Psittacidae,Regent Parrot (eastern subspecies),1km,Category 3
Philoria kundagungan,Animalia,Limnodynastidae,Mountain Frog,10km,Category 2
Mixophyes iteratus,Animalia,Myobatrachidae,Giant Barred Frog,10km,Category 2
Falco hypoleucos,Animalia,Falconidae,Grey Falcon,10km,Category 2
Pseudophryne corroboree,Animalia,Myobatrachidae,Southern Corroboree Frog,10km,Category 2
Polytelis swainsonii,Animalia,Psittacidae,Superb Parrot,1km,Category 3
