scientificName,family,vernacularName,status,sourceStatus
limnodynastes depressus,myobatrachidae,flat-headed frog,DD,Data Deficient
uperoleia daviesae,myobatrachidae,howard river toadlet,VU,Vulnerable
uperoleia minima,myobatrachidae,small toadlet,DD,Data Deficient
papurana daemeli,ranidae,water frog,NT,Near Threatened
stictonetta naevosa,anatidae,freckled duck,NT,Near Threatened
burhinus grallarius,burhinidae,bush stone-curlew,NT,Near Threatened
charadrius dubius,charadriidae,little ringed plover,DD,Data Deficient
charadrius leschenaultii,charadriidae,greater sand plover,VU,Vulnerable
charadrius mongolus,charadriidae,lesser sand plover,EN,Endangered
pluvialis squatarola,charadriidae,grey plover,NT,Near Threatened
anous stolidus,laridae,common noddy,DD,Data Deficient
pedionomus torquatus,pedionomidae,plains-wanderer,CR,Critically Endangered
rostratula australis,rostratulidae,australian painted-snipe,EN,Endangered
arenaria interpres,scolopacidae,ruddy turnstone,NT,Near Threatened
calidris canutus,scolopacidae,red knot,EN,Endangered
calidris ferruginea,scolopacidae,curlew sandpiper,CR,Critically Endangered
calidris subminuta,scolopacidae,long-toed stint,DD,Data Deficient
calidris tenuirostris,scolopacidae,great knot,CR,Critically Endangered
gallinago hardwickii,scolopacidae,latham's snipe,DD,Data Deficient
gallinago megala,scolopacidae,swinhoe's snipe,DD,Data Deficient
gallinago stenura,scolopacidae,pin-tailed snipe,DD,Data Deficient
limnodromus semipalmatus,scolopacidae,asian dowitcher,NT,Near Threatened
limosa limosa,scolopacidae,black-tailed godwit,NT,Near Threatened
numenius madagascariensis,scolopacidae,far eastern curlew,CR,Critically Endangered
numenius phaeopus,scolopacidae,whimbrel,NT,Near Threatened
tringa brevipes,scolopacidae,grey-tailed tattler,NT,Near Threatened
geophaps smithii,columbidae,partridge pigeon (eastern),VU,Vulnerable
petrophassa albipennis,columbidae,white-quilled rock-pigeon,NT,Near Threatened
petrophassa rufipennis,columbidae,chestnut-quilled rock-pigeon,NT,Near Threatened
phaps histrionica,columbidae,flock bronzewing,NT,Near Threatened
ptilinopus alligator,columbidae,black-banded fruit-dove,NT,Near Threatened
elanus scriptus,accipitridae,letter-winged kite,NT,Near Threatened
erythrotriorchis radiatus,accipitridae,red goshawk,VU,Vulnerable
lophoictinia isura,accipitridae,square-tailed kite,NT,Near Threatened
falco hypoleucos,falconidae,grey falcon,VU,Vulnerable
leipoa ocellata,megapodiidae,malleefowl,CR,Critically Endangered
ardeotis australis,otididae,australian bustard,NT,Near Threatened
amaurornis moluccana,rallidae,pale-vented bush-hen,NT,Near Threatened
porzana fluminea,rallidae,australian spotted crake,DD,Data Deficient
porzana tabuensis,rallidae,spotless crake,DD,Data Deficient
zapornia pusilla,rallidae,baillon's crake,DD,Data Deficient
calamanthus campestris,acanthizidae,rufous fieldwren,NT,Near Threatened
pyrrholaemus brunneus,acanthizidae,redthroat,NT,Near Threatened
acrocephalus australis,acrocephalidae,australian reed-warbler,NT,Near Threatened
mirafra javanica,alaudidae,horsfield's bushlark (tiwi),VU,Vulnerable
chloebia gouldiae,estrildidae,gouldian finch,VU,Vulnerable
heteromunia pectoralis,estrildidae,pictorella mannikin,NT,Near Threatened
lonchura flaviprymna,estrildidae,yellow-rumped mannikin,NT,Near Threatened
neochmia ruficauda,estrildidae,star finch,NT,Near Threatened
amytornis dorotheae,maluridae,carpentarian grasswren,EN,Endangered
amytornis modestus,maluridae,thick-billed grasswren (western),CR,Critically Endangered
amytornis modestus,maluridae,thick-billed grasswren (macdonnell ranges),EX,Extinct
amytornis striatus,maluridae,striated grasswren,NT,Near Threatened
amytornis woodwardi,maluridae,white-throated grasswren,VU,Vulnerable
malurus coronatus,maluridae,purple-crowned fairy-wren (western),VU,Vulnerable
malurus coronatus,maluridae,purple-crowned fairy-wren (eastern),NT,Near Threatened
epthianura crocea,meliphagidae,yellow chat (alligator rivers),EN,Endangered
grantiella picta,meliphagidae,painted honeyeater,VU,Vulnerable
microptilotis albilineata,meliphagidae,white-lined honeyeater,NT,Near Threatened
ptilotula flavescens,meliphagidae,yellow-tinted honeyeater (tiwi),NT,Near Threatened
falcunculus frontatus,pachycephalidae,crested shrike-tit (northern),NT,Near Threatened
melanodryas cucullata,petroicidae,hooded robin (tiwi),CR,Critically Endangered
poecilodryas cerviniventris,petroicidae,buff-sided robin,NT,Near Threatened
cinclosoma castanotum,psophodidae,chestnut quail-thrush,NT,Near Threatened
cinclosoma marginatum,psophodidae,western quail-thrush,NT,Near Threatened
fregata andrewsi,fregatidae,christmas island frigatebird,EN,Endangered
fregata minor,fregatidae,great frigatebird,DD,Data Deficient
papasula abbotti,sulidae,abbott's booby,EN,Endangered
oceanites oceanicus,oceanitidae,wilson's storm-petrel,DD,Data Deficient
