name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Amphibromus fluitans,,,,removed,Floating Swamp Wallaby-grass,Amphibromus fluitans,
Taraxacum cygnorum,,,,removed,Coast Dandelion,Taraxacum cygnorum,
Pseudocephalozia paludicola,,,,removed,Alpine Leafy Liverwort,Pseudocephalozia paludicola,
Balaenoptera borealis,,,,removed,Sei Whale,Balaenoptera borealis,
Botaurus poiciloptilus,,,,removed,Australasian Bittern,Botaurus poiciloptilus,
Calidris canutus,,,,removed,Red Knot,Calidris (Calidris) canutus,
Calidris ferruginea,,,,removed,Curlew Sandpiper,Calidris (Erolia) ferruginea,
Calidris tenuirostris,,,,removed,Great Knot,Calidris (Calidris) tenuirostris,
Centrophorus harrissoni,,,,removed,Dumb Gulper Shark,Centrophorus harrissoni,
Centrophorus zeehaani,,,,removed,Southern Dogfish,Centrophorus zeehaani,
Charadrius leschenaultii,,,,removed,Greater Sand Plover,Charadrius (Charadrius) leschenaultii,
Charadrius mongolus,,,,removed,Lesser Sand Plover,Charadrius (Charadrius) mongolus mongolus,
Dasyurus viverrinus,,,,removed,Eastern Quoll,Dasyurus viverrinus,
Diomedea amsterdamensis,,,,removed,Amsterdam Albatross,Diomedea amsterdamensis,*
Diomedea antipodensis,,,,removed,Antipodean Albatross,Diomedea antipodensis,*
Diomedea antipodensis gibsoni,,,,removed,Gibson's Albatross,Diomedea antipodensis gibsoni,*
Diomedea epomophora (sensu stricto),,,,removed,Southern Royal Albatross,Diomedea epomophora,
Diomedea dabbenena,,,,removed,Tristan Albatross,Diomedea dabbenena,*
Diomedea sanfordi,,,,removed,Northern Royal Albatross,Diomedea sanfordi,
Galeorhinus galeus,,,,removed,School Shark,Galeorhinus galeus,
Hirundapus caudacutus,,,,removed,White-throated Needletail,Hirundapus caudacutus,
Hoplostethus atlanticus,,,,removed,Deepsea Perch,Hoplostethus atlanticus,
Limosa lapponica baueri,,,,removed,Eastern Bar-tailed Godwit,Limosa lapponica baueri,
Limosa lapponica menzbieri,,,,removed,Bar-tailed Godwit (northern Siberian),Limosa lapponica menzbieri,
Perameles gunnii gunnii ,,,,removed,Eastern Barred Bandicoot (tasmania),Perameles gunnii gunnii,
Rexea solandri (eastern Australian population),,,,removed,Eastern Gemfish,Rexea solandri (eastern Australian population),
Rhincodon typus,,,,removed,Whale Shark,Rhincodon typus,
Seriolella brama,,,,removed,Blue Warehou,Seriolella brama,
Strepera fuliginosa colei,,,,removed,,Strepera (Strepera) fuliginosa colei,
Thalassarche bulleri,,,,removed,Buller's Albatross,Thalassarche bulleri,
Thalassarche bulleri platei,,,,removed,Pacific Albatross,Thalassarche bulleri platei,
Thalassarche steadi,,,,removed,White-capped Albatross,Thalassarche steadi,*
Thalassarche eremita,,,,removed,Chatham Albatross,Thalassarche eremita,*
Thalassarche impavida,,,,removed,Campbell Albatross,Thalassarche impavida,*
Thalassarche salvini,,,,removed,Salvin's Albatross,Thalassarche salvini,*
Thinornis rubricollis rubricollis ,,,,removed,Hooded Plover,Thinornis rubricollis,
Thunnus maccoyii,,,,removed,Southern Tuna,Thunnus maccoyii,
Vombatus ursinus ursinus,,,,removed,,Vombatus ursinus ursinus,
